식당이름,메뉴이름,가격
연남토마 본점,새우튀김덮밥,11000
연남토마 본점,믹스덮밥,12000
연남토마 본점,미트 드레스,18000
연남토마 본점,야키니쿠동,13000
오레노라멘 합정본점,토리쇼유,9000
오레노라멘 합정본점,시오라멘,9000
오레노라멘 합정본점,카라빠이탄,9000
오레노라멘 합정본점,빠이,9000
카와카츠,카와 로스카츠 정식 (220g),13000
카와카츠,카와 히레카츠 정식 (230g),14000
카와카츠,카와 특로스카츠 정식 (240g),16000
카와카츠,카와 모둠카츠 정식 (로스220g) + (히레80g ),17000
카와카츠,카와 오로시카츠 정식 (로스),14000
비파티세리 공덕점,아메리카노,5500
비파티세리 공덕점,라떼,6000
비파티세리 공덕점,초콜릿 밀크,7000
비파티세리 공덕점,카푸치노,6000
비파티세리 공덕점,아포가토,6500
최강금돈까스,상등심돈까스 (150g):한정판매,16000
최강금돈까스,등심돈까스 (150g),12000
최강금돈까스,안심돈까스 (150g),14000
역전회관,육회비빔밥,12000
역전회관,낙지비빔밥,11000
역전회관,낙지볶음,31000
역전회관,육회,32000
역전회관,선지술국,13000
몽중헌 공덕점,하교,9800
몽중헌 공덕점,구채교,9800
몽중헌 공덕점,마라소룡포,11000
몽중헌 공덕점,백채교,9800
몽중헌 공덕점,춘권,10500
레이어드 연남점,Americano,5000
레이어드 연남점,Cafe Latte,6000
레이어드 연남점,Einspanner,6500
레이어드 연남점,Earlgrey milk tea,6500
레이어드 연남점,Victoria cake,7500
스케줄 합정,스케줄김치볶음밥,14000
스케줄 합정,차돌 대파 떡볶이,22000
스케줄 합정,우니오일스파게티니,32000
스케줄 합정,단호박 관자 리조또,25000
스케줄 합정,와규 스테이크 크림 리조또,32000
경기떡집,기본떡(1개),2000
경기떡집,찹쌀떡(1개),1200
경기떡집,고구마찰떡(1개),2300
경기떡집,수수이티떡(1개),2900
경기떡집,가래떡,3000
진미식당,게장정식,41000
진미식당,간장게장 (포장),38000
망원동즉석우동전문돈까스 본점,즉석우동,6000
망원동즉석우동전문돈까스 본점,어묵우동,7000
망원동즉석우동전문돈까스 본점,어묵 (1인분),6000
망원동즉석우동전문돈까스 본점,돈까스,8000
우와 1호점,아보카도멘타마요&바게트 (3ea):아보카도&명란&마요구이,8500
우와 1호점,토마토 야마이모 오코토미야끼 (돼지고기),12500
우와 1호점,클래식 야끼소바 (해산물),14500
우와 1호점,철판 꽃갈비살 (100g),16000
우와 1호점,그릴드쉬림프 샐러드,12000
바다회사랑,광어 (대),55000
바다회사랑,광어 (중),45000
바다회사랑,광어 (소),33000
바다회사랑,우럭 (대),55000
바다회사랑,우럭 (중),40000
바다회사랑,광어&우럭 (대),55000
바다회사랑,광어&우럭 (중),45000
바다회사랑,참돔 (대),85000
바다회사랑,참돔 (중),70000
바다회사랑,참돔 (소),50000
바다회사랑,모듬회 (대),70000
바다회사랑,모듬회 (중),60000
바다회사랑,모듬회 (소),50000
바다회사랑,농어 (대),70000
바다회사랑,농어 (중),60000
바다회사랑,농어 (소),50000
바다회사랑,꽃멍게,20000
바다회사랑,비단멍게,20000
바다회사랑,돌멍게,25000
바다회사랑,전복치,변동가격
연남서식당,소갈비 (1인분),16000
앤트러사이트 서교점,핸드드립 커피,7000
앤트러사이트 서교점,모카포트 커피,7000
앤트러사이트 서교점,말차밀크,9000
앤트러사이트 서교점,카카오밀크,9000
앤트러사이트 서교점,모카포트 라떼,
우동카덴 서교점,키요유루동,7500
우동카덴 서교점,샐러드우동,12000
우동카덴 서교점,에비텐 붓카케우동,9500
우동카덴 서교점,카키아게 붓카케우동,9500
우동카덴 서교점,이까텐 붓카케우동,9500
감성타코 홍대점,감성 그릴드 파히타,38000
감성타코 홍대점,트리플 미트 파히타,35000
감성타코 홍대점,쉬림프 콤보 파히타,33000
감성타코 홍대점,치킨 콤보 파히타,31000
감성타코 홍대점,Pork Taco,9000
평이담백뼈칼국수,뼈칼국수,10000
평이담백뼈칼국수,비빔칼국수,9000
평이담백뼈칼국수,새우만두 (4개),6000
정돈,등심 돈카츠(220g),13000
정돈,안심 돈카츠(220g),14000
정돈,등심 돈카츠 카레(120g),13000
정돈,안심 돈카츠 카레(120g),14000
정돈,새우+안심 돈카츠(2P+220g),22000
이치젠,이치젠텐동,9000
이치젠,에비텐동,11000
이치젠,아나고텐동,13000
이치젠,스페셜텐동,15000
청어람 본점,양깃머리 (1인분),25000
청어람 본점,곱창 (1인분),22000
청어람 본점,막창 (1인분),20000
청어람 본점,곱창전골,25000
테이스티버거,크라켄버거:먹물번과 크라켄 오징어 패티의 특별함. 테이스티 버거의 오리지널 개발 메뉴,10900
테이스티버거,테이스티버거:밸런스를 갖춘 테이스티 버거의 맛있는 베이직 버거,7900
테이스티버거,에그마니버거:부드럽고 달콤한 에그 스크럼블과 베이컨/ 매콤한 특제 소스의 조화,8800
테이스티버거,베리나이스버거,8900
테이스티버거,더블치즈버거,10900
진짜파스타,쉬림프 토마토 파스타,7600
진짜파스타,찹 로제 파스타,14900
진짜파스타,베이컨 크림 파스타,8200
진짜파스타,신 고새 파스타,9100
진짜파스타,트러플 치킨 포테이토,10200
진짜파스타,비프 찹 스테이크,19900
헤키,히레카츠,12500
헤키,특히레카츠,14000
헤키,모둠카츠,14000
헤키,상로스카츠,16000
헤키,토리카츠,13000
포비 합정점,PICCOLO,4000
포비 합정점,LONG BLACK,3800
포비 합정점,AUSSIEICE,5500
포비 합정점,AFFOGATO,5000
포비 합정점,MOCHA,5000
당인리책발전소,아메리카노,5000
당인리책발전소,카페라떼,5500
당인리책발전소,바닐라라떼,6000
당인리책발전소,슈퍼말차라떼,6500
당인리책발전소,밀크초콜릿,5500
테일러커피 연남1호점,Americano,5500
테일러커피 연남1호점,Catte Latte,6000
테일러커피 연남1호점,Cream Mocha (HOT),6500
테일러커피 연남1호점,Bluesy (ICE),6000
테일러커피 연남1호점,Einspanner,6500
앤트러사이트 합정점,아메리카노(HOT),5000
앤트러사이트 합정점,카페라떼(HOT),5500
앤트러사이트 합정점,플랫화이트(HOT),5500
앤트러사이트 합정점,카페모카(HOT),6000
앤트러사이트 합정점,카푸치노(HOT),5500
한강껍데기,껍데기 (200g),7000
한강껍데기,왕갈비 (300g),12000
한강껍데기,생목살 (200g),13000
한강껍데기,생삼겹 (200g),13000
한강껍데기,불닭발,13000
한강껍데기,소막창 (200g),14000
한강껍데기,치즈불닭발,15000
한강껍데기,뼈X닭발,15000
마포원조떡볶이,떡볶이,2000
마포원조떡볶이,오뎅,1000
마포원조떡볶이,순대,2000
마포원조떡볶이,김밥,2500
마포원조떡볶이,튀김 (3개),1000
툭툭누들타이,얌운센,13000
툭툭누들타이,똠셉,15000
툭툭누들타이,꿍눙마나오,32000
툭툭누들타이,뿌님팟퐁커리,27000
툭툭누들타이,팟타이꿍,13000
툭툭누들타이,텃만꿍,12000
툭툭누들타이,무삥가이삥,13000
툭툭누들타이,커무양,18000
툭툭누들타이,갈비튀김,18000
툭툭누들타이,연남갈비국수,13000
진진 본관,멘보샤(6ps),22000
진진 본관,마파두부,20000
진진 본관,홍믄생선:예약메뉴,38000
진진 본관,두찌전복:예약메뉴,50000
진진 본관,깐풍대하:예약메뉴,10000
진진 본관,카이란전복:예약메뉴,38000
진진 본관,금사오용:예약메뉴,45000
진진 본관,주유원제:예약메뉴,38000
진진 본관,오향냉채,17500
진진 본관,대게살볶음,23000
진진 본관,팔보채,42000
진진 본관,카이란 소고기 볶음,22000
진진 본관,깐풍기,20000
진진 본관,간쇼새우,24000
진진 본관,홍쇼해삼,65000
진진 본관,칭찡우럭,38000
진진 본관,꿔샤오기,20000
진진 본관,마의상수,16500
진진 본관,어향가지,17500
진진 본관,소고기양상추쌈,20000
진진 본관,멘보샤,
황금콩밭,두부짜글이,8000
황금콩밭,돼지짜글이,9000
황금콩밭,시래기비지탕,9000
황금콩밭,두부젓국,22000
황금콩밭,짜박두부,34000
마포진짜원조최대포 본점,김치찌개:점심메뉴,7000
마포진짜원조최대포 본점,돼지갈비(1인분),14000
마포진짜원조최대포 본점,소금구이(1인분),15000
마포진짜원조최대포 본점,갈매기살(150g),15000
마포진짜원조최대포 본점,냉흑미쌀국수,6000
도꼭지,고등어구이+계절솥밥 (런치),13000
도꼭지,삼치구이+계절솥밥 (런치),15000
도꼭지,제주산갈치구이+계절솥밥 (런치),18000
도꼭지,제육볶음 (런치),7000
도꼭지,계절솥밥 (런치),6000
도꼭지,도미솥밥,
곱 마포점,모듬구이(250g):곱창 / 염통 / 막창 을 한번에 즐기실 수 있는 모듬 구이입니다.,21000
곱 마포점,황소곱창(250g):100% 국산한우 소곱창으로 당일도축 곱창만으로 구워드립니다.,23000
곱 마포점,대창구이(280g):100% 국산한우 소대창으로 당일도축한 대창만으로 구워드립니다.,21000
곱 마포점,막창구이(220g):쫄깃쫄깃한 식감을 즐기실 수 있는 막창구이입니다.,21000
곱 마포점,특양구이 (160g):탱글탱글하고 쫄깃한 맛의 특양구이 입니다.,25000
곱 마포점,염통구이(200g):100% 국산한우 소염통으로/ 당일도축된 염통으로만 조리해드립니다.,15000
1984,카페라테,6000
1984,뱅쇼,8000
1984,말차라테,6500
1984,쇼콜라,6800
1984,사과착즙주스,7000
1984,플레인 베이글,4000
와이키키마켓,한우꽃등심세트,60000
와이키키마켓,순살파닭치킨,20000
와이키키마켓,순살치킨,18000
와이키키마켓,새우튀김,15000
와이키키마켓,오징어튀김,15000
와이키키마켓,먹태구이,15000
모연,등심 (150g),53000
모연,안심 (150g),62000
모연,안창살 (130g),72000
모연,생갈비 (200g),84000
모연,양념등심 (150g),53000
원조조박집 본관,국내산 한우 주물럭(1인),47000
원조조박집 본관,국내산 돼지갈비(1인),16000
원조조박집 본관,돼지갈비,16000
연남물갈비,연남물갈비(1인분):2인분 이상,15000
연남물갈비,연남불고기(1인분):2인분 이상,15000
연남물갈비,명품육전,15000
연남물갈비,육전&물막국수,9000
연남물갈비,육전&비빔막국수,9000
카쿠시타,연남카츠,13000
카쿠시타,후냐후냐오믈렛,13000
카쿠시타,모츠나베,29000
카페공명,아메리카노,5000
카페공명,카페라떼,5500
카페공명,바닐라빈 라떼,6000
카페공명,공명 밀크티,6500
카페공명,레몬에이드,6500
아소정,물냉면,8000
아소정,비빔냉면,8000
아소정,회냉면,9000
아소정,섞음냉면,9000
아소정,매운청양고추냉면,9000
아소정,여린무 물냉면,9000
아소정,여린무 비빔냉면,9000
중화복춘,오향장육 [안휘성본토풍],46000
중화복춘,오색원왕 구수 [평판냉채] (소),41000
중화복춘,가정식복춘냉구품복춘 양장피소채,49000
중화복춘,복춘사품 바이판 (소) [냉채],43000
중화복춘,칭쯩X.O쌴뻬이알 (소) [해선가리비찜],43000
중화복춘,통샥스핀 자연송이찜 (중),160000
중화복춘,복건 한방불도장,240000
중화복춘,허베이 한방 저쪽찜 (중),98000
중화복춘,목화솜 크림새우 (소) [상해],34000
중화복춘,목화솜 깐쇼새우 (소) [사천],35000
중화복춘,복춘 라즈지 (소),38000
중화복춘,연잎동파육 (소) [쑤저우정통],55000
중화복춘,사자두 자연송이 완자찜 (중)정통],65000
중화복춘,쏘추안 마파또우푸 (중),47000
중화복춘,목화솜 어향가지 (소),39000
중화복춘,팔보채[광동풍미] (소),54000
중화복춘,정통 전가복[본토] (중),67000
중화복춘,일품 호부추잡채 (중),44000
중화복춘,X.O건새우 통 배추찜 (소),38000
중화복춘,본토 정통 삼선과바 (중),58000
중화복춘,새우 대게살 완탕[남방특선요리],46000
중화복춘,한방버섯 사자두완탕 (중),54000
중화복춘,신축년 특선요리,변동가격
중화복춘,일품요리,변동가격
중화복춘,일품 탕 요리,변동가격
담택,시오라멘,8000
담택,유자시오라멘,8500
담택,레몬시오라멘,8500
담택,와사비시오라멘,9500
브런치가,뉴욕 스타일 스테이크,19800
브런치가,아메리카노,4100
브런치가,카페라떼,4500
브런치가,얼그레이,5500
브런치가,레몬에이드,6000
마포양지설렁탕,설렁탕,10000
마포양지설렁탕,설렁탕 (특),15000
마포양지설렁탕,내장탕,10000
마포양지설렁탕,내장탕 (특),15000
마포양지설렁탕,꼬리탕,20000
마포양지설렁탕,도가니탕,20000
마포양지설렁탕,꼬리찜,60000
마포양지설렁탕,도가니수육,60000
마포양지설렁탕,우족수육,60000
마포양지설렁탕,우족탕,22000
마포양지설렁탕,수육(대),40000
마포양지설렁탕,수육(소),30000
마포양지설렁탕,내장수육(대),40000
마포양지설렁탕,내장수육(소),30000
맛이차이나,A SET:탕수육(소)+새우6미,
맛이차이나,B SET:깐풍기(소)+새우6미,
맛이차이나,C SET:탕수육(소)+해물누룽지탕,
맛이차이나,런치코스:특색냉채+게살스프+팔보채+탕수육+식사+후식,
맛이차이나,디너코스:특색냉채+게살스프+어향동고+통전복찜+깐풍기+자연송이소고기안심+식사+후식,
맛이차이나,탕수육 (대),
맛이차이나,탕수육 (중),
맛이차이나,탕수육 (소),
맛이차이나,사천탕수육 (대),
맛이차이나,사천탕수육 (중),
맛이차이나,사천탕수육 (소),
맛이차이나,크림새우 (12미),
맛이차이나,크림새우 (9미),
맛이차이나,크림새우 (6미),
맛이차이나,칠리새우 (12미),
맛이차이나,칠리새우 (9미),
맛이차이나,칠리새우 (6미),
맛이차이나,깐풍새우 (12미),
맛이차이나,깐풍새우 (9미),
맛이차이나,깐풍새우 (6미),
빈브라더스 합정점,핸드드립,7000
빈브라더스 합정점,원앤원,6000
빈브라더스 합정점,에스프레소,6000
빈브라더스 합정점,롱블랙,6000
빈브라더스 합정점,아메리카노,6000
빈브라더스 합정점,카푸치노,6000
빈브라더스 합정점,라떼,6000
또보겠지떡볶이 해피토스점,또보겠지 즉석떡볶이 (2인분):계란1+2인기본사리,12000
또보겠지떡볶이 해피토스점,버터갈릭감자튀김,5000
또보겠지떡볶이 해피토스점,진한치즈감자튀김,6000
또보겠지떡볶이 해피토스점,달콤베이컨감자튀김,6000
작당모의,아메리카노,5000
작당모의,카페라떼,5500
작당모의,플랫화이트,5500
작당모의,아인슈페너,6500
작당모의,수제밀크티,7000
작당모의,계절과일음료,7500
피자네버슬립스 합정점,NEVER SLEEPS PIZZA (R),31000
피자네버슬립스 합정점,CHICKEN NEVER SLEEPS PIZZA (R),28000
피자네버슬립스 합정점,POTATO PIZZA (R),26000
피자네버슬립스 합정점,DOUBLE PEPPERONI PIZZA (R),25000
피자네버슬립스 합정점,PEPPERONI PIZZA (R),21000
딩가케이크,Americano,5000
딩가케이크,Cafe latte,5500
딩가케이크,Mocha latte,5800
딩가케이크,Strawberry shake,7000
딩가케이크,Kiwi banana,7300
진대감 마포점,날치알볶음밥,5000
진대감 마포점,한우차돌삼합,25000
진대감 마포점,한우차돌박이,25000
진대감 마포점,시원한묵사발,6000
진대감 마포점,시원한 묵사발,6000
진대감 마포점,한우1++소복불고기,25000
진대감 마포점,한우꽃게된장찌개,10000
진대감 마포점,키조개관자장비빔밥,10000
진대감 마포점,한우차돌짬뽕라면,8000
이요이요스시 공덕1호점,스시:런치,33000
이요이요스시 공덕1호점,사시미&스시:디너,60000
이요이요스시 공덕1호점,사시미,60000
이요이요스시 공덕1호점,타마고,20000
이요이요스시 공덕1호점,후토마끼,15000
바다회사랑 2호점,광어 (소),33000
바다회사랑 2호점,우럭 (중),40000
바다회사랑 2호점,모듬회 (소),50000
바다회사랑 2호점,도다리 세꼬시 (중),60000
바다회사랑 2호점,줄돔 세꼬시 (중),70000
하하,왕만두 (1개),2000
하하,찐만두,6000
하하,칠리새우,20000
하하,피단두부,5000
하하,산라탕,7000
연교,깐풍새우 (소),16000
연교,까쇼새우 (소),16000
연교,어향가지 (소),15000
연교,깐풍가지 (소),15000
연교,탕수육 (소),12000
덕승재 상암동본점,보리굴비정식:계절죽/물김치+계절샐러드+참치초회+불고기냉채+궁중잡채+코다리강정+오리훈제+식사 (7찬+찌개)+1인당 보리굴비 한마리+녹차+후식,28000
덕승재 상암동본점,갈비찜 정식:계절죽/물김치+계절샐러드+참치초회+불고기냉채+궁중잡채+코다리강정+오리훈제+식사 (7찬+찌개)+1인당 갈비찜 한그릇+후식,30000
덕승재 상암동본점,한 차림,18000
덕승재 상암동본점,더 차림,25000
덕승재 상암동본점,덕승재스페셜,38000
톤앤매너,딸기라떼,6000
톤앤매너,망고스무디,6000
톤앤매너,블루베리스무디,6500
톤앤매너,밀크티,6000
톤앤매너,레몬에이드,6000
램랜드,삼각갈비 (1인분),25000
램랜드,전골 (1인분),15000
램랜드,수육 (1인분),26000
램랜드,용봉탕 (4인분),195000
옥동식 서교점,돼지곰탕 (보통),9000
옥동식 서교점,돼지곰탕 (특),14000
옥동식 서교점,김치만두,5000
굴다리식당,김치찌개,8000
굴다리식당,제육볶음,11000
굴다리식당,계란말이,10000
여우골 홍대점,가마도로:목살부분,36000
여우골 홍대점,오도로:대뱃살,34000
여우골 홍대점,쥬도로:중뱃살,32000
여우골 홍대점,배꼽살:대뱃살,36000
여우골 홍대점,풀코스(3~4인):가마도로+오도로+쥬도로+배꼽살+머리살+초밥(2세트)+장새우+연어머리구이+돌우동,190000
여우골 홍대점,머리살,33000
여우골 홍대점,풀코스(2인),100000
여우골 홍대점,모듬초밥,10000
여우골 홍대점,연어세트,13000
여우골 홍대점,특선초밥,15000
여우골 홍대점,여우초밥,20000
여우골 홍대점,도로초밥,25000
여우골 홍대점,도로,2500
여우골 홍대점,장어,2500
여우골 홍대점,장새우,2000
여우골 홍대점,엔가와,2000
여우골 홍대점,연어뱃살,1700
여우골 홍대점,연어,1300
여우골 홍대점,찐새우,1300
여우골 홍대점,활어,1300
가미우동,가께 (그냥우동),5000
가미우동,와카메 (미역우동),6000
가미우동,츠키미 (반숙계란우동),6000
가미우동,가마다마,7000
가미우동,붓가께 (쯔유가부어진우동),6000
가미우동,자루 (쯔유따로면따로),6000
가미우동,냉 (시원한국물우동),6000
가미우동,쇼유 (간장우동),6000
마녀주방 홍대점,마녀 모자 타코 샐러드,6500
마녀주방 홍대점,매콤 토마토 리조또,12000
마녀주방 홍대점,불고기 필라프,12000
마녀주방 홍대점,스테이크 로제 파스타,13500
마녀주방 홍대점,거미줄 고구마 피자,16500
합정광안리,생연어회 (소),25000
합정광안리,육반연반 (소),25000
합정광안리,육사시미 (소),25000
합정광안리,광안 숙성 모듬회 (2~3인),45000
우리바다수산,오징어데침,7000
우리바다수산,산오징어,20000
우리바다수산,광어 (소),23000
우리바다수산,우럭 (대),29000
우리바다수산,우럭세꼬시,23000
우리바다수산,오징어물회,29000
우리바다수산,새우튀김,10000
모아새,CANDY Pouch(100g),7000
모아새,CANDY Pouch MAX(140g),10000
모아새,CANDY Ball(180g),14000
모아새,TIN Case(210g),25000
딥블루레이크 커피로스터스,Americano,4000
딥블루레이크 커피로스터스,Cafe Latte,4500
딥블루레이크 커피로스터스,Cappuccino,4500
딥블루레이크 커피로스터스,Green Nut Latte,6000
딥블루레이크 커피로스터스,Milk Tea,6000
일등식당,해장국,7000
아오이토리,야키소바빵,2800
아오이토리,새우카츠버거,3900
아오이토리,말차멜론빵,2700
아오이토리,명란바게트,2800
아오이토리,앙꼬버터,2400
아오이토리,고로케샌드,3500
아오이토리,치아바타 올리브,2600
아오이토리,유자단팥빵,1800
아오이토리,꼬마소금빵,1500
중화복춘골드 동교점,안휘본토 오향장육 (소),53000
중화복춘골드 동교점,안휘본토 오향장육 (중),61000
중화복춘골드 동교점,구품복춘 양장피 (소),59000
중화복춘골드 동교점,구품복춘 양장피 (중),68000
중화복춘골드 동교점,만한전석 샨즈냉채[예약],78000
중화복춘골드 동교점,자연송이 일품관자,29000
중화복춘골드 동교점,쯩 하이루오 캐비아 (중),115000
중화복춘골드 동교점,자연송이 일품 사자두 찜 (중),67000
중화복춘골드 동교점,허베이 한방 저족찜[예약],125000
중화복춘골드 동교점,목화솜 크림새우 (소) [상해식],38000
중화복춘골드 동교점,목화솜 깐쇼새우 (소) [쓰추안풍],39000
중화복춘골드 동교점,광동풍미 팔보채 (소),58000
중화복춘골드 동교점,흑화고 대하 해삼[찜] (소),61000
중화복춘골드 동교점,목화솜 어향가지 (중),49000
중화복춘골드 동교점,본토정통 전가복,69000
중화복춘골드 동교점,쑤저우정통 연잎 동파육 (중) [예약],71000
중화복춘골드 동교점,통 샥스핀 자연송이 찜[예약],180000
중화복춘골드 동교점,복춘 라즈지 (중),42000
중화복춘골드 동교점,목화솜 고로육 (소),37000
중화복춘골드 동교점,본토일품 호부추 잡채 (소),48000
중화복춘골드 동교점,일품 공심채 쇠고기 (중),53000
중화복춘골드 동교점,본토정통 삼선과바,64000
중화복춘골드 동교점,한방 사자두 완탕 [대륙10대요리],57000
중화복춘골드 동교점,푸지엔 한방 불도장 (4인분) [예약],240000
중화복춘골드 동교점,복춘 냉채,
중화복춘골드 동교점,신축년 특선요리,
슬로우캘리,하와이안 갈릭 쉬림프,11500
슬로우캘리,로코모코,12500
슬로우캘리,클래식 참치 포케(M),8700
슬로우캘리,솔트앤페퍼 참치 포케(M),8700
슬로우캘리,스파이시 살몬 포케(M),9700
슬로우캘리,하와이안 갈릭 쉬림프,11500
슬로우캘리,프리미엄 살몬 스테이크,13500
슬로우캘리,로코모코,12500
슬로우캘리,클래식 참치 포케 (M),8700
슬로우캘리,스파이시 참치 포케 (M),8700
마포나루 도화본점,닭찜,38000
마포나루 도화본점,나루함박햄전골,30000
마포나루 도화본점,생굴+나루보쌈,38000
마포나루 도화본점,홍어+나루보쌈,38000
마포나루 도화본점,나루육개장,8000
마포나루 도화본점,나루국밥,8000
마포나루 도화본점,해물파전,19000
동무밥상,어복쟁반,80000
동무밥상,평양랭면,11000
동무밥상,돼지국밥,10000
동무밥상,평양만두국,8000
동무밥상,찹쌀순대,12000
동무밥상,소고기초무침,13000
커피리브레 연남점,원두:200g/ 500g 단위로 판매합니다. 가격/ 종류는 매주 달라집니다.,변동가격
커피리브레 연남점,에스프레소,4000
커피리브레 연남점,아메리카노,4000
커피리브레 연남점,카페 라떼,4000
커피리브레 연남점,핸드 드립,4000
커피리브레 연남점,더치 커피,7000
커피리브레 연남점,더치 라떼,7000
커피리브레 연남점,아이스티,5500
커피리브레 연남점,밀크티,6500
커피리브레 연남점,핫 초콜렛,6000
커피리브레 연남점,아이스 초콜렛,6000
커피리브레 연남점,바닐라 라떼,5000
커피리브레 연남점,오트 라떼,5000
커피리브레 연남점,콤부차,5500
커피리브레 연남점,쿠키,2500
랑데자뷰 상수점,Rendeja-vous (ICED),7000
랑데자뷰 상수점,Americano,5500
랑데자뷰 상수점,Cafe Latte,6000
랑데자뷰 상수점,Jeju Greentea Latte,6500
랑데자뷰 상수점,Tarte (Seasonal fruit),7300
몰토베네,마르게리따,22000
몰토베네,살치살 스테이크 (250g),42000
몰토베네,풍기,24000
몰토베네,리구리아,26000
몰토베네,토마토샐러드,18000
어메이징농카이,새우볶음면,13000
어메이징농카이,Wun sen pat ki mao,14000
어메이징농카이,새우 당면 볶음,11000
어메이징농카이,전분소스 해물 쌀국수,14000
어메이징농카이,간장소스 돼지고기 쌀국수볶음,13000
어메이징농카이,모듬해물 볶음밥,11000
어메이징농카이,파인애플 볶음밥,12000
어메이징농카이,새우 당면 볶음,11000
어메이징농카이,닭고기 당면 볶음,10000
어메이징농카이,돼지고기 당면 볶음,10000
어메이징농카이,춘권튀김,8000
어메이징농카이,태국식 어묵 부침,9000
어메이징농카이,태국식 새우 부침,10000
어메이징농카이,닭날개 튀김,8000
어메이징농카이,태국식 어묵(소고기)튀김,8000
어메이징농카이,태국식 어묵(돼지고기)튀김,8000
어메이징농카이,매콤 허브 민물생선튀김,35000
어메이징농카이,새콤매콤 새우탕,20000
어메이징농카이,바질잎 튀긴돼지고기 덮밥,13000
