식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
찰스커피컴퍼니, 카페 / 디저트,,서울시 은평구 응암동 427-108,,02-384-8944,4
금원냉면, 국수 / 면 요리,,서울시 은평구 역촌동 10-82 1F,,02-355-3533,3
봉희설렁탕, 탕 / 찌개 / 전골,,서울시 은평구 신사동 35-20,,02-302-9754,12
오징어청춘, 해산물 요리,,서울시 은평구 갈현동 400-6,16:00 - 04:00,02-356-5535,4
콩고물, 카페 / 디저트,,서울시 은평구 진관동 20,,02-388-1212,0
진국수, 국수 / 면 요리,,서울시 은평구 불광동 310-273,,02-3141-3567,6
한신포차, 전통 주점 / 포차,,서울시 은평구 갈현동 400-2,15:00 - 07:00,02-357-8839,3
싸리골, 고기 요리,,서울시 은평구 구산동 202-18,월-금: 10:00 - 22:30 토-일: 10:30 - 23:00,02-355-3086,3
송추가마골, 고기 요리,,서울시 은평구 진관동 300-5,11:00 - 21:45,02-371-0022,7
IN THE AIR, 카페 / 디저트,,서울시 은평구 불광동 603-1 2F,월-토: 11:00 - 24:00 일: 11:00 - 21:00,02-6402-0909,1
스와가트, 인도 음식,,서울시 은평구 진관동 100 헤스티아 1차 2F,11:00 - 22:00,02-388-4667,6
차돌식당, 탕 / 찌개 / 전골,,서울시 은평구 불광동 310-20,,02-356-3613,3
공휴일 카페, 카페 / 디저트,,서울시 은평구 갈현동 110-12 1F,,070-4898-3460,2
커피송, 카페 / 디저트,,서울시 은평구 불광동 326-10,일-금: 08:00 - 19:00 토: 10:00 - 19:00,02-352-7989,3
TOAST, 기타 한식,,서울시 은평구 구산동 202-5,,070-8870-3492,3
명동수제돈가스, 까스 요리,,서울시 은평구 대조동 240 NC백화점불광점 9F,,010-6210-3886,3
산들애건강밥상, 한정식 / 백반 / 정통 한식,,서울시 은평구 진관동 278-30,,02-385-9693,4
누사펍, 치킨 / 호프 / 펍,,서울시 은평구 갈현동 402-42 B1,17:00 - 03:00,0507-1400-2509,4
대성각, 정통 중식 / 일반 중식,,서울시 은평구 녹번동 82-20,,02-356-2194,4
온도, 퓨전 한식,,서울시 은평구 역촌동 70-15,18:00 - 05:00,02-353-1393,3
나무자전거, 카페 / 디저트,,서울시 은평구 구산동 9-50,월-금: 08:30 - 19:00 토: 08:30 - 16:00,02-355-3907,0
에키소바, 라멘 / 소바 / 우동,,서울시 은평구 갈현동 400-6 1F,,02-2135-2488,3
아주불곱창, 고기 요리,,서울시 은평구 응암동 90-14,16:00 - 02:00,02-384-5440,9
아웃닭, 닭 / 오리 요리,,서울시 은평구 갈현동 401-2 1F,16:00 - 02:00,02-6338-4469,6
양구순두부, 탕 / 찌개 / 전골,,서울시 은평구 갈현동 402-9,,010-8753-7185,3
하쿠마이텐동, 돈부리 / 일본 카레 / 벤토,,서울시 은평구 갈현동 393-10 1F,,02-6404-2554,2
포히엔, 베트남 음식,,서울시 은평구 갈현동 400-4 2F,,02-6925-5881,1
연신내고깃집, 고기 요리,,서울시 은평구 대조동 205-22,,02-356-9533,0
라쿠, 정통 일식 / 일반 일식,,서울시 은평구 대조동 201-3 1F,11:30 - 21:30,02-357-2752,3
수내닭꼬치, 기타 한식,,서울시 은평구 갈현동 401-15,,02-384-8854,2
어벤츄스앤드커피, 카페 / 디저트,,서울시 은평구 대조동 240 NC백화점 불광점 9F,,,3
도래울부대찌개감자탕, 탕 / 찌개 / 전골,,서울시 은평구 대조동 12-20 2F,10:00 - 24:00,02-357-4321,2
