식당이름,메뉴,가격
스시카나에,런치 오마카세,65000
스시카나에,디너 오마카세,130000
파씨오네,런치 코스,50000
파씨오네,디너 코스,88000
엘리스리틀이태리,카프레제,17000
엘리스리틀이태리,봉골레,18000
엘리스리틀이태리,푸타네스카,20000
엘리스리틀이태리,새우버섯과루꼴라피자,20000
엘리스리틀이태리,안심스테이크,38000
BISTROT de YOUNTVILLE,런치3코스,49000
BISTROT de YOUNTVILLE,런치4코스,78000
BISTROT de YOUNTVILLE,디너3코스,84000
BISTROT de YOUNTVILLE,디너4코스,98000
쥬에,바삭한 돼지 바비큐,39000
쥬에,런치 남작 코스,78000
쥬에,런치 주작 코스,138000
쥬에,디너 백작 코스,108000
쥬에,디너 후작 코스,148000
산울림1992,치즈 감자전,22000
산울림1992,목살 묵은지 김치찜,24000
산울림1992,설도 육전,28000
산울림1992,해물 파전,20000
산울림1992,수비드 된장 맥적,24000
오스테리아 오르조,트러플 프렌치프라이즈,9000
오스테리아 오르조,한우안심 카르파치오,28000
오스테리아 오르조,화이트라구 파스타,27000
오스테리아 오르조,우니 파스타,29000
오스테리아 오르조,채끝등심 스테이크 (100g),34000
스시소라 광화문점,런치 카운터 오마카세,50000
스시소라 광화문점,런치 스시코스,35000
스시소라 광화문점,디너 카운터 오마카세,80000
스시소라 광화문점,디너 스시코스,55000
이치에,사시미모리아와세 (2인),59000
이치에,아마에비,30000
이치에,혼마구로,33000
이치에,호다테후라이,25000
이치에,멘치카츠 (4pcs),22000
밴건디 스테이크 하우스,포터하우스 (100g),20000
밴건디 스테이크 하우스,엘 본 (100g),19000
밴건디 스테이크 하우스,필릿 미뇽 (300g) ,73500
밴건디 스테이크 하우스,뉴욕 스테이크 (350g),73500
와라야키 쿠이신보,참치뱃살 타타키,47000
와라야키 쿠이신보,참치등살 타타키,29000
와라야키 쿠이신보,도미 사시미,11000
와라야키 쿠이신보,요세나베,29000
와라야키 쿠이신보,한우우설 숯불구이,14000
콴안다오,호띠우,7500
콴안다오,분깐조,10500
콴안다오,껌징능주,9500
콴안다오,짜조,6000
콴안다오,반미,7000
가담,유린기 (4인분),27000
가담,고추탕수육 (4인분),24000
가담,가담정식,15000
껠끄쇼즈,아메리카노,4500
껠끄쇼즈,티,6500
껠끄쇼즈,얼그레이 커피 타르트,8500
껠끄쇼즈,마카롱 (1ea),3000
껠끄쇼즈,마카롱 (6ea),18000
Osso파스타,열무앤초비스파게티,15000
Osso파스타,홍새우로제 파스타,15000
더파크뷰 서울신라호텔,아침 뷔페 (성인),64000
더파크뷰 서울신라호텔,주중 브런치 뷔페 (성인),113000
더파크뷰 서울신라호텔,주말/공휴일 브런치 뷔페 (성인),116000
더파크뷰 서울신라호텔,저녁 뷔페 (성인),123000
스시키,런치 오마카세,55000
스시키,디너 스시오마카세,110000
당도,젤라또 (두가지 맛),3900
당도,젤라또 포장박스 (500cc),18000
카와카츠,카와 로스카츠 (220g),13000
카와카츠,카와 히레카츠 (200g),14000
카와카츠,카와 특로스카츠 (240g),16000
카와카츠,카와 모둠카츠 (200g+70g),17000
카와카츠,카와 오로시카츠,1000
농민백암왕순대 강남역점,국밥,8000
농민백암왕순대 강남역점,수육,28000
농민백암왕순대 강남역점,술국,17000
농민백암왕순대 강남역점,토종순대,10000
아리아께 서울신라호텔,나미 점심 세트 (런치),110000
아리아께 서울신라호텔,미츠 점심 세트,110000
아리아께 서울신라호텔,사치 스시코스 (디너),205000
야상해,소룡보 (4ea),6000
야상해,부추만두 (10ea),6000
야상해,지짐만두 (4ea),6000
야상해,사천소면,6000
야상해,상해식동파육,15000
야키토리묵,야키토리 오마카세 (1부),35000
야키토리묵,야키토리 오마카세 (2부),18000
보트르메종,런치 시그니처코스,65000
보트르메종,디너 시그니처코스,150000
비엘티스테이크 JW메리어트 호텔 동대문,BLT쉐어링런치 (2인),155000
비엘티스테이크 JW메리어트 호텔 동대문,쉐프의런치,58000
비엘티스테이크 JW메리어트 호텔 동대문,치킨브리스트,28000
비엘티스테이크 JW메리어트 호텔 동대문,립아이스테이크 (360g),127000
비엘티스테이크 JW메리어트 호텔 동대문,티본스테이크 (600g),172000
유즈라멘,유즈시요라멘,10000
유즈라멘,매운유즈소유라멘,11000
유즈라멘,시오라멘,10000
유즈라멘,유즈츠케멘,12000
유즈라멘,튀김김치만두 (4ea),5000
듁스커피,듁스화이트,4000
듁스커피,듁스블랙,4000
카츠바이콘반,로스카츠 정식,15000
카츠바이콘반,로스카츠 단품,11000
카츠바이콘반,히레카츠 정식,17000
카츠바이콘반,히레카츠 단품,13000
카츠바이콘반,믹스카츠 정식,20000
부촌육회,육회 (200g),15000
부촌육회,산낙지탕탕이,15000
부촌육회,육회물회,25000
부촌육회,육사시미,28000
부촌육회,육회낙지탕탕이,28000
이치류 홍대본점,특양고기생살치살,28000
이치류 홍대본점,양고기생등심,26000
이치류 홍대본점,양갈비,29000
이치류 홍대본점,이치류오뎅탕,20000
이치류 홍대본점,공기밥,2000
차만다 잠실점,셰퍼드파이 (코티지파이),19500
차만다 잠실점,피쉬앤칩스,25000
차만다 잠실점,치킨티카마살라,18000
차만다 잠실점,요크셔포크벨리,18000
야스노야지로,오스스메 셋트 (240g),35000
야스노야지로,지로오리지널페어링,30000
야스노야지로,징기스칸 생 양고기 (100g),12000
야스노야지로,카타마리 생양고기 (1000g),13000
야스노야지로,라무 탄 (100g),13000
세스크멘슬,콜드컷 샌드위치,7500
세스크멘슬,햄치즈 샌드위치,7500
세스크멘슬,연어 샌드위치,9000
세스크멘슬,보스나 샌드위치,9000
세스크멘슬,프로슈토,9000
허브족발 본점,앞다리족발,40000
허브족발 본점,뒷다리족발,36000
허브족발 본점,매콤족발,41000
허브족발 본점,앞다리족발 매콤족발 (반반),43000
허브족발 본점,뒷다리족발 매콤족발 (반반),39000
슬로우치즈,모짜렐라 피오르 디 라테 프로슈토 크루도,18000
슬로우치즈,부라타,23000
슬로우치즈,아메리카노,4500
카레,진저포크카레,11000
카레,시금치카레,9000
카레,일본식 반숙달걀조림 (추가),1500
호가양꼬치 4호점,양갈비 (300g),28000
호가양꼬치 4호점,양꼬치 (200g),14000
호가양꼬치 4호점,탕수육,15000
호가양꼬치 4호점,꿔바오루,18000
호가양꼬치 4호점,고급양갈비,28000
로컬릿,가지 라자냐,15000
로컬릿,시금치 뇨끼,18000
로컬릿,뽀모도로,16000
로컬릿,한우라구,20000
로컬릿,한우채끝스테이크 (200g),48000
광화문국밥,돼지국밥 (보통),8500
광화문국밥,평양냉면,11500
광화문국밥,메밀온면 (계절메뉴),9500
광화문국밥,돼지수육 (한접시),23000
광화문국밥,피순대,15000
매덕스피자 신사점,마르게리타피자,48000
매덕스피자 신사점,치즈피자,34000
매덕스피자 신사점,페퍼로니피자,40000
매덕스피자 신사점,하와이안피자,49000
쉐시몽,점심,45000
쉐시몽,저녁,75000
오향가 가락본점,오향족발 (대),40000
오향가 가락본점,냉채족발 (대),40000
오향가 가락본점,오향장육 (대),33000
오향가 가락본점,오향가탕수육 (대),27000
만가타,클래식 코스,59000
만가타,테이스팅 코스,69000
만가타,미트볼,16000
만가타,오리 리조또,22000
만가타,염장 플래터,19000
스시 시미즈,점심 스시 오마카세,88000
스시 시미즈,저녁 스시 오마카세,155000
스시 시미즈,저녁 사시미 오마카세,185000
코슌,세미,38000
코슌,풀 (카운터),58000
코슌,풀 (룸),78000
물랑,점심,75000
물랑,저녁,150000
로향양꼬치,양꼬치,12000
로향양꼬치,마라양꼬치,14000
로향양꼬치,고급양갈비,25000
로향양꼬치,양줄기,11000
도림 롯데호텔서울,홀코스 (1인),60000
도림 롯데호텔서울,룸점심 (1인),95000
도림 롯데호텔서울,룸코스 (1인),110000
우육면관 청계천점,우육면,9000
우육면관 청계천점,우육면 (특),12000
쎄쎄종,아메리카노,4500
쎄쎄종,카페라떼,5000
쎄쎄종,오늘의 밀크티,7000
쎄쎄종,바닐라타르트,9000
쎄쎄종,코코오레,8800
티크닉,블랙티,4000
티크닉,오리지널 밀크티,5000
티크닉,크림티 세트,10000
티크닉,클래식 스콘,2500
티크닉,홍차롤케이크,5000
콰이어트 크림티,아쌈 G.F.O.P,7000
콰이어트 크림티,애프터눈 블렌드,7000
콰이어트 크림티,루이보스 초콜릿 트러플,7000
콰이어트 크림티,오리지널 밀크티,7500
콰이어트 크림티,바닐라 루이보스 밀크티,8000
삐아프,봉봉 15구 세트,41000
삐아프,봉봉 10구 세트,28000
삐아프,봉봉 6구 세트,17500
삐아프,봉봉 4구 세트,12500
삐아프,봉봉 2구 세트,6500
영동민물장어,강화갯벌장어,75000
영동민물장어,장어구이,42000
영동민물장어,백합국수,9000
영동민물장어,장어술밥,15000
영동민물장어,돌솥장어덮밥,32000
이누식당,늘솜,19000
이누식당,또바기,23000
이누식당,바림,29000
이누식당,박살 타다끼,33000
이누식당,꼬리별,55000
북천,브라운돈가스,10000
북천,브라운치킨가스,10000
북천,로스가스,10000
북천,화이트돈가스,13000
북천,크림우동,9000
모짜,씨저 샐러드,19000
모짜,프로슈토루꼴라,25500
모짜,까르보나라,20000
모짜,바베큐 폭립 리조또,34000
모짜,등심스테이크,60000
디저티스트,타르트바닐라,7800
디저티스트,망고패션파르페,13500
디저티스트,얼그레이오페라,7800
디저티스트,블랙트러플마카롱,3500
디저티스트,허브티,7000
버거파크 혜화점,치즈버거 (싱글),5900
버거파크 혜화점,치즈버거 (더블),7900
버거파크 혜화점,해쉬베이컨버거 (싱글),6900
버거파크 혜화점,해쉬베이컨버거 (더블),8900
버거파크 혜화점,감자튀김,2500
멘야준,시오라멘,8500
멘야준,특선 시오라멘,11000
멘야준,미소라멘,9500
멘야준,소유라멘,9000
멘야준,고기밥,3000
러시아케익,쏘세지빵,2000
러시아케익,쇠고기쌈사,2500
러시아케익,파운드케익,5000
러시아케익,치즈파이,10000
러시아케익,연어파이,12000
브라운브레드 도곡점,햄치즈 샌드위치,4900
브라운브레드 도곡점,구운버섯 샌드위치,7900
브라운브레드 도곡점,생크림스콘,3600
브라운브레드 도곡점,블랙올리브,3100
남박,한우 쌀국수,12000
남박,얼큰 한우 쌀국수,13000
남박,한우 수육 반접시,12000
무학,돼지생갈비 (200g),17000
무학,돼지양념생갈비 (250g),17000
무학,양념게장,10000
무학,청국장,6000
마루심 마포점,(상)히쯔마부시,36000
마루심 마포점,장어 한마리 정식,36000
마루심 마포점,기모 우나동,39000
마루심 마포점,장어고무스비,21000
마루심 마포점,초밥정식 (10ps),25000
아티장베이커스 한남점,고구마치즈사워도우,4000
아티장베이커스 한남점,치즈올리브사워도우,5500
아티장베이커스 한남점,크루아상,3000
아티장베이커스 한남점,우유크림빵,1500
빠사삭,1인 세트,6500
빠사삭,빠사삭 A,15000
빠사삭,빠사삭 B,15000
빠사삭,국물떡볶이,3500
빠사삭,신라면,3000
비파티세리 공덕점,퀸아망 클래식,4500
비파티세리 공덕점,퀸아망 플레이버,5000
비파티세리 공덕점,클럽 샌드위치,10000
비파티세리 공덕점,그릭베지샐러드,11000
비파티세리 공덕점,아보카도 수란 샌드위치,11000
미오도쿄다이닝,도쿄수제함바그,12000
미오도쿄다이닝,도쿄수제함바그고젠,12000
미오도쿄다이닝,도쿄키마카레고젠,8900
미오도쿄다이닝,치킨스테이크고젠,9900
미오도쿄다이닝,포크 갈릭에 빠지다,8900
지아니스나폴리 역삼 본점,감베리 크레마,17500
지아니스나폴리 역삼 본점,봉골레 프레스케,18500
지아니스나폴리 역삼 본점,만조 크림 리조또,25000
지아니스나폴리 역삼 본점,레지나,21000
지아니스나폴리 역삼 본점,모르타델라,23000
오스테리아샘킴,구운새우와 시칠리아 가지요리,21000
오스테리아샘킴,관자구이와 라디치오,23000
오스테리아샘킴,새우와 루꼴라 스파게티니,23000
오스테리아샘킴,문어와 마늘종 스파게티니,25000
오스테리아샘킴,이베리코 뼈등심,59000
톡톡,런치코스,75000
톡톡,주말 런치코스,90000
톡톡,디너코스,150000
진미평양냉면,냉면,12000
진미평양냉면,비빔면,12000
진미평양냉면,제육,26000
진미평양냉면,편육,28000
진미평양냉면,불고기 (2인 이상),28000
진만두,따 빠오즈 소 (3개),10000
진만두,꾸어티얼,7000
진만두,쯩겨,7000
진만두,동파육 (한정소량),26000
진만두,오향진장육,18000
다로베 휴업중 서울숲점,칼존,23000
다로베 휴업중 서울숲점,다로베,25000
다로베 휴업중 서울숲점,마르게리타 부팔라,19500
다로베 휴업중 서울숲점,마리나라,16000
다로베 휴업중 서울숲점,포르시니 크레마,23000
브라이리퍼블릭 이태원점,Banger Platter,18000
브라이리퍼블릭 이태원점,Lamb Potato,23000
브라이리퍼블릭 이태원점,Lamb Sweet Potato,24000
브라이리퍼블릭 이태원점,Karoo Surf and Turf,33000
브라이리퍼블릭 이태원점,Meat Platter,36000
중앙해장,한우양선지해장국,10000
중앙해장,내장탕,13000
중앙해장,한우양지곰탕,11000
중앙해장,곱창전골 (중),59000
중앙해장,곱창전골 (대),89000
소금집델리 망원,잠봉뵈르 샌드위치,12000
소금집델리 망원,잠봉프로마쥬 샌드위치,12000
소금집델리 망원,파스트라미 샌드위치,12000
소금집델리 망원,살라미 샌드위치,12000
소금집델리 망원,머플레타 샌드위치,14000
호머 본점,스파이시 라구 피자 (1조각),6000
호머 본점,화이트 트러플 피자 (1조각),6500
호머 본점,치즈 피자 (1조각),4500
호머 본점,소프레사타 피자 (1조각),5500
호머 본점,스파이스 라구 피자 ,36000
스시선수,런치 스시세트,65000
스시선수,런치 사시미세트,6500
스시선수,디너 스시코스,130000
스시선수,디너 오마카세,250000
스시려 프리미엄,런치 오마카세,60000
스시려 프리미엄,프리미엄 오마카세,120000
길목,투뿔목살 (200g),16000
길목,특오겹살 (200g),16000
길목,껍살 (250g),18000
길목,정가브리(200g),18000
서관면옥,평양냉면,13000
서관면옥,골동냉면,13000
서관면옥,선비냉면,13000
서관면옥,맛박이냉면,15000
서관면옥,돝제육,15000
갓포아키 도산공원점,아나고덴푸라,33000
갓포아키 도산공원점,타코사라다,29000
갓포아키 도산공원점,해수우니 (100g),35000
갓포아키 도산공원점,도다리쑥국,29000
갓포아키 도산공원점,난코츠가라아게,9000
젠제로,컵/콘 (1인),5000
젠제로,보냉포장 (소),19000
젠제로,보냉포장 (중),26000
젠제로,보냉포장 (대),34000
젠제로,고메박스,32000
스시고,런치코스,55000
스시고,디너코스,130000
두만강샤브샤브,마라탕,18000
두만강샤브샤브,마라향과,20000
두만강샤브샤브,새우가지만두,16000
두만강샤브샤브,마라민물가지,28000
두만강샤브샤브,샤브셋트,35000
칸다소바 경복궁점,마제소바,10000
칸다소바 경복궁점,아부라소바,10000
칸다소바 경복궁점,콜라,2000
칸다소바 경복궁점,레드락생맥주,4000
소울브레드,프레즐,2500
소울브레드,버터프레즐,3500
소울브레드,앙버터프레즐,4000
소울브레드,쇼콜라 사워도우,4500
소울브레드,올리브 치아바타,3000
칙피스,부채살스테이크 라이스,10000
칙피스,치킨샐러드,10000
칙피스,비건샐러드,10000
칙피스,비건버거,9500
칙피스,치킨 샥슈카,12000
있을재,바삭한 감자뇨끼,29000
있을재,홍합찜,27000
있을재,따야린,32000
있을재,토종닭구이,45000
있을재,우설과 아롱사태찜,42000
첸토페르첸토,스튜만조,19000
첸토페르첸토,오리라구라자냐,24000
첸토페르첸토,부채살스테이크,29000
첸토페르첸토,아마트리치아나스파게티,17000
첸토페르첸토,깐넬로니,19000
더라이브러리 서울신라호텔,애플망고빙수,64000
더라이브러리 서울신라호텔,에스프레소,18000
더라이브러리 서울신라호텔,카푸치노 (HOT),19500
더라이브러리 서울신라호텔,그린티 라테,22000
더라이브러리 서울신라호텔,프레시 주스,20000
사루카메,카메라멘,9800
사루카메,사루라멘,9000
사루카메,계절한정바지락꽃게라멘 ,13800
사루카메,미니스키야키동,3800
사루카메,아스파라거스하루마키 ,3000
롸카두들내쉬빌핫치킨 압구정점,더클래식,7700
롸카두들내쉬빌핫치킨 압구정점,그랜파,7900
롸카두들내쉬빌핫치킨 압구정점,수프림씨,8900
롸카두들내쉬빌핫치킨 압구정점,지펑크,8300
롸카두들내쉬빌핫치킨 압구정점,후라이드치킨 (2조각),5500
보이어,런치 세트,16000
보이어,은대구파스타,24000
보이어,알리올리오 (런치),16000
보이어,코코넛커리 (런치),16000
스시조 서울 웨스틴조선호텔,위켄드스페셜,135000
멘야하나비 신사점,마제소바,10000
멘야하나비 신사점,카레 마제소바,11000
멘야하나비 신사점,네기시오 마제소바,13000
멘야하나비 신사점,도니쿠 마제소바,13000
멘야하나비 신사점,시오라멘,9500
토파,포모도로,20000
토파,봉골레,23000
토파,어란파스타,32000
토파,데일리 코스,62000
토파,스페셜 코스,83000
새들러하우스,아메리카노,4500
새들러하우스,플레인,4900
새들러하우스,치즈,5500
새들러하우스,콘,6200
새들러하우스,바질,5800
어머니대성집,해장국,10000
어머니대성집,육회비빔밥,15000
어머니대성집,접시불고기,25000
어머니대성집,육회,35000
어머니대성집,모둠수육,40000
파네트크루아상팩토리 광화문점,파네토네 (대),8000
파네트크루아상팩토리 광화문점,식빵,5800
파네트크루아상팩토리 광화문점,BLT 샌드위치,7300
파네트크루아상팩토리 광화문점,프리미엄 파운드,16000
파네트크루아상팩토리 광화문점,오페라 (조각),7500
폴앤폴리나 광화문점,바게트,4500
폴앤폴리나 광화문점,화이트바게트,4500
폴앤폴리나 광화문점,버터프레첼,3300
폴앤폴리나 광화문점,플레인샌드위치,5500
폴앤폴리나 광화문점,블랙올리브,3600
오목눈이,아메리카노,4000
오목눈이,크렌베리스콘,3300
오목눈이,견과류통밀스콘,3800
오목눈이,버터팥스콘,3800
오목눈이,라즈베리버터스콘,3800
미야자키상점,야키오니기리,4000
미야자키상점,야키토리동,9000
미야자키상점,네기마 (2p),5500
미야자키상점,하쯔 (2p),4000
미야자키상점,테바사끼 (2p),6000
농민백암순대 본점,국밥,8000
농민백암순대 본점,술국,17000
농민백암순대 본점,토종순대,10000
농민백암순대 본점,모듬수육,28000
농민백암순대 본점,오소리감투,15000
오제제,키츠네 우동,9000
오제제,토마토 크림 우동,13000
오제제,냉소바,9000
오제제,라임소바,10000
오제제,안심돈가츠,13000
페어링룸,전복솥밥리조또,29000
페어링룸,발사믹포모도로,26000
페어링룸,트러플파케리파스타,27000
페어링룸,보리굴비녹차리조또,32000
페어링룸,살치살와규스테이크 (100g),32000
스탠바이키친,아메리카노,3000
스탠바이키친,베이컨 양상추 토마토,5800
스탠바이키친,베트남 치킨 반미,6800
스탠바이키친,베이컨 치즈 오믈렛,7300
스탠바이키친,리코타 치즈 샐러드,8300
다로베,라구,26000
다로베,비스마르크 피자,25000
다로베,포치니,25000
다로베,라자냐,23000
다로베,뇨끼,23000
테이블포포 본점,런치코스,60000
테이블포포 본점,디너코스,120000
시고로,갈치 스파게티,22000
시고로,광어와 리치빙수,16000
시고로,클램피자 (12인치),28000
시고로,오늘의 생선,35000
일무레또,쉐프 초이스 메뉴,65000
일무레또,체리토마토와 부리타치즈,16000
일무레또,다양한 치즈 콜드컷,28000
일무레또,해산물이 들어간 토마토 스파게티,26000
일무레또,구운야채를 곁들인 티본스테이크,180000
올레무스,말차,8000
올레무스,옥로,10000
꿉당,코쿠미 목살 (180g),16000
꿉당,삼겹살 (200g),16000
꿉당,가브리살 (180g),16000
꿉당,갈매기살 (180g),16000
꿉당,팔도비빔면,4000
혼네,츠케멘 (R),10000
혼네,츠케멘 (L),11000
혼네,에비미소츠케멘 (R),11000
혼네,에비미소츠케멘 (R),12000
오죽이네,닭매운탕 (소),25000
오죽이네,닭매운탕 (중),33000
오죽이네,닭매운탕 (대),40000
오죽이네,옻매운탕,50000
오죽이네,쭈꾸미쭈삼겹 (대),36000
우동가조쿠,붓가케우동,6500
우동가조쿠,가조쿠우동,8500
우동가조쿠,기츠네우동,7500
우동가조쿠,돈카츠정식,9000
우동가조쿠,연어덮밥,10000
정민,와사비 크림 새우 (6마리),18000
정민,와사비 크림 새우 (8마리),22000
정민,깐풍새우,22000
정민,해산물 짬뽕밥,10000
정민,소고기 가지 덮밥,10000
뉴욕택시디저트,바나나푸딩,5000
뉴욕택시디저트,치즈케이크,4500
뉴욕택시디저트,체커케이크,5500
뉴욕택시디저트,청포도 타르트,4500
뉴욕택시디저트,레몬머랭타르트,4500
가타쯔무리,가케우동,7500
가타쯔무리,붓가케우동,8500
가타쯔무리,카마타마우동,7500
가타쯔무리,스다치,8000
가타쯔무리,유자우동,8000
부빙,아메리카노,4000
부빙,팥빙수 (1인),8000
부빙,옥수수빙수 (1인),15000
부빙,말차빙수 (1인),10000
부빙,카라멜빙수 (1인),9000
원조할아버지손두부,모두부 (1모),6000
원조할아버지손두부,순두부,4000
원조할아버지손두부,콩국수 (계절),6000
원조할아버지손두부,콩물,4000
이요이요스시 파크자이3호점,런치 오마카세,40000
이요이요스시 파크자이3호점,디너 오마카세,60000
무교동북어국집,북어해장국,8000
춘향미엔,온면 ,7000
춘향미엔,비빔면,6000
춘향미엔,냉면,6000
춘향미엔,차돌한접시,6000
춘향미엔,고기만두,8000
형제상회 노량진본점,모듬회 (1인),25000
형제상회 노량진본점,모듬회 (2인),40000
형제상회 노량진본점,모듬회 (3인),60000
형제상회 노량진본점,모듬회 (4인),70000
찰스에이치 포시즌스호텔 서울,트러플 감자 크로켓,21000
찰스에이치 포시즌스호텔 서울,찰스 H. 피쉬앤칩스,29000
찰스에이치 포시즌스호텔 서울,조니워커블랙라벨 (Glass),52000
찰스에이치 포시즌스호텔 서울,불렛 버번 (Glass),32000
찰스에이치 포시즌스호텔 서울,잭다니엘 (Glass),24000
마리오파스타,클래식 라자냐,14000
마리오파스타,버섯크림 파파르델레,14000
마리오파스타,아마트리치아나,13000
마리오파스타,새우와 바질페스토 피자,15000
마리오파스타,대구와 바지락 슈트,18000
몽크스부처,비욘드버거,18000
몽크스부처,블랙올리브 갓 파스타,27000
몽크스부처,컬리플라워 스테이크,18000
몽크스부처,미나리크림 파스타,27000
담택,시오라멘,8000
담택,레몬 시오라멘,8500
담택,유자 시오라멘,8500
조연탄,제주 먹고기 (200g),13000
조연탄,돼지껍데기 (200g),10000
조연탄,제주고기만두,6000
스시코에,디너 오마카세,100000
하레,왕토마토나베,35000
하레,통나무위 스테이크(한우1등급),33000
하레,마구로슈토아에,21000
오월의김밥,밥도둑김밥,4500
오월의김밥,샐러드김밥,4500
오월의김밥,매운참치김밥,4500
오월의김밥,스팸김밥,3500
오월의김밥,참치김밥,4000
로우커피스탠드,카페라떼,2500
로우커피스탠드,아메리카노,2000
로우커피스탠드,바닐라라떼,3000
로우커피스탠드,카푸치노,2500
로우커피스탠드,밀크티,4500
렁트멍,마늘토스트,3500
렁트멍,달콤 휘낭시에,1200
렁트멍,시그니처 브라우니,3000
렁트멍,심플리 스콘,2500
렁트멍,머랭 프리첼,3700
카카오다다,마시는 카카오,6000
카카오다다,마시는 카카오 비건,7000
카카오다다,초콜릿 아포가토,7000
카카오다다,롱고 (ICE),5000
카카오다다,운남 전홍 금아 능라,6000
공푸,차돌박이짬뽕밥,9000
공푸,차돌박이짬뽕,9000
공푸,짜장면,5500
공푸,어향동고,27000
공푸,탕수육 (중),20000
쿠이신보,카라아게,9800
쿠이신보,연어샐러드,14000
쿠이신보,닭꼬치,2900
