식당이름,구분,평점,주소,영업시간,전화번호,리뷰수
오레노라멘, 라멘 / 소바 / 우동,4.5,서울시 송파구 송파동 42-6,11:30 - 21:00,02-418-3539,93
노스티모, 세계음식 기타,4.5,서울시 서초구 방배동 880-14 201호,월-금: 17:00 - 21:00 토: 11:00 - 21:00 일: 11:00 - 16:00,02-535-5375,18
미성옥, 탕 / 찌개 / 전골,4.5,서울시 중구 명동1가 54-6 1F,06:00 - 22:00,02-776-8929,82
쇼토, 베이커리,4.5,서울시 강남구 신사동 550-14 1F,12:00 - 21:00,02-512-3625,43
프롬하노이, 베트남 음식,4.5,서울시 마포구 망원동 411-8 1F,월-금: 11:00 - 21:00 토: 11:00 - 20:00,02-337-0301,59
치즈플로, 퓨전 양식,4.5,서울시 용산구 한남동 744-2,화-금: 11:30 - 23:00 토-일: 11:30 - 22:00,02-794-7010,35
스기타마, 이자카야 / 오뎅 / 꼬치,4.5,서울시 강남구 청담동 7-27 101호,18:30 - 02:00,010-4760-8004,18
무명스키야키, 기타 일식,4.5,서울시 중구 황학동 656 1F,17:00 - 23:00,010-9276-6168,31
엘초코데떼레노, 세계음식 기타,4.5,서울시 용산구 한남동 263-10 성아맨숀 1F,18:00 - 24:00,02-792-5585,16
익스퀴진, 닭 / 오리 요리,4.5,서울시 강남구 청담동 63-11 라파빌딩,12:00 - 20:00,02-542-6921,18
King수제만두, 딤섬 / 만두,4.5,서울시 동대문구 신설동 80-4,10:00 - 21:00,02-926-0288,52
바다회사랑, 해산물 요리,4.5,서울시 마포구 서교동 461-25,월-토: 14:30 - 01:00 일: 14:30 - 23:00,02-325-3435,51
하얼빈양꼬치, 기타 중식,4.5,서울시 송파구 잠실동 207-17 1F,14:00 - 01:00,02-421-9288,37
꾸잉, 베트남 음식,4.5,서울시 용산구 이태원동 123-33,00:00 - 24:00,02-796-1244,52
오레노라멘, 라멘 / 소바 / 우동,4.5,서울시 종로구 안국동 159 1F,11:30 - 20:30,02-722-3539,64
마루심, 돈부리 / 일본 카레 / 벤토,4.5,서울시 마포구 용강동 51-3 성진빌딩 1F,11:00 - 22:00,02-711-1378,39
신비갈비살, 고기 요리,4.5,서울시 강남구 신사동 508-9 1F,월-금: 17:00 - 03:00 토: 17:00 - 24:00,02-543-5992,18
운봉산장양고기전문점, 고기 요리,4.5,서울시 동작구 노량진동 309-18,17:00 - 22:00,02-815-2850,38
락희안, 정통 중식 / 일반 중식,4.5,서울시 서대문구 남가좌동 336-20,11:30 - 21:30,02-375-7576,14
부토, 퓨전 한식,4.5,서울시 용산구 한남동 729-91,월-목: 18:30 - 01:00 금-토: 18:30 - 02:00,02-6052-7785,14
오흐뒤구떼, 카페 / 디저트,4.5,서울시 마포구 서교동 368-39,12:30 - 19:30,0507-1320-8095,24
효도치킨, 닭 / 오리 요리,4.5,서울시 용산구 한남동 686-63,11:30 - 23:00,02-792-0628,22
청화집, 탕 / 찌개 / 전골,4.5,충청남도 천안시 동남구 병천면 병천리 167-6,08:30 - 19:00,041-564-1558,34
멘야하나비, 라멘 / 소바 / 우동,4.5,서울시 마포구 서교동 379-13 1F,화-금: 11:30 - 21:00 토-일: 11:00 - 21:00,070-8888-8001,37
벱비엣, 베트남 음식,4.5,서울시 중구 저동2가 75,10:00 - 22:00,02-2285-3996,27
이태원소주집, 일반 주점,4.5,서울시 용산구 이태원동 457-3 2F,19:00 - 유동적,070-7808-3789,23
청우참치, 회 / 스시,4.5,서울시 강남구 신사동 511-6,17:00 - 23:00,02-549-8356,16
비텔로소띠, 이탈리안,4.5,서울시 종로구 통의동 109,11:00 - 20:30,02-733-1019,7
용산양꼬치, 기타 중식,4.5,서울시 용산구 한강로1가 256 1F,11:00 - 24:00,02-749-9088,20
신사치킨클럽, 다국적 아시아 음식,4.5,서울시 강남구 신사동 520-1,,02-508-8855,6
정식당, 퓨전 한식,4.4,서울시 강남구 청담동 83-24 2F,12:00 - 22:30,02-517-4654,169
리틀앤머치 (휴업중), 카페 / 디저트,4.4,서울시 강남구 삼성동 10-8 성림빌딩 1F,11:00 - 18:30,02-545-1023,206
오레노라멘, 라멘 / 소바 / 우동,4.4,서울시 마포구 합정동 361-1,11:30 - 21:00,02-322-3539,442
비야게레로, 남미 음식,4.4,서울시 강남구 삼성동 118-21 101호,11:30 - 21:30,02-538-8915,262
크레이지카츠, 까스 요리,4.4,서울시 마포구 합정동 391-5 1F,11:30 - 21:30,0507-1404-7219,275
뉴질랜드스토리, 브런치 / 버거 / 샌드위치,4.4,서울시 송파구 송파동 32-1,월-목: 10:30 - 17:00 금-일: 10:30 - 21:00,070-7523-6265,221
반서울, 이탈리안,4.4,서울시 서대문구 대현동 27-4 2F,11:30 - 22:00,070-8882-0110,239
카밀로라자네리아, 이탈리안,4.4,서울시 마포구 서교동 382-13,11:45 - 21:30,02-332-8622,198
스와니예, 퓨전 양식,4.4,서울시 서초구 반포동 549-17 스튜디오소,12:00 - 22:30,02-3477-9386,73
정돈 프리미엄, 까스 요리,4.4,서울시 강남구 신사동 519-4,11:30 - 22:00,02-549-0924,201
우래옥, 국수 / 면 요리,4.4,서울시 중구 주교동 118-1,11:30 - 21:30,02-2265-0151,365
파올로데마리아, 이탈리안,4.4,서울시 서대문구 연희동 79-4,11:30 - 22:30,0507-1312-9936,104
쿠이신보, 이자카야 / 오뎅 / 꼬치,4.7,서울시 마포구 합정동 413-16 2F,월-목: 17:30 - 01:00 금-토: 17:00 - 02:00 일: 17:00 - 24:00,02-332-9215,100
산울림1992, 전통 주점 / 포차,4.6,서울시 마포구 창전동 5-138,월-토: 17:00 - 01:30 일: 15:00 - 24:00,02-334-0118,149
당도, 카페 / 디저트,4.6,서울시 마포구 망원동 414-16,12:30 - 20:00,070-8690-1088,215
카와카츠, 까스 요리,4.6,서울시 마포구 서교동 465-1 1F 102호,11:30 - 21:00,070-8801-2053,145
야키토리묵, 이자카야 / 오뎅 / 꼬치,4.6,서울시 마포구 연남동 223-102 1F,19:00 - 01:00,070-8835-3433,38
듁스커피, 카페 / 디저트,4.6,서울시 마포구 당인동 24-11,월-금: 09:00 - 18:00 토-일: 11:00 - 19:00,02-323-2007,123
이치류, 스테이크 / 바베큐,4.6,서울시 마포구 서교동 395-124,월-토: 17:00 - 23:00 일: 17:00 - 22:00,02-3144-1312,96
티크닉, 카페 / 디저트,4.6,서울시 마포구 연남동 250-5,"월, 화",,41
비파티세리, 카페 / 디저트,4.6,서울시 마포구 공덕동 105-67 1F,10:00 - 22:00,02-702-1220,30
오스테리아샘킴, 이탈리안,4.5,서울시 마포구 합정동 386-37,11:30 - 22:00,02-324-3338,164
진만두, 딤섬 / 만두,4.5,서울시 마포구 서교동 327-22,12:00 - 22:00 ,02-338-1117,207
소금집델리 망원, 퓨전 양식,4.5,서울시 마포구 망원동 57-38 2F,11:00 - 21:50,02-336-2617,202
첸토페르첸토, 이탈리안,4.5,서울시 마포구 서교동 382-14 1F,12:00 - 21:30,02-334-8622,80
사루카메, 라멘 / 소바 / 우동,4.5,서울시 마포구 연남동 566-67 1F,화,,113
미야자키상점, 이자카야 / 오뎅 / 꼬치,4.5,서울시 마포구 동교동 118-18,화-금: 19:00 - 02:00 토-일: 18:30 - 02:00,02-336-5718,49
혼네, 라멘 / 소바 / 우동,4.5,서울시 마포구 연남동 227-4,12:00 - 21:00,02-332-5247,114
라무라, 라멘 / 소바 / 우동,4.5,서울시 마포구 합정동 395-16 1F,11:00 - 20:30,070-8836-8490,62
