식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
오근내2닭구이,닭요리,3.1,서울 용산구 한강대로11길 13,매일 11:30 ~ 22:30 · 브레이크타임 매일 15:00 ~ 16:30,02-798-0131,177,47건
시장회집,회,3.6,서울 용산구 소월로20길 38,월/화/수/금/토/일 11:00 ~ 21:00 · 브레이크타임 월/화/수/금/토/일 14:00 ~ 17:00,02-754-7696,161,49건
손문 대구막창갈매기살 용산점,육류/고기,4.2,서울 용산구 새창로 213-9,영업시간 매일 15:00 ~ 23:00,02-793-3189,116,41건
돈까스잔치 동빙고점,돈까스/우동,3.0,서울 용산구 서빙고로 297,매일 10:30 ~ 21:30,02-796-9969,230,74건
오월의종,제과/베이커리,4.1,서울 용산구 이태원로 229 1층,매일 11:00 ~ 18:00,02-792-5561,68,80건
일미집,감자탕,3.5,서울 용산구 후암로 1-1 1층,매일 11:00 ~ 22:00,02-776-0670,271,92건
롸카두들 내쉬빌핫치킨 이태원점,햄버거,4.3,서울 용산구 녹사평대로40나길 9 1층,월~토 11:30 ~ 21:00,02-798-3456,238,110건
평양집,육류/고기,2.5,서울 용산구 한강대로 186,월~금 07:00 ~ 17:00,02-798-3989,153,99건
문배동육칼 본점,국수,3.1,서울 용산구 백범로90길 50,월~토 09:30 ~ 19:30,02-713-6204,162,96건
앤트러사이트 한남점,카페,3.5,서울 용산구 이태원로 240 1~3층,월~목 09:00 ~ 22:00,02-797-7508,187,89건
창성옥 용문본점,해장국,3.7,서울 용산구 새창로 124-10,매일 06:00 ~ 02:00,02-718-2878,106,61건
오리지널 팬케익하우스 이태원점,디저트카페,3.0,서울 용산구 이태원로 153 덕흥빌딩 1층,월~금 09:00 ~ 21:00,02-795-7481,121,47건
버거인,햄버거,4.3,서울 용산구 청파로43길 12 지하 1층,월~금 11:30 ~ 19:30 · 브레이크타임 월~금 14:30 ~ 17:00,070-7573-7145,258,75건
라쿠치나,이탈리안,3.9,서울 용산구 회나무로44길 10,월~토 12:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:30,02-794-6005,87,30건
우스블랑,제과/베이커리,3.5,서울 용산구 효창원로70길 4,매일 08:00 ~ 19:00,02-706-9356,166,99건
동빙고,카페,3.7,서울 용산구 이촌로 319,매일 10:30 ~ 22:00,02-794-7171,126,84건
다츠,퓨전요리,3.8,서울 용산구 이태원로55나길 6,월~토 11:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:30,02-792-7445,101,72건
현선이네 용산본점,분식,3.1,서울 용산구 한강대로39길 2-13,매일 11:00 ~ 23:00,010-4750-8886,306,108건
벽돌해피푸드,중식,4.0,서울 용산구 이태원로 238,월~목 11:30 ~ 24:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-797-8586,179,81건
고메이494 한남점,푸드코트,3.6,서울 용산구 한남대로 91,월~목 10:30 ~ 20:00,02-6905-4940,175,16건
매덕스피자,피자,3.8,서울 용산구 이태원로26길 26 2층,매일 12:00 ~ 22:00,02-792-2420,267,99건
테라로사 한남점,커피전문점,3.9,서울 용산구 이태원로36길 15 지하1/2층,매일 09:00 ~ 22:00,033-648-2760,75,24건
삼각지원대구탕 본점,매운탕/해물탕,2.8,서울 용산구 한강대로62가길 8-1 1층,매일 10:00 ~ 22:00,02-797-4488,72,68건
도동집,퓨전한식,2.7,서울 용산구 후암로 80,월~토 11:00 ~ 22:00,02-772-9463,206,76건
한와담 한남본점,육류/고기,3.2,서울 용산구 독서당로 65-1 2층,매일 11:30 ~ 23:00,02-749-7905,79,45건
오만지아,이탈리안,4.3,서울 용산구 유엔빌리지길 14,매일 12:00 ~ 01:00 · 브레이크타임 월~금 15:00 ~ 18:00,02-749-2900,117,28건
꾸띠자르당,패밀리레스토랑,3.3,서울 용산구 보광로 120,매일 11:30 ~ 24:00,02-793-5072,153,72건
홍철책빵 (휴업중),제과/베이커리,3.5,서울 용산구 한강대로102길 57,월/화/수/목요일,,214,29건
쌍대포 본점,육류/고기,3.0,서울 용산구 청파로 291,매일 00:00 ~ 24:00,02-707-1380,39,35건
모터시티바이매니멀 본점,피자,3.5,서울 용산구 이태원로 140-1 2층,월~금 11:30 ~ 22:30,02-794-8877,184,55건
써머레인,디저트카페,3.5,서울 용산구 이태원로55가길 49 1층,매일 07:30 ~ 18:00,02-792-8114,27,86건
일일향,중화요리,3.8,서울 용산구 한강대로40길 26 2층,매일 11:30 ~ 21:30,02-792-4300,17,56건
레호이,동남아음식,3.8,서울 용산구 소월로38가길 5,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,070-4242-0426,30,73건
한남북엇국,한식,3.5,서울 용산구 독서당로 65-7,월~토 08:00 ~ 24:00 · 브레이크타임 월~토 15:00 ~ 16:30,02-2297-1988,114,77건
인바이티드,카페,3.6,서울 용산구 한강대로52길 41,화~일 11:00 ~ 21:00,02-794-3332,141,26건
트래버틴,커피전문점,3.4,서울 용산구 한강대로7길 18-7,월~금 11:30 ~ 19:30,070-8862-6003,158,35건
바다식당,찌개/전골,2.9,서울 용산구 이태원로 245 2층,매일 11:30 ~ 22:00,02-795-1317,122,97건
키에리 이태원점,디저트카페,1.8,서울 용산구 이태원로26길 16-8 1층,영업시간 매일 13:00 ~ 20:00,,138,170건
동아냉면,냉면,2.4,서울 용산구 우사단로 5,매일 09:20 ~ 22:00,02-796-2796,74,53건
잠수교집 본점,육류/고기,2.1,서울 용산구 장문로 81 1층,월/화요일,,148,21건
동아냉면 이태원점,냉면,2.9,서울 용산구 대사관로 45-1,매일 09:30 ~ 21:00,02-796-7442,198,63건
쏭타이 이태원점,태국음식,3.8,서울 용산구 이태원로20가길 7-2 2층,매일 12:00 ~ 23:30,02-798-2495,238,55건
세미계 본점,닭요리,3.2,서울 용산구 대사관로 34 1층,영업시간 매일 17:30 ~ 23:00,02-792-2155,162,52건
부다스벨리 이태원점,태국음식,4.4,서울 용산구 녹사평대로40길 48 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30,02-796-9330,177,144건
비스테까 이태원본점,이탈리안,3.5,서울 용산구 회나무로 49,매일 12:00 ~ 22:30 · 브레이크타임 매일 16:00 ~ 18:00,02-792-7775,126,54건
콩카페 이태원점,카페,4.3,서울 용산구 녹사평대로 168-8 1/2층,매일 11:00 ~ 22:00,,190,43건
조대포 남영본점,육류/고기,4.4,서울 용산구 한강대로 272-1 1층,영업시간 매일 14:00 ~ 05:00,02-701-1060,132,69건
노스트레스버거,햄버거,3.6,서울 용산구 신흥로 62,매일 11:00 ~ 21:00 · 브레이크타임1 월~금 15:00 ~ 17:00,02-749-2236,172,71건
로코스비비큐,양식,3.9,서울 용산구 회나무로 83,매일 11:30 ~ 23:30,02-794-3234,76,57건
열정도쭈꾸미,해물/생선,3.3,서울 용산구 백범로87길 40,영업시간 월~수 17:30 ~ 24:00,02-6080-6602,175,46건
밥한끼,돈까스/우동,4.1,서울 용산구 독서당로 65-3 1층,월~금 11:30 ~ 21:00,02-749-5999,70,34건
아티장베이커스,제과/베이커리,4.3,서울 용산구 한남대로18길 26 1층,화~토 08:30 ~ 21:00,02-749-3426,36,44건
야키토리고우,일본식주점,4.1,서울 용산구 이태원로27가길 45 지하1층,영업시간 월/화/수/목/일 17:00 ~ 01:00,02-794-7088,50,31건
스즈란테이,일식집,3.8,서울 용산구 이촌로 245 지하1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:30,02-749-5324,80,78건
북천,돈까스/우동,3.9,서울 용산구 한강대로38가길 7-2,월~금 11:00 ~ 20:00 · 브레이크타임 월~금 13:30 ~ 17:00,02-796-2461,108,81건
버터북,디저트카페,2.7,서울 용산구 신흥로15길 20,화~일 11:00 ~ 20:00,,175,15건
뇨끼바,이탈리안,3.4,서울 용산구 한남대로20길 41-4,화~금 11:30 ~ 21:30 · 브레이크타임 화~금 14:30 ~ 18:00,02-6104-8300,302,53건
라구,스테이크/립,4.0,서울 용산구 신흥로 42 1층,영업시간 화~금 17:00 ~ 22:00,02-796-8777,117,52건
라페름,카페,3.1,서울 용산구 이태원로54길 32 202호,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 16:00,02-790-6685,229,77건
중화가정 용산역점,중화요리,3.5,서울 용산구 새창로 213,매일 11:30 ~ 23:00,02-3785-3332,37,28건
야스노야지로,육류/고기,3.2,서울 용산구 백범로87길 19 1층,영업시간 매일 17:00 ~ 22:00,02-777-0778,109,32건
한남베르그,카페,4.2,서울 용산구 이태원로54길 58-26 1층,매일 12:00 ~ 21:00,02-790-1750,206,43건
타르틴베이커리서울 한남점,제과/베이커리,3.2,서울 용산구 한남대로18길 22 1/2층,매일 10:00 ~ 21:00,02-792-2423,147,59건
브루클린더버거조인트 이촌점,햄버거,3.8,서울 용산구 이촌로 179 1층,매일 11:00 ~ 21:30,02-790-7180,100,29건
아노브 이태원본점,피자,4.6,서울 용산구 이태원로20가길 7-5 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,0507-1428-6606,95,60건
플랜트 이태원,양식,4.4,서울 용산구 보광로 117 2층,매일 11:00 ~ 22:00,02-749-1981,63,83건
챔프커피 1작업실,커피전문점,2.1,서울 용산구 우사단로10길 121 1층,매일 10:00 ~ 19:30,010-5269-4931,45,50건
자코비버거,햄버거,3.5,서울 용산구 신흥로 38,매일 11:00 ~ 02:00,02-3785-0433,202,64건
제주식당,해물/생선,2.5,서울 용산구 대사관로 48,월~토 11:00 ~ 05:00,02-790-9969,59,22건
소이연남 한남점,동남아음식,4.4,서울 용산구 한남대로20길 47-10 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-792-5130,87,46건
바통 밀카페,카페,2.5,서울 용산구 한강대로15길 33,월~금 11:00 ~ 20:00 · 브레이크타임 매일 16:00 ~ 17:00,070-8869-6003,121,35건
아베크엘카페,카페,4.2,서울 용산구 두텁바위로69길 29,월~토 12:00 ~ 20:00,070-8210-0425,134,39건
노맨틱,카페,3.8,서울 용산구 두텁바위로 59-1 2층,화~토 12:00 ~ 22:00,010-3227-6634,201,34건
오잇,카페,3.7,서울 용산구 신흥로 95,매일 12:00 ~ 21:00,02-2088-3702,226,46건
치즈플로,양식,3.9,서울 용산구 이태원로49길 19,화~금 12:00 ~ 23:00,02-794-7010,168,41건
카데뜨,디저트카페,3.9,서울 용산구 한강대로 200-1 1층,화~토 09:00 ~ 17:00,010-5493-1217,82,16건
서울루덴스,카페,1.8,서울 용산구 회나무로 69 지하1층,월~금 12:00 ~ 02:00,02-795-4151,56,54건
카키바움,카페,3.6,서울 용산구 한강대로52길 29,월~토 10:00 ~ 22:00,02-790-6275,98,28건
33아파트먼트,카페,3.8,서울 용산구 한남대로27길 33 1층,매일 09:00 ~ 18:00,02-794-0033,41,39건
잭슨피자 한남점,피자,4.2,서울 용산구 독서당로 46 한남아이파크 1층 107호,매일 11:00 ~ 24:00,02-798-9335,86,18건
소와나,일식,2.5,서울 용산구 이태원로54길 68,월/화/수/금/토/일 11:30 ~ 22:00,,221,46건
소설한남,한식,4.4,서울 용산구 한남대로20길 21-18 B동 지하1층,화~일 12:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 18:00,02-797-5995,57,13건
초원,육류/고기,4.0,서울 용산구 한강대로80길 7,영업시간 월~금 16:00 ~ 24:00,02-749-5949,171,30건
대원식당,해물/생선,4.0,서울 용산구 한강대로62나길 16-1,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:30 ~ 18:00,02-795-1087,71,32건
이춘복참치 본점,참치회,2.9,서울 용산구 한강대로 266-2,월~토 11:00 ~ 01:00,02-794-4558,38,36건
오복수산 한남점,일식,3.1,서울 용산구 이태원로54길 26,매일 11:00 ~ 24:00 · 브레이크타임 매일 15:30 ~ 17:00,070-4046-6835,180,37건
공기,한식,3.7,서울 용산구 이태원로45길 4 1/2층,매일 12:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:30,02-797-7753,38,39건
일호식 사운즈한남점,한식,3.0,서울 용산구 대사관로 35 지하1층,매일 11:00 ~ 22:00 · 브레이크타임 매일 16:00 ~ 18:00,02-794-2648,57,50건
이촌동면옥 이촌직영점,냉면,3.2,서울 용산구 이촌로54길 17 1층,매일 11:00 ~ 22:00,02-796-7775,34,9건
종점숯불갈비,갈비,2.8,서울 용산구 장문로 112,매일 11:00 ~ 23:00,02-749-6887,37,19건
더할랄가이즈 이태원점,양식,3.7,서울 용산구 이태원로 187,월/화/수/목/일 11:00 ~ 22:00,02-794-8308,124,56건
원인어밀리언,카페,3.0,서울 용산구 이태원로54길 31 지하1층,월~토 11:00 ~ 23:00,02-794-2414,227,42건
샐러드셀러,채식뷔페,4.4,서울 용산구 대사관로5길 28 1층,화~토 11:00 ~ 21:00 · 브레이크타임 화~금 15:00 ~ 16:30,02-794-0282,137,51건
일미장어,장어,4.0,서울 용산구 후암로57길 35-15,매일 11:30 ~ 21:00 · 브레이크타임 매일 13:30 ~ 17:30,02-777-4380,35,17건
쏭타이치앙마이,동남아음식,3.8,서울 용산구 한강대로40길 39-5,매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 16:30,02-749-5170,140,49건
엘피노323,멕시칸/브라질,4.1,서울 용산구 녹사평대로 220 2층,화~일 11:30 ~ 21:30,070-8987-6248,56,59건
봉피양 용산점,갈비,2.3,서울 용산구 한강대로40길 31,월~금 11:00 ~ 22:00,02-795-6446,43,25건
알프키친,양식,3.3,서울 용산구 독서당로34길 16,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,070-4134-7474,241,26건
씨스루 이태원본점,커피전문점,3.8,서울 용산구 장문로 84 3층,매일 12:00 ~ 22:00,070-7796-8991,81,24건
타파스바,호프/요리주점,3.9,서울 용산구 이태원로27가길 49 1층,영업시간 월~목 16:00 ~ 02:00,010-3468-0799,146,52건
주식,한식,4.2,서울 용산구 한강대로54길 14 1층,영업시간 매일 16:30 ~ 00:30,,100,12건
때가이르매 숙대점,디저트카페,2.7,서울 용산구 두텁바위로 8 4층,월~금 12:00 ~ 22:00,070-4320-8495,238,25건
부첼리하우스,양식,3.7,서울 용산구 독서당로 122-1,매일 11:30 ~ 23:00 · 브레이크타임 매일 14:30 ~ 18:00,02-792-5676,154,24건
마라돈왕주먹고기,육류/고기,3.6,서울 용산구 한강대로17길 7 성주빌딩 1층,영업시간 매일 16:00 ~ 22:30,02-797-9793,120,16건
버뮤다삼각지,멕시칸/브라질,4.5,서울 용산구 한강대로52길 19 1/2층,월~금 11:00 ~ 23:00 · 브레이크타임 월~금 13:30 ~ 17:00,02-749-6789,100,52건
갯마을 한강로점,한식,3.4,서울 용산구 서빙고로 56 1층,매일 09:30 ~ 21:00,02-795-2277,54,39건
명화원,중화요리,2.9,서울 용산구 한강대로 202,화~금 11:00 ~ 20:00 · 브레이크타임 화~금 15:00 ~ 17:00,02-792-2969,79,41건
이치젠덴푸라메시,일식,3.4,서울 용산구 한강대로72길 11-21 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:30,070-4128-6321,100,47건
카사블랑카,샌드위치,4.3,서울 용산구 신흥로 35 1층,화~일 12:00 ~ 22:00,02-797-8367,43,91건
테이프,카페,3.6,서울 용산구 이태원로14길 21 2층,월/화/수/목/일 12:00 ~ 24:00,,115,29건
한강회관,갈비,4.1,서울 용산구 이촌로75길 10-3,매일 10:00 ~ 22:00,02-793-9855,75,7건
미스터케밥 이태원점,양식,3.7,서울 용산구 이태원로 192,월~금 10:00 ~ 03:00,070-7758-1997,69,35건
기와,한정식,3.6,서울 용산구 한강대로21나길 40,매일 11:30 ~ 21:30,02-710-7777,38,28건
지노스뉴욕피자,피자,3.7,서울 용산구 녹사평대로40길 46 2층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-792-2234,88,58건
헬카페스피리터스,카페,3.5,서울 용산구 이촌로 248 한강맨션 31동 208호,매일 11:30 ~ 22:00,070-7612-4687,61,43건
바스버거 후암점,햄버거,3.9,서울 용산구 한강대로104길 32,월~금 11:00 ~ 22:30 · 브레이크타임1 월/화/수/목/토/일 15:00 ~ 16:30,02-318-6649,108,27건
단골집,호프/요리주점,4.1,서울 용산구 보광로59길 14-1 2층,,02-797-3373,329,65건
팬케익오리지널스토리 한남점,디저트카페,3.9,서울 용산구 독서당로 67,매일 09:00 ~ 14:30,02-794-0508,46,26건
야스노야 신용산점,육류/고기,4.6,서울 용산구 한강대로46길 19,영업시간 월~토 17:30 ~ 23:00,02-797-0702,54,40건
셰프테이너,이탈리안,3.6,서울 용산구 이태원로27길 101,매일 11:00 ~ 23:00,02-794-9172,42,10건
더리버 벨라쿠치나,이탈리안,3.8,서울 용산구 용산동6가 451 1층,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-595-7145,98,20건
카페노티드 한남점,디저트카페,3.7,서울 용산구 대사관로5길 12 2층,매일 10:00 ~ 21:00,070-8822-9377,449,45건
빠르크 한남점,한식,4.0,서울 용산구 이태원로55가길 26-5 2층,월~금 11:30 ~ 22:00 · 브레이크타임1 월~금 15:30 ~ 17:30,02-792-2022,81,46건
코레아노스,멕시칸/브라질,3.2,서울 용산구 녹사평대로40길 46,매일 12:00 ~ 23:00,02-795-4427,121,50건
르미야,이탈리안,3.8,서울 용산구 이촌로77길 19 1층,매일 11:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 16:30,02-797-9135,130,37건
보일링팟 용산점,카페,3.3,서울 용산구 한강대로38가길 31,매일 09:00 ~ 22:00,,39,26건
울프소셜클럽,카페,4.3,서울 용산구 한남대로 158,월~토 12:00 ~ 22:00,,65,113건
헬카페,카페,3.4,서울 용산구 보광로 76,월~금 08:00 ~ 22:00,,68,76건
화양연화,육류/고기,3.1,서울 용산구 한강대로14가길 12,영업시간 매일 17:00 ~ 23:30,010-9695-6825,204,18건
북파크,북카페,4.0,서울 용산구 이태원로 294 2층,화~일 11:00 ~ 22:00,02-6367-2018,104,23건
해방촌노아,이탈리안,4.1,서울 용산구 신흥로 98,화~일 12:00 ~ 21:00 · 브레이크타임 화~금 14:00 ~ 18:00,02-796-0804,61,43건
단박왕돈까스,돈까스/우동,3.5,서울 용산구 백범로90길 74 1층,매일 10:00 ~ 21:00,02-718-1419,53,27건
이태원와인&브런치더젤,와인바,3.5,서울 용산구 회나무로 67,화~토 11:00 ~ 22:00,02-797-6846,147,10건
굴다리소곱창,곱창/막창,4.1,서울 용산구 청파로 269-1,,,78,28건
더백테라스 신용산점,햄버거,4.0,서울 용산구 한강대로40길 26 3층,매일 11:00 ~ 24:00 · 브레이크타임 매일 15:00 ~ 17:00,02-797-3338,25,39건
알밤,이탈리안,4.4,서울 용산구 이태원로54길 47,월~금 11:40 ~ 20:30 · 브레이크타임 월~금 14:30 ~ 18:00,,77,53건
뉴오리진 동부이촌점,카페,4.2,서울 용산구 이촌로 208 1/2층,매일 09:00 ~ 21:00,02-6272-6527,97,18건
화양연가,육류/고기,4.5,서울 용산구 한강대로76길 5,월~금 11:30 ~ 23:30,070-8950-8059,27,22건
탭퍼블릭,호프/요리주점,4.1,서울 용산구 이태원로 244 트원빌딩 L2 테라스층,영업시간 월~목 16:30 ~ 01:00,02-797-4999,78,55건
르번미 동부이촌점,베트남음식,3.1,서울 용산구 이촌로77길 19 1층 301-21호,매일 11:00 ~ 21:30,02-797-0707,59,35건
로즈앤크라운,호프/요리주점,3.9,서울 용산구 이태원로19길 6 2/3층,영업시간 매일 14:00 ~ 21:00,010-7532-5484,94,37건
하나모코시,일본식라면,3.4,서울 용산구 백범로87길 50-1 1층,화~토 11:30 ~ 21:00 · 브레이크타임 화~토 14:00 ~ 18:00,070-7786-0888,79,54건
베라피자나폴리 한남점,피자,2.7,서울 용산구 이태원로 272 SPC빌딩 3층,매일 11:00 ~ 22:00,02-796-7223,58,15건
작은도쿄,일식집,4.5,서울 용산구 청파로 271 1층,월~금 11:30 ~ 21:00 · 브레이크타임 월~금 14:30 ~ 17:00,0507-1349-4450,102,55건
두화당,카페,4.0,서울 용산구 백범로87길 25 1층,화~일 12:00 ~ 22:00,,127,54건
바스버거 용산점,햄버거,3.5,서울 용산구 한강대로38길 35 태승빌딩 1층,월~금 11:00 ~ 22:30,02-6082-0003,55,24건
바마셀,카페,4.3,서울 용산구 원효로89길 12,월/화/금 10:00 ~ 19:00,,86,42건
봉산집,육류/고기,2.6,서울 용산구 한강대로62나길 24,매일 11:30 ~ 22:00,02-793-5022,39,53건
삼층로비,카페,4.0,서울 용산구 한강대로15길 19-19 3층,월~금 12:00 ~ 20:00,070-8865-1919,20,25건
스페인클럽 이태원점,양식,3.1,서울 용산구 이태원로 216 1층,화~일 12:00 ~ 23:00 · 브레이크타임 화~금 15:30 ~ 17:00,02-795-1118,65,22건
비스트로 루틴,양식,3.9,서울 용산구 이태원로54길 67,매일 12:00 ~ 21:50 · 브레이크타임 매일 15:00 ~ 17:00,02-790-6686,112,40건
와플하우스,제과/베이커리,3.6,서울 용산구 청파로45길 37,매일 11:00 ~ 23:00,02-711-2649,143,53건
이태원우육미엔,중화요리,3.1,서울 용산구 이태원로55가길 26-8,매일 11:00 ~ 22:00,02-798-5556,132,69건
코끼리베이글 2호점,제과/베이커리,3.4,서울 용산구 서빙고로91길 10 1/2층,매일 08:30 ~ 20:00,02-749-7778,88,20건
그릴도하 한남점,양식,4.4,서울 용산구 이태원로 268 2층,화~일 11:30 ~ 22:30 · 브레이크타임 화~금 15:00 ~ 17:00,,59,59건
팟카파우,태국음식,4.7,서울 용산구 신흥로 97-6 신흥시장 2층,월~토 12:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:00,070-8880-2521,53,52건
용문갈비,갈비,1.7,서울 용산구 새창로 127,매일 10:00 ~ 23:00,02-712-3900,68,35건
오제제서울,일식,4.3,서울 용산구 한강대로 363-2,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:30,070-4647-4650,239,89건
용문해장국,해장국,3.4,서울 용산구 효창원로 110,매일 02:00 ~ 13:00,02-712-6290,40,29건
앤더슨씨,카페,3.0,서울 용산구 한남대로 91,매일 10:00 ~ 22:00,02-792-0865,131,11건
