식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
타이거풀,양식,4.2,서울 성동구 성수이로7가길 7 1동,매일 11:30 ~ 24:00 · 브레이크타임 매일 15:00 ~ 17:00,070-7576-0777,234,93건
르프리크,햄버거,4.2,서울 성동구 연무장5길 9-16 B103호,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30,02-2054-0119,316,101건
춘향미엔,중화요리,4.0,서울 성동구 왕십리로21길 26,매일 11:00 ~ 05:00 · 브레이크타임 월~금 14:50 ~ 16:00,02-2281-9031,276,89건
왕십리조개창고,조개,3.1,서울 성동구 왕십리로 331 지하1층,영업시간 월~금 17:00 ~ 24:00,010-4596-0449,341,30건
대림창고,갤러리카페,3.2,서울 성동구 성수이로 78,매일 11:00 ~ 23:00,02-499-9669,350,146건
엘더버거,햄버거,3.7,서울 성동구 성수동1가 668-124 1층,매일 11:30 ~ 20:30 · 브레이크타임2 월~금 15:30 ~ 17:00,02-462-5612,91,68건
오레노카츠 성수본점,돈까스/우동,3.8,서울 성동구 성수일로 47 1층 102호,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-499-0323,219,76건
아우프글렛 금호점,카페,3.1,서울 성동구 독서당로51길 7 1층,매일 12:00 ~ 22:00,,517,74건
소바식당 성수점,일식,2.9,서울 성동구 연무장7가길 6 1층,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6339-1552,427,83건
빵의정석,제과/베이커리,3.9,서울 성동구 서울숲2길 45 1층,월/화요일,02-466-9609,146,66건
갓잇 성수점,멕시칸/브라질,3.9,서울 성동구 왕십리로10길 10,매일 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:00,02-6032-0888,178,57건
인더매스 마장,카페,4.4,서울 성동구 마장로 270,월~금 11:50 ~ 21:50,,286,46건
중앙감속기,퓨전요리,4.3,서울 성동구 성수일로6길 7-1,매일 12:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:30,02-466-9628,207,95건
센터커피 서울숲점,커피전문점,3.6,서울 성동구 서울숲2길 28-11 1층,화~일 11:00 ~ 20:00,070-8868-2008,68,65건
마장동한우촌,육류/고기,2.8,서울 성동구 마장로35길 68 1/ 2층,,02-2281-9292,86,17건
멜로워 성수플래그쉽,카페,3.9,서울 성동구 성수이로7길 39,월/화/목/금/토/일 11:00 ~ 21:30,02-499-1112,309,68건
어메이징브루잉컴퍼니 성수브루펍,호프/요리주점,3.7,서울 성동구 성수일로4길 4,영업시간 월~금 18:00 ~ 01:00,02-465-5208,212,63건
우디집,카페,3.9,서울 성동구 둘레9길 17 2층,매일 12:00 ~ 21:00,,318,34건
체다앤올리,카페,3.4,서울 성동구 서울숲2길 32-14 1층,월~금 11:00 ~ 21:00,02-468-1003,224,28건
유래회관,육류/고기,4.0,서울 성동구 마장로 196,월~금 11:00 ~ 22:00,02-2293-8866,55,23건
잠수교집 성수점,삼겹살,3.6,서울 성동구 아차산로 137 1층,매일 11:30 ~ 23:00,02-465-0434,164,39건
유가츠,돈까스/우동,4.0,서울 성동구 서울숲4길 12-7 1층,월/화/수/금/토/일 11:30 ~ 21:00,02-499-4273,123,104건
카페성수,제과/베이커리,3.1,서울 성동구 서울숲4길 13 지하1층,화~일 11:00 ~ 21:00,02-465-1077,110,48건
팩피,이탈리안,3.8,서울 성동구 왕십리로 136 102호,월/화요일,02-6052-7595,229,84건
차 성수점,카페,2.6,서울 성동구 서울숲6길 2 1층,매일 11:00 ~ 22:00,02-538-1014,194,77건
강남면옥,갈비,3.0,서울 성동구 성수일로 77,매일 10:30 ~ 22:00,02-6968-0800,72,30건
루프탑카페 연무장,커피전문점,3.6,서울 성동구 연무장길 36 쏘비트타워 8층,매일 12:00 ~ 22:00,02-499-4434,269,36건
도렐 육지3호점,카페,2.6,서울 성동구 연무장7길 11 1층,월~금 08:00 ~ 21:00,02-516-3675,266,36건
행운돈까스,돈까스/우동,4.0,서울 성동구 마조로1길 2,매일 10:00 ~ 21:30,02-2296-3406,96,75건
빅토리아베이커리,제과/베이커리,2.4,서울 성동구 서울숲2길 18-7 1층,월/화요일,02-6012-9878,356,47건
카멜 성수점,카페,3.5,서울 성동구 성덕정19길 6,매일 11:00 ~ 20:00,,111,52건
뺑드에코,제과/베이커리,4.5,서울 성동구 연무장길 44 2층,월/화요일,010-3510-4730,85,51건
일미락 성수점,육류/고기,2.7,서울 성동구 상원6나길 22-20,월~토 12:00 ~ 24:00,02-499-9293,99,47건
갈십리,디저트카페,4.0,서울 성동구 마조로 15-11 1/ 2층,매일 11:00 ~ 23:00,010-9034-3939,235,33건
서울숲 누룽지통닭구이,치킨,3.7,서울 성동구 왕십리로5길 10,영업시간 월~금 16:00 ~ 02:00,02-462-9920,216,50건
오르에르,디저트카페,3.1,서울 성동구 연무장길 18,매일 11:00 ~ 23:00,,95,85건
로우키,카페,4.2,서울 성동구 연무장3길 6,월~금 11:00 ~ 21:00,,161,79건
서울숲빙봉,양식,3.3,서울 성동구 서울숲2길 18-14,화~금 10:00 ~ 18:00,,151,29건
옹근달,카페,2.6,서울 성동구 성수이로7길 41-1 1/ 2층,매일 11:00 ~ 22:00,02-499-5012,265,45건
헤이보울,카페,4.2,서울 성동구 성수이로7가길 13 1층,매일 12:00 ~ 20:00,070-8845-6847,232,58건
문화식당,퓨전요리,4.2,서울 성동구 성수일로4길 45 2층,월~토 11:30 ~ 23:30 · 브레이크타임 월~토 15:30 ~ 17:30,02-465-9007,230,98건
바스버거 성수점,햄버거,3.8,서울 성동구 왕십리로8길 16 1층,월~금 11:00 ~ 22:30 · 브레이크타임1 월/화/수/목/토/일 15:00 ~ 16:30,02-464-6674,171,33건
메쉬커피,커피전문점,3.6,서울 성동구 서울숲길 43,월~금 08:30 ~ 17:00,02-464-7078,99,76건
왕십리육감식당,육류/고기,4.2,서울 성동구 무학봉28길 1 1층,매일 12:00 ~ 24:00,02-2291-6092,83,22건
하노이102,베트남음식,4.1,서울 성동구 서울숲6길 18 1/2층,화요일,,178,94건
엽기꼼닭발,닭요리,4.1,서울 성동구 왕십리로22길 3,영업시간 월~금 15:30 ~ 01:00,02-2299-3838,249,44건
카린지,일식,3.5,서울 성동구 왕십리로4길 10-3 1층,화요일,02-462-8486,298,56건
슈퍼말차 성수,카페,3.9,서울 성동구 서울숲6길 19,매일 11:00 ~ 21:00,02-6953-3882,170,56건
그리드채플린 성수점,호프/요리주점,3.9,서울 성동구 아차산로7길 15-1 효정빌딩 1층,영업시간 월~금 16:00 ~ 03:00,02-6463-6200,83,10건
로우커피스탠드,커피전문점,4.5,서울 성동구 왕십리로4길 28-2 1층,월~금 08:00 ~ 18:00,,154,69건
왕십리맛나곱창,곱창/막창,2.7,서울 성동구 고산자로 281-1,영업시간 매일 15:00 ~ 03:00,02-2282-3349,168,48건
밀본,국수,3.0,서울 성동구 아차산로 67-16 예당빌딩 1층,월~금 11:00 ~ 21:00,02-499-9801,164,36건
목포산꽃게아구찜탕,게/대게,3.4,서울 성동구 마장로 325,매일 11:30 ~ 21:30,02-2292-1270,89,44건
글로우,카페,3.8,서울 성동구 아차산로9길 20 1층,월~금 09:00 ~ 22:00,,224,36건
윤경,돈까스/우동,2.8,서울 성동구 아차산로 3 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-466-3324,365,47건
본앤브레드 신관레스토랑,한식,2.9,서울 성동구 마장로42길 1,화~일 12:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 18:00,02-2294-5005,47,13건
인생한우,육류/고기,3.0,서울 성동구 마장로31길 43 영지빌딩 2층,매일 11:00 ~ 22:00,02-2292-2888,161,10건
카페포제,카페,3.2,서울 성동구 연무장9길 7,월/화요일,070-8830-5994,203,52건
키커피컴퍼니,카페,4.0,서울 성동구 왕십리로 269,화~금 08:00 ~ 22:00,070-4230-8893,136,22건
스시이치바,초밥/롤,4.5,서울 성동구 왕십리로14길 8,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:30,02-6338-2318,154,35건
비사벌 전주콩나물국밥,국밥,4.1,서울 성동구 왕십리로6길 1-2,월~금 00:00 ~ 24:00,,72,67건
하루&원데이,카페,4.5,서울 성동구 아차산로 92 광명타워 1층 103호,월~금 07:30 ~ 23:00,,32,18건
버섯집,한식,4.2,서울 성동구 왕십리로5길 9-10 1층,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-3409-8887,114,78건
파르코,피자,3.8,서울 성동구 서울숲2길 44 1층,월~금 11:30 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-467-8588,163,51건
우동가조쿠 성수점,일식,4.3,서울 성동구 연무장길 9,,02-762-2177,134,47건
보이어,이탈리안,4.1,서울 성동구 연무장길 14-2 1층,화~토 12:00 ~ 23:00 · 브레이크타임 화~토 15:00 ~ 18:00,070-4866-5995,119,31건
업사이드 뚝섬점,카페,4.7,서울 성동구 왕십리로14길 19-1 1층,월~금 08:00 ~ 20:00,070-8691-4107,85,45건
직화삼곱 성수직영점,육류/고기,4.1,서울 성동구 아차산로 97,영업시간 월~금 17:00 ~ 24:00,02-461-0108,97,9건
오브코하우스,카페,4.7,서울 성동구 서울숲6길 17 2층 2호,월/화요일,02-468-8486,147,40건
치카치카,디저트카페,4.0,서울 성동구 연무장길 38 1층,월/화요일,02-498-3478,117,22건
마를리,카페,3.1,서울 성동구 연무장길 47 1층,매일 09:00 ~ 23:00,02-467-0303,321,41건
몽련,육류/고기,2.9,서울 성동구 왕십리로10길 3,매일 11:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 17:00,02-6953-8525,154,15건
카페온화 성수점,카페,3.0,서울 성동구 아차산로 78 1층,매일 11:00 ~ 23:00,02-461-0031,250,32건
본노엘,제과/베이커리,2.8,서울 성동구 상원길 64,월~금 08:00 ~ 20:00,070-7804-1225,31,24건
도치피자,피자,2.3,서울 성동구 연무장길 7 1~2층,매일 11:30 ~ 22:00,02-469-8002,83,41건
플디 성수점,카페,2.7,서울 성동구 상원길 44 2층,매일 12:00 ~ 20:00,,108,32건
탐광,일식집,3.3,서울 성동구 연무장5가길 26,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,070-8869-3333,315,66건
훔볼트,디저트카페,3.4,서울 성동구 성수이로 58 P-Tower 지하 1층/ 지상 1-2층,월~금 08:00 ~ 22:00,,164,37건
차만다 서울숲점,양식,4.5,서울 성동구 서울숲2길 28-12,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-6448-0812,58,47건
하늘축산,육류/고기,2.1,서울 성동구 고산자로24길 11,월~금 09:00 ~ 21:00,010-5002-9292,74,8건
서울앵무새,테마카페,3.4,서울 성동구 서울숲9길 3 지하 1~2층,매일 10:00 ~ 23:00,070-8846-2025,354,56건
와하카,멕시칸/브라질,4.4,서울 성동구 성수일로12길 29 1층,월/화요일,0507-1413-7292,79,60건
어라운드데이,카페,4.2,서울 성동구 서울숲2길 24-1,매일 12:00 ~ 21:00,0507-1431-8310,173,38건
우동가조쿠,돈까스/우동,4.0,서울 성동구 왕십리로 215-2,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,,122,82건
양평회관,삼겹살,3.9,서울 성동구 마조로7길 16 1/2층,,010-9398-7230,78,16건
봉순이네다락방,커피전문점,4.1,서울 성동구 왕십리로21길 13-1 지하1~2층,영업시간 월~금 12:30 ~ 22:00,02-2299-8057,67,26건
EERT,카페,2.8,서울 성동구 서울숲2길 19-17 1층,화~일 12:00 ~ 20:00,,197,31건
카페노티드 피치스,디저트카페,3.4,서울 성동구 연무장3길 9 1층,매일 11:00 ~ 21:00,,167,25건
은성보쌈,족발/보쌈,2.2,서울 성동구 독서당로 299-5,매일 11:30 ~ 23:30,02-2297-9922,56,42건
난포,한식,3.7,서울 성동구 서울숲4길 18-8 지층,매일 11:00 ~ 22:00,02-468-1540,363,157건
맛차차,카페,3.0,서울 성동구 서울숲2길 18-11,월/화요일,010-9719-8707,136,37건
사계진미 왕십리점,닭요리,4.1,서울 성동구 왕십리로 311-1 2층,매일 12:00 ~ 02:00,02-2291-7744,37,34건
성수동간판없는집,국수,4.6,서울 성동구 성수일로 59-1,월~토 11:00 ~ 24:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-499-1253,75,16건
5TO7,카페,3.3,서울 성동구 서울숲2길 44-13,월/화 11:30 ~ 21:00,,171,27건
전자방,중화요리,4.0,서울 성동구 성수일로12길 23,화~금 11:00 ~ 21:30 · 브레이크타임 화~금 14:00 ~ 17:00,02-420-1193,157,17건
카페오롯,카페,3.9,서울 성동구 상원6나길 7 1층,월~금 10:00 ~ 20:00,02-2292-2223,128,17건
옥수해물찜칼국수,한식,2.7,서울 성동구 독서당로40길 37 2층,매일 11:30 ~ 21:30,02-2292-3335,42,19건
쿄와텐동,일식,3.1,서울 성동구 서울숲4길 20 1층 102호,매일 12:00 ~ 21:00,,220,51건
마크69,카페,2.5,서울 성동구 서울숲길 24,매일 11:00 ~ 22:00,,116,24건
푸줏간생고기점,육류/고기,3.8,서울 성동구 행당로17길 24,영업시간 월~토 14:00 ~ 24:00,02-749-7361,90,14건
카페 스밍 스튜디오,카페,4.9,서울 성동구 뚝섬로 317 1층,매일 08:00 ~ 22:00,02-6463-0779,18,7건
아이오쓰리 성수사거리점,카페,4.0,서울 성동구 성수이로20길 60 1층,월~금 08:00 ~ 19:30,010-4143-8202,23,5건
정은이네곱창,곱창/막창,2.2,서울 성동구 고산자로 289,영업시간 매일 15:00 ~ 24:00,02-2295-1233,50,28건
고깃집왕고을,육류/고기,4.3,서울 성동구 왕십리로24길 10-2 1층,영업시간 월~토 16:00 ~ 23:00,0507-1417-3423,157,12건
옥수동화덕피자,피자,3.7,서울 성동구 한림말3길 27-1,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:30,02-6084-2019,121,41건
오스테리아쟌니,이탈리안,4.2,서울 성동구 연무장길 109,화~토 12:00 ~ 22:30 · 브레이크타임 화~토 15:30 ~ 18:00,,47,40건
스시메이 성수점,초밥/롤,4.2,서울 성동구 연무장7길 7-1 2층,월~토 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-466-4918,82,21건
성수속향연,중화요리,4.1,서울 성동구 성수이로 65 협성빌딩 1층 102호,월~토 11:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-463-0753,53,31건
메시,일식,4.5,서울 성동구 상원2길 3 1층,월~토 11:30 ~ 21:30 · 브레이크타임 월~금 14:30 ~ 17:30,02-461-1121,123,44건
로컬릿,이탈리안,4.0,서울 성동구 한림말길 33 2층,화~토 11:00 ~ 21:00,02-2282-1124,120,32건
벱,베트남음식,4.5,서울 성동구 성수일로4가길 2 1층,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,070-7644-4502,148,76건
이로우,일본식주점,4.2,서울 성동구 연무장길 12 1층,영업시간 매일 15:00 ~ 22:00,02-6953-7448,75,29건
제제,중화요리,3.2,서울 성동구 서울숲길 46-1,매일 11:30 ~ 21:00 · 브레이크타임1 월~금 14:30 ~ 17:30,070-8833-6999,102,46건
우에노421,카페,3.6,서울 성동구 무학봉길 42-1,매일 12:00 ~ 22:00,02-2299-5596,71,24건
카페노티드 성수,카페,4.0,서울 성동구 연무장길 29-17 1층,매일 11:00 ~ 20:00,,86,13건
새들러하우스 성수2호점,카페,3.7,서울 성동구 성덕정11길 5-12,,,17,33건
메이탄 성수점,중화요리,4.0,서울 성동구 왕십리로 50 2층,,02-6085-1080,73,12건
최영희언양불고기,불고기/두루치기,3.0,서울 성동구 무학봉28길 21,,02-2294-6077,102,22건
묘사서울,카페,3.3,서울 성동구 서울숲2길 2 2층,매일 12:00 ~ 22:00,,200,43건
권식족발,족발/보쌈,4.1,서울 성동구 아차산로7길 4 1층,매일 12:00 ~ 11:00,02-465-8516,414,13건
장어구이,장어,4.5,서울 성동구 마조로 17,매일 11:00 ~ 21:00,02-2294-8999,62,37건
매란방 왕십리본점,중화요리,2.8,서울 성동구 왕십리광장로 17 왕십리민자역사 2층 역무1호,매일 11:00 ~ 21:30,02-2200-1550,81,47건
이가갈비,갈비,3.1,서울 성동구 마조로 25 2층,매일 10:00 ~ 22:00,02-2298-8878,54,9건
부원냉면,냉면,4.0,서울 성동구 장터길 39,월~금 11:00 ~ 22:00,02-2253-5042,25,20건
마하차이,태국음식,3.6,서울 성동구 뚝섬로 399 2층,월~금 11:00 ~ 21:00,02-468-5678,93,44건
성수베이킹스튜디오,제과/베이커리,4.5,서울 성동구 서울숲2길 46 1층,월~금 10:00 ~ 17:00,02-468-0789,118,25건
라온석갈비 성수본점,갈비,3.7,서울 성동구 성수이로 119 덕산빌딩 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 16:30,02-466-1616,15,10건
쵸리상경,한식,4.5,서울 성동구 서울숲4길 18-8 2층,화요일,02-6402-0085,105,36건
진작다이닝,일식집,3.6,서울 성동구 왕십리로14나길 10 1층,매일 11:30 ~ 21:00,02-464-4484,231,36건
부부요리단,한식,3.4,서울 성동구 독서당로40길 25-1 1층,월~토 11:00 ~ 23:00,02-2295-5886,35,13건
갱생,한식,4.2,서울 성동구 마조로7길 5 지하1층,영업시간 매일 16:00 ~ 22:00,0507-1403-3454,94,11건
더코너키친,양식,4.1,서울 성동구 한림말3길 8 1층,월~토 11:30 ~ 21:30 · 브레이크타임 월~토 15:00 ~ 17:00,02-6448-9090,60,33건
우리소고기무한리필 본점,육류/고기,3.6,서울 성동구 마장로39가길 32,매일 12:00 ~ 23:00,02-2296-8000,9,14건
잇샐러드,양식,3.8,서울 성동구 성수일로8길 28 1층,매일 11:00 ~ 21:00,070-8118-1751,129,34건
한우마을,육류/고기,4.5,서울 성동구 고산자로24길 11 2층,매일 10:00 ~ 22:00,02-2291-0292,16,4건
OUDO,갤러리카페,4.6,서울 성동구 성수일로 55 106호,화~금 10:00 ~ 22:00,02-465-8922,85,16건
레몬그라스,태국음식,3.9,서울 성동구 연무장길 41-26 1층,,010-4459-7022,147,53건
오거트,카페,3.7,서울 성동구 상원6나길 10 101호,월/화/수/목/금/일요일,02-6956-7753,98,14건
금호모소리,육류/고기,4.6,서울 성동구 장터길 32 1층,영업시간 매일 17:00 ~ 24:00,02-2282-2728,128,18건
제일,한식,2.9,서울 성동구 왕십리로10길 9-9 1층,영업시간 월~토 18:00 ~ 00:30,0507-1431-0918,51,27건
교대이층집 성수점,육류/고기,3.5,서울 성동구 성수일로8길 60 2층,월~금 11:30 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-462-2792,58,11건
윤경양식당,양식,2.3,서울 성동구 왕십리로 96 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,,113,53건
프롬하츠커피 성동구청점,카페,3.7,서울 성동구 고산자로 253,매일 08:00 ~ 23:00,,20,3건
역전할머니맥주 왕십리점,호프/요리주점,3.3,서울 성동구 무학로2길 30,,02-2292-1982,65,12건
피어커피 성수,커피전문점,4.1,서울 성동구 광나루로4가길 24,월~금 10:00 ~ 17:00,02-474-1464,16,28건
일일향,중화요리,3.4,서울 성동구 성수일로6길 47 2층,매일 11:30 ~ 21:30,02-462-2777,21,19건
브라운팟,카페,4.1,서울 성동구 무학봉28길 16,매일 10:00 ~ 22:00,02-2299-7796,53,19건
푸르너스가든 서울숲점,카페,3.3,서울 성동구 서울숲2길 46-9 동심원 빌딩 1층,매일 10:00 ~ 21:00,02-499-5673,33,21건
쉐프우의 빠오즈푸 서울숲직영점,중식,4.0,서울 성동구 왕십리로6길 13 1층,월~금 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-499-9256,140,37건
평이담백뼈칼국수 성수점,국수,2.4,서울 성동구 상원10길 10 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,070-8870-6879,93,20건
텐동식당,일식집,3.2,서울 성동구 연무장5가길 20-1 1층,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6339-0309,171,57건
다포케,양식,4.2,서울 성동구 연무장길 41 1층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 16:00,070-8836-7872,116,43건
램플러스 한양대점,양꼬치,4.0,서울 성동구 마조로 27,,02-2281-0405,130,6건
꿉당 성수점,육류/고기,3.7,서울 성동구 성수이로20길 10 1층,영업시간 월~금 16:30 ~ 23:30,02-465-6564,99,41건
수상한막창 왕십리점,곱창/막창,4.5,서울 성동구 무학봉28길 20 1층,영업시간 월~금 16:00 ~ 00:00,02-2282-3177,27,28건
왕십리정부네곱창 본점,곱창/막창,3.3,서울 성동구 고산자로 287,매일 12:00 ~ 00:00,02-2298-0595,96,12건
차이나플레인 서울숲점,중화요리,2.8,서울 성동구 뚝섬로1길 25,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:00,02-2088-8493,71,13건
죽변항,회,2.9,서울 성동구 상원길 40,월~토 11:00 ~ 23:00,02-465-7487,31,12건
프랑스포차 성수본점,양식,4.1,서울 성동구 연무장5가길 20 1층,월~금 11:30 ~ 24:00 · 브레이크타임 월~금 13:30 ~ 17:30,02-3144-9191,20,13건
뜨아아아커피집,카페,3.9,서울 성동구 고산자로12길 1-1,매일 10:00 ~ 22:00,,148,15건
고공,육류/고기,3.8,서울 성동구 왕십리로8길 10,영업시간 매일 17:00 ~ 24:00,02-6368-5050,91,21건
소녀방앗간 서울숲시작점,한식,3.2,서울 성동구 왕십리로5길 9-16 1층,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6268-0778,66,53건
미아논나,샌드위치,4.0,서울 성동구 연무장5길 9-16 104호,월~금 08:00 ~ 20:00,,133,48건
엘루이 피자&펍,피자,3.8,서울 성동구 마조로5길 12,영업시간 월/화/수/목/일 16:30 ~ 02:00,02-2291-1365,68,24건
크림라벨,카페,4.3,서울 성동구 상원10길 7-1,화~일 12:00 ~ 18:00,0507-1316-1832,134,12건
미테이블 성수본점,양식,3.2,서울 성동구 왕십리로8길 5 1층,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 16:00,02-461-0089,42,19건
대구집,육류/고기,3.2,서울 성동구 살곶이길 40,매일 11:30 ~ 02:00,02-2294-6349,42,10건
세광양대창 성수점,곱창/막창,3.8,서울 성동구 아차산로 122,매일 12:00 ~ 24:00,02-464-4201,47,10건
꾸아 성수동 본점,베트남음식,2.2,서울 성동구 서울숲4길 26-24 지하1층,매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 16:30,02-6497-0056,152,150건
전봇대집,육류/고기,3.0,서울 성동구 살곶이길 40,매일 10:00 ~ 24:00,02-2294-0875,42,11건
차이나플레인 성수점,중화요리,1.8,서울 성동구 아차산로 113 삼진빌딩 2층,매일 12:00 ~ 22:00,02-2205-2477,54,9건
스타벅스 왕십리역,커피전문점,3.3,서울 성동구 왕십리로 326,월~토 07:00 ~ 21:00,1522-3232,23,12건
오캄,이탈리안,3.7,서울 성동구 왕십리로 410 센트라스 L동 1층 133호,매일 11:30 ~ 22:00,02-516-5677,104,12건
칸토,카페,3.8,서울 성동구 연무장길 20,매일 11:00 ~ 21:00,,12,22건
꽃보다족발,족발/보쌈,4.0,서울 성동구 왕십리로24길 16,매일 12:00 ~ 01:00,02-6419-1500,18,8건
신사한우소곱창,곱창/막창,3.7,서울 성동구 아차산로 90 1층,영업시간 매일 17:00 ~ 00:30,,89,12건
소나무,육류/고기,3.6,서울 성동구 행당로17길 20,,02-2292-2222,142,15건
정선부뚜막,한식,3.4,서울 성동구 서울숲6길 14 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-499-8253,92,30건
그레이트커피,카페,3.8,서울 성동구 서울숲2길 6 1층,매일 12:00 ~ 22:00,070-7617-6980,113,43건
토라식당,일식,3.7,서울 성동구 연무장7가길 6-1 지하1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 18:00,,106,26건
에르제 성수,제과/베이커리,4.3,서울 성동구 아차산로 135 1층,월~금 08:00 ~ 19:00,02-469-7012,117,34건
레이더,제과/베이커리,3.4,서울 성동구 연무장길 39-29 1/ 2층,매일 12:00 ~ 22:00,02-6080-3929,119,23건
미도인 성수,스테이크/립,4.2,서울 성동구 연무장7가길 3 1층,매일 11:30 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-465-1995,161,26건
성일정육식당,육류/고기,2.6,서울 성동구 아차산로3길 9,매일 11:00 ~ 22:00,02-2292-6696,38,14건
왕십리원조황소곱창,곱창/막창,2.3,서울 성동구 무학로 24,,02-2297-8860,24,8건
브루잉세레모니,커피전문점,4.6,서울 성동구 연무장5가길 22-1 1층,월~토 11:00 ~ 21:00,,77,34건
스시메이,초밥/롤,3.9,서울 성동구 상원길 50 1층,월~토 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-498-4918,106,20건
