식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
캠프X그릴,육류/고기,4.9,서울 중랑구 동일로 929 2층,영업시간 매일 18:00 ~ 01:00,02-6677-0043,38,12건
면동떡볶이,떡볶이,3.2,서울 중랑구 면목로57길 33,매일 11:30 ~ 22:00,,85,21건
홍이네떡볶이,떡볶이,3.0,서울 중랑구 망우로73길 26,둘째 화요일,02-439-5831,78,26건
까망통돼지,육류/고기,4.4,서울 중랑구 면목로 488 2층,매일 12:00 ~ 24:00,02-438-5730,35,28건
통큰소무한리필 사가정점,육류/고기,2.7,서울 중랑구 면목로 352 1층,매일 11:30 ~ 23:00,02-435-9297,50,6건
고기를품다 중화점,육류/고기,4.2,서울 중랑구 중랑역로 23 1층,영업시간 월~토 17:00 ~ 01:00,010-6248-3084,77,14건
천외천,오리,4.6,서울 중랑구 봉우재로33길 12 1층,화요일,02-435-3334,31,11건
고기를품다 사가정직영점,육류/고기,4.6,서울 중랑구 면목로48길 17 1층,영업시간 화~일 16:00 ~ 00:30,070-4045-9736,106,14건
한참치 묵동본점,참치회,3.3,서울 중랑구 공릉로 32 공감대아파트 상가 1층,월~토 12:00 ~ 24:00 · 브레이크타임 매일 15:00 ~ 16:30,02-949-0448,30,6건
피에스타9 강북상봉점,뷔페,3.3,서울 중랑구 망우로 353 상봉프레미어스엠코 이노시티C동 지하1층,,02-439-1300,45,4건
스시혼 신내점,초밥/롤,3.2,서울 중랑구 신내로 50,매일 11:30 ~ 22:00,02-434-3290,40,26건
착한낙지 신내점,해물/생선,2.3,서울 중랑구 용마산로125길 108-19,매일 11:00 ~ 22:00,02-438-9790,28,18건
용마갈비,갈비,3.4,서울 중랑구 용마산로 498,매일 13:00 ~ 22:00,02-435-4038,13,7건
면목식탁,이탈리안,3.5,서울 중랑구 겸재로50길 41 1층,화요일,02-493-9777,84,14건
봉일천돼지부속,육류/고기,4.4,서울 중랑구 봉우재로33길 23,영업시간 월~토 17:00 ~ 24:00,02-491-9231,43,5건
왕십리불곱창,곱창/막창,4.5,서울 중랑구 상봉로 102,영업시간 월~토 17:00 ~ 24:00,02-6013-3336,136,8건
카페소고 망우점,카페,4.3,서울 중랑구 신내로1길 15,매일 12:00 ~ 22:00,02-6014-6912,68,6건
에헴,호프/요리주점,4.1,서울 중랑구 망우로48길 27-12,영업시간 월~목 18:00 ~ 02:00,,55,7건
호반닭갈비막국수 중화본점,닭요리,2.8,서울 중랑구 봉화산로 20 1층,,02-439-1656,101,16건
통큰소무한리필 상봉직영점,육류/고기,3.6,서울 중랑구 망우로 316 이지팰리스 2층,매일 12:00 ~ 23:00,02-433-4310,21,8건
강원도동강오리 본점,오리,3.8,서울 중랑구 용마산로115길 10,매일 11:00 ~ 22:30,02-492-6717,49,10건
청평매운탕,매운탕/해물탕,4.0,서울 중랑구 공릉로 46,월~토 11:00 ~ 21:30,02-976-9891,27,26건
빙수야 망우직영점,분식,5.0,서울 중랑구 용마산로116길 21 1층,화~일 11:30 ~ 21:30,0507-1340-0495,5,10건
작은부엌,이탈리안,4.3,서울 중랑구 면목로 361,화요일,,84,9건
기와옥,불고기/두루치기,3.9,서울 중랑구 용마산로129길 22 광남아파트 1층,매일 10:00 ~ 21:30,02-3421-5221,56,7건
미락한정식,한정식,4.0,서울 중랑구 봉우재로 27 1층,,02-494-3800,16,4건
향촌칼국수,국수,4.0,서울 중랑구 면목로55길 10,,,124,11건
홍어천국,해물/생선,3.8,서울 중랑구 면목로 421,매일 11:00 ~ 23:00,02-437-4757,9,8건
개인공간,카페,4.5,서울 중랑구 송림길 12 1층,화~토 12:00 ~ 22:00,070-7718-0087,36,19건
대관령쌈밥 망우점,쌈밥,4.8,서울 중랑구 용마산로115길 15,매일 11:00 ~ 22:00,02-437-9192,20,8건
라떼플로라,테마카페,3.7,서울 중랑구 동일로156길 7 103호,월~토 08:00 ~ 23:00,02-432-9503,32,9건
디저트아카데미,디저트카페,4.2,서울 중랑구 망우로36길 38 102호,화~금 10:00 ~ 22:00,02-433-6096,38,10건
뱃놈과백정 사가정점,육류/고기,3.0,서울 중랑구 면목로 348,,02-493-0807,87,6건
다시사랑받개,카페,4.0,서울 중랑구 용마산로139나길 83,매일 12:30 ~ 22:00,02-6958-6224,24,8건
팡도리노베이커리,제과/베이커리,3.4,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지 상가 1005호,월/화요일,070-8822-2738,24,15건
가나점보돈까스,돈까스/우동,2.6,서울 중랑구 용마산로94가길 24,,02-434-8587,50,20건
먹고을전주콩나물국밥 묵동본점,국밥,4.0,서울 중랑구 중랑역로 268,매일 00:00 ~ 24:00,02-977-0038,24,7건
황해칼국수,국수,4.2,서울 중랑구 숙선옹주로 3 1층,월/화/수/목/일 11:30 ~ 02:00,02-974-8174,18,9건
카페브릭,카페,3.8,서울 중랑구 신내역로1길 127-11,매일 09:00 ~ 23:00,,42,11건
산채가,한식,4.0,서울 중랑구 동일로157길 30,매일 11:00 ~ 22:30,02-948-1138,3,9건
라화쿵부 상봉점,중식,3.0,서울 중랑구 망우로 304,매일 11:30 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 16:00,02-435-4350,43,46건
여자만아구해물찜,아구,3.2,서울 중랑구 동일로 685,매일 11:30 ~ 22:00,02-434-5954,35,12건
이층커피,카페,3.4,서울 중랑구 동일로 805-1 2층,화~토 11:00 ~ 22:00,02-437-0627,57,8건
장위동유성집 중랑점,육류/고기,3.4,서울 중랑구 동일로 823-1,매일 11:30 ~ 22:30,02-495-6096,22,5건
크리스탈,분식,4.3,서울 중랑구 봉우재로70길 93,화요일,02-495-5236,24,14건
스타벅스 상봉역점,커피전문점,4.1,서울 중랑구 망우로 307,월~금 07:00 ~ 21:00,1522-3232,18,13건
오늘그릴,이탈리안,4.2,서울 중랑구 봉화산로54길 5,매일 12:00 ~ 01:00 · 브레이크타임 매일 15:00 ~ 17:00,070-4176-3509,23,11건
이가네바지락칼국수,국수,4.2,서울 중랑구 겸재로 218,매일 10:00 ~ 22:00,02-433-3633,33,14건
스타벅스 상봉점,커피전문점,4.3,서울 중랑구 상봉로 131 상봉듀오트리스주상복합,월~금 07:00 ~ 21:00,1522-3232,13,9건
한동길감자탕 신내본점,감자탕,4.1,서울 중랑구 신내로 225,매일 00:00 ~ 24:00,02-3421-0656,30,28건
샤브숲,샤브샤브,3.8,서울 중랑구 사가정로51길 21,매일 11:30 ~ 23:00 · 브레이크타임 매일 15:30 ~ 17:00,02-433-5007,16,8건
자주족발,족발/보쌈,4.9,서울 중랑구 겸재로 212 1층,영업시간 월~토 16:00 ~ 23:00,02-435-2733,13,7건
만두만,한식,3.4,서울 중랑구 면목로44길 57,화~일 11:00 ~ 15:00,010-9688-9624,42,12건
노브랜드버거 중화점,패스트푸드,3.1,서울 중랑구 동일로 799 1/ 2층,매일 10:00 ~ 22:00,02-432-9906,82,13건
찡어찡어,해물/생선,4.6,서울 중랑구 면목로 454 1층,영업시간 월~목 17:30 ~ 00:00,02-493-9393,18,9건
스타벅스 사가정역점,커피전문점,3.1,서울 중랑구 면목로 310,월~금 07:00 ~ 21:00,1522-3232,8,20건
김시우초밥,초밥/롤,3.8,서울 중랑구 봉화산로 52 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30,02-6013-0206,36,22건
모이카페,카페,4.4,서울 중랑구 용마산로125길 108-17,매일 10:00 ~ 22:00,070-4230-0404,23,5건
장수부띠끄,커피전문점,4.2,서울 중랑구 사가정로43길 41,화요일,02-435-3758,55,5건
이화김치찌개,찌개/전골,2.9,서울 중랑구 중랑천로 188,매일 06:00 ~ 24:00,02-432-4320,45,14건
양평신내서울해장국,해장국,3.4,서울 중랑구 양원역로 31,,02-494-9559,4,9건
대박왕곱창,곱창/막창,4.8,서울 중랑구 답십리로 367,영업시간 월~토 16:30 ~ 22:30,02-491-6405,27,17건
자가제빵선명희피자 면목점,피자,4.9,서울 중랑구 면목로48길 11,매일 11:00 ~ 22:30,02-6015-7124,930,9건
전설의짬뽕 묵동점,중화요리,2.4,서울 중랑구 동일로 939,화~일 11:00 ~ 21:00,02-977-6523,16,9건
한도니 신내점,육류/고기,3.6,서울 중랑구 봉화산로54길 32 1층,매일 11:00 ~ 23:30,02-436-2292,24,9건
망우찜쌈밥,쌈밥,4.3,서울 중랑구 용마공원로2길 11,매일 10:00 ~ 22:00,02-437-0175,27,11건
먹거리집,순대,2.3,서울 중랑구 면목로91길 8,매일 00:00 ~ 24:00,02-493-3100,36,12건
카페개인,디저트카페,4.3,서울 중랑구 동일로 489-1,화~토 11:00 ~ 22:00,02-433-9982,41,12건
바다목장바닷가재,바닷가재,2.7,서울 중랑구 봉우재로 49,매일 12:00 ~ 21:00,02-491-5419,15,3건
감자바우묵동영양족발,족발/보쌈,3.1,서울 중랑구 동일로 946,매일 10:00 ~ 21:50,02-972-9566,15,15건
묵동부대찌개전문,찌개/전골,3.5,서울 중랑구 공릉로 42,매일 10:00 ~ 21:00,02-974-4866,25,10건
브라더야끼,육류/고기,4.6,서울 중랑구 숙선옹주로 6-9 묵동자이1단지 1층 119/ 120호,영업시간 매일 16:00 ~ 01:00,02-972-9500,16,20건
미니특공대테마파크 면목역점,키즈카페,4.8,서울 중랑구 겸재로 164,매일 10:30 ~ 20:00,070-7788-5656,17,4건
벌교꼬막포차,실내포장마차,2.8,서울 중랑구 봉우재로33길 41,영업시간 매일 15:00 ~ 03:00,02-491-8424,33,6건
맹돌이생선구이쌈밥,해물/생선,4.2,서울 중랑구 용마산로115길 59 2층,월/화/목/금/토/일 11:00 ~ 22:00,02-491-8221,10,10건
964커피로스터리,카페,3.8,서울 중랑구 면목로 489,월~금 09:00 ~ 22:00,,21,5건
라화쿵부 사가정점,중화요리,2.6,서울 중랑구 사가정로 395 2층,매일 11:00 ~ 23:00,010-7165-6665,48,8건
포앤시드니 묵동자이점,동남아음식,4.7,서울 중랑구 동일로 932 묵동자이2단지 201동 113호,매일 10:30 ~ 22:00,02-972-0075,56,3건
상봉커피,카페,4.8,서울 중랑구 봉우재로 96,화~일 12:00 ~ 22:00,,19,10건
우림닭한마리,닭요리,5.0,서울 중랑구 망우로66길 5,매일 11:00 ~ 22:30,02-433-5512,34,12건
어사출또,회,2.2,서울 중랑구 겸재로 189,월~금 00:00 ~ 24:00,02-432-4377,5,6건
스타벅스 중랑구청점,커피전문점,4.9,서울 중랑구 신내로 72,월~금 07:00 ~ 21:00,1522-3232,9,7건
빛나는바다 묵동점,회,3.1,서울 중랑구 중랑역로 249,매일 11:30 ~ 02:00,02-977-8282,16,9건
빠리짬뽕,중화요리,3.9,서울 중랑구 중랑역로 44 1층,월~토 11:30 ~ 20:40 · 브레이크타임 월~토 13:40 ~ 18:00,,26,27건
미스사이공 망우점,동남아음식,3.1,서울 중랑구 망우로 382,매일 10:00 ~ 22:00,02-6404-0420,9,8건
경상도떡볶이,떡볶이,2.6,서울 중랑구 망우로71길 36-17,매일 12:30 ~ 17:00,02-438-6245,23,8건
바다회천국,회,5.0,서울 중랑구 용마산로 494,화~일 11:30 ~ 22:40,02-438-8844,14,6건
산골정육식당,육류/고기,4.2,서울 중랑구 면목로 417,매일 10:30 ~ 23:30,02-496-0333,28,5건
연스시,초밥/롤,3.5,서울 중랑구 동일로 932 1층 111호,매일 11:00 ~ 02:00 · 브레이크타임 매일 15:00 ~ 17:00,02-978-9777,53,8건
홍어본가,해물/생선,4.0,서울 중랑구 동일로 867,월~토 10:30 ~ 17:30 · 점심시간 월~토 12:00 ~ 12:30,02-979-5305,4,5건
스시고메이,초밥/롤,3.7,서울 중랑구 공릉로 8-8,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-948-7778,19,10건
위대한족보,족발/보쌈,3.8,서울 중랑구 답십리로77길 11 1층,화요일,02-438-8008,20,5건
대동집 상봉점,호프/요리주점,3.7,서울 중랑구 망우로50길 30,,02-438-3300,18,3건
곽만근갈비탕 상봉점,한식,2.3,서울 중랑구 봉우재로 117 1층,매일 11:00 ~ 22:00,02-494-1700,16,3건
이어도참치,참치회,3.0,서울 중랑구 동일로 635,영업시간 매일 16:00 ~ 24:00,02-493-3733,57,1건
맥도날드 중랑점,패스트푸드,2.6,서울 중랑구 망우로 202 동성빌딩,매일 08:00 ~ 24:00,070-7017-0417,4,7건
강금옥쭈꾸미,해물/생선,3.2,서울 중랑구 봉우재로33길 69,영업시간 매일 17:30 ~ 02:00,02-3295-4009,36,6건
옛가칼국수,국수,4.5,서울 중랑구 중랑천로10길 39,화~일 12:00 ~ 21:00,02-492-1555,25,4건
문가네정육식당 상봉역점,한식,3.6,서울 중랑구 면목로 490,매일 11:00 ~ 24:00,02-438-9000,28,8건
독도게찜,게/대게,3.0,서울 중랑구 망우로 454,,02-433-8892,36,2건
맥도날드 신내점,패스트푸드,3.8,서울 중랑구 봉화산로 194 신아타운1층,매일 00:00 ~ 24:00,070-7017-0531,5,11건
써브웨이 망우점,샌드위치,4.0,서울 중랑구 용마산로115길 127 한일써너스빌리젠시1단지,월~금 07:00 ~ 23:00,02-432-9888,13,12건
애슐리퀸즈 홈플러스상봉점,패밀리레스토랑,3.0,서울 중랑구 망우로 353 지하1층,매일 11:30 ~ 21:30,02-2209-1031,90,17건
왕대박대게파티 신내동본점,게/대게,5.0,서울 중랑구 봉화산로 234,매일 11:00 ~ 23:00,02-491-1654,10,4건
홍익짬뽕,중화요리,3.6,서울 중랑구 동일로 775 2층,,02-433-2008,28,15건
스타벅스 중랑역점,커피전문점,3.3,서울 중랑구 망우로30길 3,월~목 07:00 ~ 21:00,1522-3232,8,8건
종로곱창&닭갈비 면목점,곱창/막창,4.1,서울 중랑구 면목로 414,,02-434-0275,77,8건
소문난순대국,순대,4.4,서울 중랑구 상봉로11길 32,화~일 10:00 ~ 22:30,02-436-6062,12,10건
잉꼬네떡볶이,떡볶이,4.0,서울 중랑구 용마산로120길 43,화요일,,26,11건
동창야채숯불닭갈비,닭요리,3.7,서울 중랑구 봉화산로56길 25,화요일,02-435-1656,20,6건
숯불닭갈비에반하닭,닭요리,4.7,서울 중랑구 면목로 352,영업시간 매일 16:00 ~ 01:00,02-433-9294,19,15건
흥부골숯불돼지왕갈비 묵동점,갈비,3.7,서울 중랑구 동일로 853,매일 11:00 ~ 23:00,02-972-1199,14,6건
최진사댁무한숯불갈비 상봉점,갈비,4.2,서울 중랑구 망우로 326,매일 11:30 ~ 23:00,02-6466-9777,22,11건
연어에빠지다&닥터찬,회,5.0,서울 중랑구 사가정로51길 14,영업시간 매일 15:00 ~ 02:00,02-493-9283,39,8건
다함갈비탕 신내직영점,갈비,3.7,서울 중랑구 용마산로 623 1층,,02-3421-7309,31,6건
버거킹 먹골역점,패스트푸드,4.2,서울 중랑구 동일로 890,매일 09:00 ~ 23:00,070-7462-6725,10,6건
로기스커피,카페,4.5,서울 중랑구 겸재로 172-1 1층,월/화/수/금 08:30 ~ 20:00,070-8621-8791,51,11건
투썸플레이스 망우점,커피전문점,3.0,서울 중랑구 망우로 403 삼부빌딩 1층,매일 07:30 ~ 23:00,02-6954-2588,12,9건
이모네곱창,곱창/막창,0.0,서울 중랑구 동일로 778 1층,영업시간 매일 17:00 ~ 01:00,02-979-0570,38,0건
용마쉼터,한식,4.5,서울 중랑구 망우로70길 118,매일 09:00 ~ 22:00,02-436-4171,29,2건
사가정칼국수,국수,5.0,서울 중랑구 사가정로 365 1층,매일 11:00 ~ 22:00,,10,4건
서울수산물회센타,회,4.0,서울 중랑구 동일로 946,,02-948-9881,9,3건
유정역,육류/고기,3.6,서울 중랑구 신내로 193 1층,매일 11:00 ~ 22:30,02-3423-3600,107,5건
백미의정부부대찌개,찌개/전골,4.1,서울 중랑구 용마산로115길 59 2층,매일 10:00 ~ 22:00,02-492-1832,16,9건
노고단칼국수,국수,2.9,서울 중랑구 봉화산로56길 1,매일 10:30 ~ 22:00,02-435-9790,33,15건
태릉설렁탕전문점,설렁탕,3.2,서울 중랑구 공릉로 65,매일 00:00 ~ 24:00,02-971-1511,13,5건
박가뼈다귀감자탕 본점,감자탕,2.6,서울 중랑구 망우로 193,매일 00:00 ~ 24:00,02-496-1600,24,14건
황금어장,회,2.2,서울 중랑구 겸재로 220-1,화~일 13:00 ~ 00:30,,12,5건
문릿,디저트카페,5.0,서울 중랑구 봉우재로43길 35 1층,월~토 11:00 ~ 22:00,,18,1건
제이쿠치나,양식,5.0,서울 중랑구 망우로 353 엔터식스상봉점 1층,매일 11:00 ~ 22:00,02-6091-9207,94,1건
미미야,초밥/롤,5.0,서울 중랑구 면목로 427 1층,월~토 11:30 ~ 21:00,010-3217-0514,12,8건
능이마을 망우직영점,육류/고기,3.6,서울 중랑구 용마산로115길 42,매일 11:00 ~ 22:00,02-436-5556,9,7건
카페향아,카페,4.2,서울 중랑구 사가정로46길 18,월/화요일,,35,13건
여봉닭발,닭요리,5.0,서울 중랑구 망우로30길 40,화요일,02-432-9979,75,7건
벌교꼬막집,조개,4.8,서울 중랑구 중랑천로 170,월~토 11:30 ~ 24:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-435-9004,9,5건
할머니냉면,냉면,2.6,서울 중랑구 면목로49길 24,,02-494-7005,24,14건
예가참치,참치회,4.2,서울 중랑구 면목로 483,매일 11:30 ~ 01:00,02-433-3007,25,5건
춘천골닭갈비막국수,닭요리,4.6,서울 중랑구 용마산로115길 30,매일 11:00 ~ 24:00,02-438-3249,12,8건
동부왕족발보쌈 본점,족발/보쌈,4.6,서울 중랑구 봉우재로33길 38 1층,영업시간 매일 14:00 ~ 02:00,02-432-3500,8,7건
추오정남원추어탕,추어,4.4,서울 중랑구 용마산로125길 108-7,매일 10:00 ~ 22:00,02-433-0203,8,7건
웨이브앤델리,카페,3.9,서울 중랑구 망우로 316,,02-437-0300,48,14건
중국성,중화요리,2.7,서울 중랑구 망우로42길 7 1층,매일 10:30 ~ 21:00,02-439-7443,26,7건
슌락,일본식주점,5.0,서울 중랑구 겸재로 187-8,월~금 11:30 ~ 24:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-432-4459,50,3건
상봉풍천장어,장어,5.0,서울 중랑구 망우로 262,,02-2209-9292,13,1건
팔팔껍데기 상봉점,육류/고기,4.8,서울 중랑구 망우로 367 1층,영업시간 월~토 16:00 ~ 01:00,02-435-1227,67,17건
강촌숯불닭갈비,닭요리,4.5,서울 중랑구 상봉로 99 백운아파트 1층 103/104호,영업시간 매일 15:00 ~ 24:00,02-434-0992,8,4건
태릉대게하우스 서울경기총판장,게/대게,1.4,서울 중랑구 동일로 938,매일 12:00 ~ 22:30,02-977-8451,11,5건
단미화커피,커피전문점,4.0,서울 중랑구 망우로 258,월~금 11:00 ~ 23:00,,26,9건
버거킹 망우점,패스트푸드,3.2,서울 중랑구 망우로 400,매일 09:00 ~ 24:00,070-7438-6513,8,12건
장어가,장어,5.0,서울 중랑구 면목로 215,,,13,1건
남선반점,중화요리,3.0,서울 중랑구 중랑역로 145,매일 10:00 ~ 21:00,02-949-4433,16,2건
유키가츠,돈까스/우동,4.0,서울 중랑구 중랑천로 61,매일 10:00 ~ 20:30,02-6348-7888,16,28건
모참치,참치회,5.0,서울 중랑구 동일로 810 2층,영업시간 월~토 15:00 ~ 01:00,02-2208-3737,9,4건
흥부골 숯불돼지왕갈비,갈비,3.2,서울 중랑구 면목로 341,매일 11:30 ~ 23:00,,29,9건
세컨드고메,이탈리안,3.1,서울 중랑구 동일로 927 2층,매일 11:00 ~ 23:00,02-975-8645,10,7건
스타벅스 중화역점,커피전문점,5.0,서울 중랑구 봉화산로 35 1/2층,월~금 07:00 ~ 21:00,1522-3232,3,5건
디저트39 묵동자이점,디저트카페,4.0,서울 중랑구 동일로 932 묵동자이아파트 201동 101호,월~금 09:00 ~ 22:00,02-976-1090,14,2건
리틀하노이,베트남음식,4.7,서울 중랑구 동일로109길 46 1층,매일 10:00 ~ 22:00,010-5533-5455,17,11건
빈스로드 본사,카페,5.0,서울 중랑구 봉화산로 111,화 11:00 ~ 14:00,070-7593-7005,14,3건
설빙 상봉점,디저트카페,3.3,서울 중랑구 망우로 204 2층,월~금 11:00 ~ 23:00,02-6380-0707,18,6건
장수돼지갈비,갈비,3.3,서울 중랑구 신내로14길 21,매일 11:00 ~ 23:30,010-6332-6100,26,7건
이종구낙지세상 신내점,해물/생선,4.5,서울 중랑구 봉화산로52길 59,매일 11:00 ~ 22:00,02-493-3908,14,6건
짬뽕9단 상봉점,중화요리,2.2,서울 중랑구 용마산로115길 71 1층,화~일 11:00 ~ 21:00,02-434-6523,13,9건
먹골골목냉면,냉면,3.5,서울 중랑구 공릉로 56-8,매일 11:00 ~ 21:30,02-977-8186,16,11건
한국횟집,회,5.0,서울 중랑구 중랑역로 34,영업시간 매일 14:00 ~ 02:00,02-439-3331,6,1건
짱닭치킨 사가정본점,치킨,4.0,서울 중랑구 면목로48길 19,영업시간 매일 15:30 ~ 02:00,02-432-3003,27,4건
스타벅스 묵동점,커피전문점,3.3,서울 중랑구 동일로 952 로프트원오피스텔 1층,매일 08:00 ~ 21:00,1522-3232,11,6건
홈메이드,돈까스/우동,4.8,서울 중랑구 면목로 421 1층,,,29,12건
조개만땅,조개,3.7,서울 중랑구 면목로91길 10 1층,,02-493-2292,15,3건
제주은희네해장국,해장국,3.7,서울 중랑구 망우로 431,매일 10:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,070-7677-8331,0,6건
장어세상,장어,5.0,서울 중랑구 용마산로129길 4,,02-493-2040,3,2건
다청쌈밥 망우점,쌈밥,5.0,서울 중랑구 봉우재로 237,,02-2244-0909,3,1건
중화루,중화요리,3.5,서울 중랑구 겸재로 117,,02-434-4442,6,6건
오순도순,호프/요리주점,4.8,서울 중랑구 망우로30길 8 동일빌딩 1층 103호,영업시간 월~토 18:00 ~ 02:00,02-2208-5274,18,8건
디저트39 상봉점,디저트카페,5.0,서울 중랑구 망우로 353 상봉프레미어스엠코 C동 1층 109호,월~금 08:00 ~ 22:30,02-6053-3939,7,2건
달콤제빵소,제과/베이커리,2.0,서울 중랑구 봉화산로 227,,02-495-0100,19,21건
티하우스나니,카페,4.8,서울 중랑구 용마산로117길 26 1층 102호,화요일,02-433-2726,20,15건
돈다발,육류/고기,5.0,서울 중랑구 면목로37길 17,매일 12:00 ~ 23:00,02-434-7016,28,10건
동부고려제과,제과/베이커리,2.8,서울 중랑구 망우로 388,매일 06:30 ~ 00:30,02-433-1783,6,8건
KFC 망우동점,패스트푸드,2.3,서울 중랑구 망우로 410,매일 10:00 ~ 24:00,02-433-9625,5,9건
명륜진사갈비 면목점,갈비,1.7,서울 중랑구 겸재로 126 동방빌딩 1층,매일 11:30 ~ 23:00,02-6338-9233,19,20건
곱분이곱창 상봉점,곱창/막창,4.0,서울 중랑구 망우로50길 34,영업시간 매일 16:00 ~ 02:00,02-434-3848,27,2건
금화소곱창,곱창/막창,3.7,서울 중랑구 공릉로 56,화요일,,30,10건
태능가든,갈비,2.3,서울 중랑구 신내로14길 13,,02-3422-2800,10,6건
대광어횟집,회,5.0,서울 중랑구 사가정로51길 39 지하 1층,영업시간 매일 15:00 ~ 03:00,02-434-3351,61,2건
청석골잔치국수,국수,4.3,서울 중랑구 중랑역로 152,,02-948-9819,8,4건
위드마카롱,디저트카페,5.0,서울 중랑구 사가정로49길 6,화~토 11:00 ~ 20:00,,8,34건
교촌치킨 상봉1호점,치킨,2.8,서울 중랑구 망우로 326 1층,매일 12:00 ~ 24:00,02-491-9738,22,8건
엉터리양평해장국&감자탕곱창전골 중화역점,감자탕,2.0,서울 중랑구 중랑역로 76,매일 00:00 ~ 24:00,02-433-3374,8,6건
싱싱활어회수산시장,회,5.0,서울 중랑구 공릉로 18,영업시간 매일 15:00 ~ 02:00,02-6398-8989,14,3건
카페더메뉴얼,카페,4.0,서울 중랑구 동일로157길 65 주마빌딩 1층,매일 11:00 ~ 20:00,010-9674-1008,22,4건
왕서방,중화요리,3.3,서울 중랑구 동일로126나길 13,,02-435-2440,7,6건
항아리김치찌개,찌개/전골,3.6,서울 중랑구 중랑역로50길 4,화요일,02-948-1122,16,5건
투썸플레이스 중랑역점,커피전문점,4.3,서울 중랑구 망우로 202 2층,매일 09:00 ~ 24:00,02-493-5258,5,6건
