식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
노가리슈퍼 익선점,호프/요리주점,3.3,서울 종로구 수표로28길 28,영업시간 매일 14:00 ~ 02:00,02-743-1203,233,20건
박가네빈대떡,한식,4.0,서울 종로구 종로32길 7 광장시장,매일 09:00 ~ 22:30,02-2264-0847,308,103건
원조누드치즈김밥,분식,3.7,서울 종로구 예지동 249-2 광장시장 41호,월~토 05:30 ~ 19:30,010-3164-1145,236,59건
효자동초밥,초밥/롤,3.2,서울 종로구 자하문로 14,화~일 11:30 ~ 21:50 · 브레이크타임 화~일 15:30 ~ 16:30,02-7338-859,84,67건
장군보쌈,족발/보쌈,4.1,서울 종로구 수표로20길 22,매일 11:00 ~ 05:00,02-2274-9548,77,14건
김진목삼,삼겹살,4.6,서울 종로구 자하문로1길 51 1층,영업시간 매일 15:00 ~ 24:00,02-929-2929,89,72건
호텔세느장,디저트카페,2.1,서울 종로구 돈화문로11길 28-5,영업시간 매일 12:00 ~ 24:00,02-766-8211,406,64건
후니도니,돈까스/우동,4.4,서울 종로구 종로 19 르메이르종로타운 지하1층,월~금 11:00 ~ 20:30 · 브레이크타임 월~금 14:30 ~ 15:30,02-722-5402,188,125건
깃대봉냉면 창신본점,냉면,2.7,서울 종로구 지봉로12길 3,매일 10:30 ~ 21:00,02-762-4407,96,46건
소소한풍경,한식,3.5,서울 종로구 자하문로40길 75,영업시간 매일 12:00 ~ 22:00,02-395-5035,62,22건
남도분식 익선점,분식,3.1,서울 종로구 수표로28길 33 1층,매일 11:30 ~ 21:30,02-763-7778,629,29건
오목집 광화문점,족발/보쌈,3.6,서울 종로구 삼봉로 98 1/2층,월~금 11:00 ~ 23:00,02-733-2019,104,20건
할매집,족발/보쌈,2.5,서울 종로구 사직로12길 1-5,영업시간 매일 12:00 ~ 21:30,02-735-2608,92,63건
대하식당,육류/고기,4.8,서울 종로구 자하문로7길 27,,02-734-9503,64,15건
종로등심,육류/고기,2.9,서울 종로구 종로40가길 24 1층,월~토 10:30 ~ 22:00,02-2273-7933,94,14건
인사동수제비,수제비,4.2,서울 종로구 인사동8길 14-1,매일 11:30 ~ 21:30,02-735-3361,86,38건
제이히든하우스,카페,3.1,서울 종로구 종로 269-4 1층,월~토 11:00 ~ 19:00,,147,19건
서울집시,호프/요리주점,4.2,서울 종로구 서순라길 107,영업시간 화~금 17:00 ~ 24:00,02-743-1212,85,49건
아지오,양식,3.3,서울 종로구 인사동11길 23,월~토 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00,02-722-0211,145,35건
결,카페,4.2,서울 종로구 우정국로 26 센트로폴리스 1층,월~금 07:30 ~ 20:30,02-6370-5840,111,45건
미도인 종로점,양식,4.3,서울 종로구 종로 51 지하 2층,매일 11:18 ~ 21:00 · 브레이크타임 월~금 14:40 ~ 17:00,02-720-5097,175,80건
김권태돈까스백반 신문로본점,돈까스/우동,3.2,서울 종로구 경희궁1길 5 1층,영업시간 월~토 12:00 ~ 20:00,,71,49건
광화문짬뽕,중화요리,3.5,서울 종로구 종로 19 르메이에르종로타운 2층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-2075-7565,52,31건
한옥찻집,전통찻집,4.5,서울 종로구 인사동12길 9,,02-737-0538,92,39건
이층양옥,이탈리안,3.8,서울 종로구 돈화문로11나길 28 1/2층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-747-7246,285,47건
삿뽀로 관훈점,일식집,2.0,서울 종로구 인사동5길 38 센터마크호텔 지하1층,매일 11:30 ~ 22:00,02-722-4877,16,14건
통인스윗,디저트카페,3.7,서울 종로구 자하문로7길 50,매일 11:00 ~ 21:00,02-6085-3777,158,76건
묘미,한정식,4.0,서울 종로구 율곡로 83 5층,영업시간 화~토 12:00 ~ 22:00 · 브레이크타임 화~토 15:00 ~ 17:00,02-515-8088,54,16건
하이디라오 대학로점,아시아음식,3.6,서울 종로구 대학로 146 3층,매일 10:00 ~ 22:00,02-743-6868,85,27건
전주식당,한식,3.9,서울 종로구 수표로20길 16-17,월~토 08:00 ~ 21:00,02-2267-5385,62,10건
끼룩하우스,카페,3.4,서울 종로구 돈화문로11나길 26-4,영업시간 월~수 12:00 ~ 20:00,02-747-2626,346,28건
송정식당,한식,4.0,서울 종로구 종로40가길 13,월~토 08:00 ~ 21:00,02-2267-2817,45,21건
코피티암커피 경복궁점,카페,2.8,서울 종로구 자하문로4길 7,월~토 10:00 ~ 22:50,070-7670-8837,98,40건
크리스탈제이드 광화문상하이팰리스점,중화요리,4.3,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,매일 11:30 ~ 22:00,02-720-0133,52,64건
반쥴,커피전문점,4.1,서울 종로구 삼일대로17길 23 3층,월~토 11:30 ~ 22:30,02-735-5437,68,46건
한일관 광화문점,한정식,3.1,서울 종로구 종로1길 50 더케이트윈타워 A동 지하1층,매일 11:30 ~ 21:30,02-722-7557,14,10건
