식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
일진아구찜,아구,4.2,서울 동작구 여의대방로24길 93,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-817-5554,24,28건
한울갈비,갈비,2.0,서울 동작구 동작대로1길 9 1층,매일 10:00 ~ 22:30,02-583-4118,290,6건
고을래 이베리코흑돼지 사당점,육류/고기,3.3,서울 동작구 남부순환로269길 8,매일 11:00 ~ 22:30,02-3474-9289,452,4건
해물포차꼴통 2호점,실내포장마차,2.5,서울 동작구 상도로 54,,,58,12건
그릴진 이수직영점,육류/고기,3.8,서울 동작구 동작대로27다길 31,영업시간 매일 16:30 ~ 01:00,02-532-4135,59,8건
청와옥 사당직영점,한식,3.6,서울 동작구 동작대로 71 1층,매일 00:00 ~ 24:00,02-588-0885,45,11건
스타벅스 노량진역점,커피전문점,3.1,서울 동작구 노량진로 134,매일 07:00 ~ 21:00,1522-3232,24,28건
터방내,커피전문점,4.5,서울 동작구 흑석로 101-7,월~토 11:00 ~ 24:00,02-813-4434,67,27건
신라스테이 구로 카페,뷔페,1.0,서울 동작구 시흥대로 596 2층,,02-2162-9000,61,1건
방배한가람김밥,분식,2.8,서울 동작구 동작대로7길 55,월~금 06:00 ~ 20:00,02-585-7280,40,16건
산천칡냉면전문,냉면,4.3,서울 동작구 사당로12길 2 2층,화~일 11:30 ~ 20:30,02-3472-2849,46,34건
고가네숯불구이통닭,치킨,3.1,서울 동작구 상도로 136,영업시간 매일 16:00 ~ 01:00,02-825-0095,52,20건
미학당,카페,4.8,서울 동작구 사당로 56 2층,화~토 09:00 ~ 18:00,02-816-0301,40,16건
스타벅스 보라매공원R점,커피전문점,4.2,서울 동작구 보라매로5길 35,월~금 07:00 ~ 21:00,1522-3232,39,18건
프랑세즈,디저트카페,4.7,서울 동작구 현충로 96,월~토 08:00 ~ 22:00,02-825-5265,41,31건
논고을 사당점,갈비,3.6,서울 동작구 남부순환로269길 12,매일 11:00 ~ 01:00,02-525-9203,39,14건
역전할머니맥주 노량진점,호프/요리주점,2.6,서울 동작구 만양로 104,,02-3280-8283,29,9건
스시세이,초밥/롤,4.5,서울 동작구 동작대로13길 10 A동 1층,월~금 11:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-525-2466,18,55건
오다가다,디저트카페,4.5,서울 동작구 동작대로35길 10 1층,화~토 12:30 ~ 21:30,070-8876-6424,54,21건
김재운초밥사랑 이수점,초밥/롤,3.1,서울 동작구 동작대로 69 1층,매일 11:30 ~ 23:00,02-598-8887,35,14건
스타벅스 사당역점,커피전문점,4.0,서울 동작구 동작대로 21 양지빌딩 1-3층,월~금 07:00 ~ 22:00,1522-3232,25,21건
옥문 상도본점,중화요리,3.3,서울 동작구 상도로 148,,02-821-9957,18,33건
원조부안집 남성점,육류/고기,4.0,서울 동작구 사당로16길 12 1층,영업시간 월~금 16:00 ~ 22:00,,96,12건
맥도날드 노량진점,패스트푸드,2.9,서울 동작구 노량진로 158,매일 00:00 ~ 24:00,070-7017-0307,19,26건
낙지세상 신대방본점,해물/생선,3.4,서울 동작구 대림로 57 중산타워 1층,매일 11:00 ~ 22:00,02-834-5777,34,15건
마포최대포숯불갈비,갈비,4.0,서울 동작구 서달로14길 11,,02-817-0738,27,21건
소백양훠궈샤브,샤브샤브,4.6,서울 동작구 동작대로29길 8 2층,매일 11:00 ~ 24:00,02-536-3253,32,34건
갈비연구소,갈비,3.9,서울 동작구 동작대로23길 10 1층,영업시간 매일 16:30 ~ 23:30,02-6012-0101,30,21건
낯선한식 븟다,퓨전한식,3.7,서울 동작구 사당로30길 28 1층,월~금 11:40 ~ 22:00 · 브레이크타임 월~금 14:00 ~ 15:30,070-7543-5250,69,28건
낙지한마리수제비 상도본점,수제비,2.5,서울 동작구 상도로31길 19,매일 11:00 ~ 22:00,02-812-4913,56,24건
케이크무드,디저트카페,4.3,서울 동작구 상도로15길 45 1층,매일 11:00 ~ 23:00,010-3774-3524,43,15건
카페알코브,카페,4.3,서울 동작구 대방동1길 12 1층,화~일 11:00 ~ 21:00,02-6409-9870,60,12건
어사출또 이수역점,회,3.7,서울 동작구 동작대로27나길 21 1층,매일 12:00 ~ 01:30,02-533-5475,27,6건
제이콥참치,참치회,3.0,서울 동작구 동작대로3길 10 3층,영업시간 매일 16:00 ~ 01:00,02-522-9508,79,6건
순천집,해물/생선,2.8,서울 동작구 노량진로 80 큐브스테이트 2층,월~토 11:20 ~ 22:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-817-3222,15,5건
움프,와인바,4.8,서울 동작구 상도로 341-2 1층,영업시간 월~목 17:00 ~ 24:00,010-6609-3412,32,19건
농부쌈밥,쌈밥,3.9,서울 동작구 사당로30길 19,월~토 11:00 ~ 21:30,02-521-8005,52,18건
토방소곱창,곱창/막창,4.6,서울 동작구 동작대로7길 11,,010-9988-2926,64,15건
올라아보 이수본점,멕시칸/브라질,4.3,서울 동작구 사당로 300 이수자이 1층 116호,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,0507-1320-1120,80,33건
약초마을 본점,오리,3.8,서울 동작구 노량진로 26 솔표빌딩 1층,매일 11:00 ~ 22:00,02-824-5215,18,11건
텐카이치,일본식라면,3.8,서울 동작구 만양로14길 24 1층,매일 11:00 ~ 20:00 · 브레이크타임 매일 16:00 ~ 17:00,02-6396-5455,39,39건
스타벅스 신대방삼거리역점,커피전문점,3.3,서울 동작구 상도로 102,월/화/수/목/금/일 08:00 ~ 21:00,1522-3232,13,12건
사계진미 이수역점,육류/고기,4.1,서울 동작구 동작대로25길 9-8 1층,,02-6408-6780,25,14건
농장사람들 상도점,육류/고기,2.9,서울 동작구 상도로 230 4층,,02-3285-5487,48,17건
스시사구,초밥/롤,3.9,서울 동작구 사당로 279,화요일,02-599-4949,72,20건
영일만,회,3.2,서울 동작구 남부순환로271길 27,매일 12:00 ~ 22:00,02-522-4080,18,6건
마라안스사당점,중식,4.0,서울 동작구 동작대로3길 8,화~일 11:30 ~ 22:00,02-522-0888,90,15건
세종대왕숯불갈비 보라매점,갈비,2.3,서울 동작구 여의대방로 136,매일 11:30 ~ 22:30,02-823-2517,31,15건
프레임676,갤러리카페,3.3,서울 동작구 시흥대로 676 1층,월/화/수/목/금/일 11:00 ~ 22:00,070-8807-6046,39,6건
우부래도 상도점,제과/베이커리,4.3,서울 동작구 상도로37길 3,화~일 09:00 ~ 22:00,070-8872-0509,17,20건
도쿄빙수 이수점,디저트카페,4.1,서울 동작구 동작대로27길 38 1층,매일 12:00 ~ 22:00,,29,12건
김씨마구로,참치회,3.1,서울 동작구 노들로 674,,02-2254-8412,65,15건
곱분이곱창 이수점,곱창/막창,4.4,서울 동작구 동작대로25길 37,영업시간 매일 16:00 ~ 02:00,02-537-0092,19,7건
희래등,중화요리,2.8,서울 동작구 등용로 123,매일 11:30 ~ 22:00,02-827-0722,17,12건
오꼬노미스토리,일식,3.9,서울 동작구 노량진로10길 27 1층,월~토 11:30 ~ 21:00,070-7552-6891,22,19건
스시준 NPC노량진점,초밥/롤,4.0,서울 동작구 만양로14길 20,월/화/목/금/토/일 11:30 ~ 23:00 · 브레이크타임 월/화/목/금/토/일 15:00 ~ 16:30,02-822-5387,14,25건
연탄집,육류/고기,2.1,서울 동작구 노량진로16길 30,매일 11:00 ~ 01:00,02-813-9288,35,17건
어사출또 사당역점,회,3.3,서울 동작구 남부순환로269길 21,매일 12:00 ~ 00:00,02-3471-5114,24,11건
도쿄빙수 노량진점,카페,3.0,서울 동작구 만양로8길 63,매일 11:00 ~ 23:00,02-812-0630,89,11건
하노이별 사당점,동남아음식,4.1,서울 동작구 사당로30길 97 1층,매일 11:00 ~ 21:00,02-6326-7470,50,31건
마루스시,초밥/롤,4.2,서울 동작구 상도로37길 79,월~토 12:00 ~ 22:00 · 브레이크타임 월~토 14:00 ~ 17:00,02-814-3361,45,26건
모든것은당근케이크에서시작됐다,디저트카페,4.6,서울 동작구 만양로 65-1 102호,화~일 08:30 ~ 22:00,070-8282-3032,32,23건
김명자당진동태아구찜탕,아구,4.3,서울 동작구 사당로 229-1,매일 00:00 ~ 24:00,02-536-1233,22,10건
버거킹 사당역점,패스트푸드,2.6,서울 동작구 동작대로 21 양지빌딩 1층,매일 00:00 ~ 24:00,02-583-0332,23,25건
여정막걸리,호프/요리주점,4.0,서울 동작구 동작대로3길 10,,02-585-0515,48,5건
택이네조개전골 사당점,조개,4.0,서울 동작구 사당로17가길 13 2층,,02-3478-0606,25,5건
장미맨숀 이수점,호프/요리주점,4.4,서울 동작구 동작대로23길 15 1층,영업시간 매일 17:00 ~ 02:00,02-583-0314,29,8건
무안수산,회,3.8,서울 동작구 동작대로7길 62-1,영업시간 월~토 17:00 ~ 22:00,02-586-0822,7,17건
인근주민 상도점,치킨,4.7,서울 동작구 양녕로 265 1층,영업시간 매일 15:00 ~ 03:00,02-817-8599,73,29건
탕면,중식,4.4,서울 동작구 여의대방로26길 71,월/화/수/금/토/일 11:00 ~ 21:00,,26,28건
부엌쟁이,분식,3.4,서울 동작구 동작대로23길 31,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6205-3340,30,24건
삼삼가마솥돈까스앤 칡불냉면,돈까스/우동,3.6,서울 동작구 만양로 90-1 1층,매일 11:00 ~ 21:30,02-812-1833,84,35건
맥도날드 이수점,패스트푸드,1.3,서울 동작구 사당로 300,매일 07:00 ~ 23:00,070-7017-2429,12,53건
새우네집,해물/생선,3.9,서울 동작구 등용로14길 68 1층,매일 11:00 ~ 01:00 · 브레이크타임 매일 15:00 ~ 17:00,,113,26건
고봉삼계탕 중앙대점,삼계탕,2.7,서울 동작구 서달로 166 1층,매일 10:00 ~ 22:00,02-824-3339,25,21건
텐쇼,초밥/롤,4.2,서울 동작구 동작대로7길 74,월~토 12:00 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:30,02-588-0913,26,17건
옛골,삼계탕,4.3,서울 동작구 성대로1길 1 2층,매일 11:00 ~ 22:00,02-823-8366,12,12건
모녀신떡,떡볶이,2.7,서울 동작구 사당로14길 13 1층,매일 10:00 ~ 23:00,070-8105-5255,41,29건
웰컴카페,카페,4.1,서울 동작구 성대로29길 50,화~목 13:00 ~ 22:00,010-9122-2279,38,14건
명동국수,국수,4.4,서울 동작구 상도로41길 12,,02-813-0402,19,20건
72420,동남아음식,3.7,서울 동작구 남부순환로269길 13,매일 11:30 ~ 22:00,02-521-2420,92,18건
노량진할머니왕파전,한식,4.1,서울 동작구 만양로 90 2층,영업시간 매일 17:00 ~ 02:00,02-812-4799,40,8건
은희네온집닭떡볶이,떡볶이,4.5,서울 동작구 상도로41길 35 1층,화~일 11:30 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 16:30,02-816-4529,39,19건
작은피자집,패스트푸드,4.7,서울 동작구 사당로30길 96,월~금 11:30 ~ 01:00,02-597-1987,53,29건
역전할머니맥주 이수역점,호프/요리주점,3.2,서울 동작구 동작대로27다길 26 1층,영업시간 매일 17:00 ~ 04:00,02-599-8330,31,6건
원조포대포곱창양대창,곱창/막창,2.8,서울 동작구 장승배기로 139 1층,,02-815-8935,34,14건
이태리상회,이탈리안,4.5,서울 동작구 사당로 245 1층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-536-2221,9,13건
팬쿡 이수점,스테이크/립,3.3,서울 동작구 동작대로27길 34 2층,매일 11:00 ~ 22:00,02-6487-1771,209,13건
마실,한식,4.0,서울 동작구 사당로 215 서림빌딩 1층 115~118호,화~토 11:00 ~ 22:30,02-596-5260,35,25건
본때 이수점,감자탕,4.5,서울 동작구 동작대로27다길 29 1층 103/104호,매일 11:00 ~ 05:00,02-533-0810,76,6건
오후홍콩 중앙대본점,디저트카페,4.2,서울 동작구 흑석로13가길 29,매일 10:00 ~ 22:00,02-3280-2028,53,19건
맥도날드 숭실대점,패스트푸드,2.7,서울 동작구 사당로 22,매일 00:00 ~ 24:00,070-7209-0593,13,13건
릿잇커피,카페,5.0,서울 동작구 상도로47바길 48 1층,매일 10:00 ~ 01:00,070-8866-4344,14,19건
할머니칼국수,국수,4.8,서울 동작구 상도로15길 134,,02-813-7528,19,16건
송이족발 본점,족발/보쌈,3.7,서울 동작구 사당로17길 11,영업시간 매일 16:00 ~ 24:00,02-535-0712,108,20건
연가,육류/고기,2.8,서울 동작구 만양로 89-1,매일 11:00 ~ 03:00,,117,12건
에그드랍 노량진점,샌드위치,4.1,서울 동작구 노량진로16길 31 1층,월~금 12:00 ~ 21:00,02-6339-0310,29,16건
스타벅스 노량진동점,커피전문점,3.8,서울 동작구 노량진로 190 고려교육타워 어바니엘한강 101~105호,매일 07:30 ~ 21:00,1522-3232,13,19건
마왕족발 이수역점,족발/보쌈,4.3,서울 동작구 동작대로25길 43,영업시간 매일 17:00 ~ 02:00,02-535-9293,22,6건
보성식당,한식,2.6,서울 동작구 동작대로17길 3,월~토 11:30 ~ 20:30 · 브레이크타임 월~토 15:00 ~ 17:30,02-523-3637,27,22건
가본통닭,치킨,4.7,서울 동작구 노량진로26길 22,매일 12:00 ~ 21:00,02-812-7908,23,10건
노브랜드버거 노량진점,패스트푸드,2.7,서울 동작구 만양로 106 1층,매일 10:00 ~ 22:00,02-3280-9716,54,18건
차이30,중식,4.6,서울 동작구 보라매로5길 15 전문건설회관 30층,매일 11:00 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-6954-0099,79,9건
셀프회수산시장 포장전문점 성대시장점,회,3.5,서울 동작구 상도로 114,매일 13:00 ~ 01:00,02-867-0284,8,8건
프로스퍼,카페,3.3,서울 동작구 여의대방로24길 101,,,37,8건
피맥하우스 상도동점,호프/요리주점,2.7,서울 동작구 양녕로 265-1,영업시간 매일 17:00 ~ 02:00,02-6439-1333,6,9건
해물한소반 사당직영점,해물/생선,2.7,서울 동작구 동작대로1길 18 1층,매일 10:00 ~ 23:00,02-597-0717,17,3건
갤러리카페오누이,카페,4.6,서울 동작구 시흥대로 676,매일 10:00 ~ 22:00,02-833-6046,7,11건
짬뽕상회 보라매점,중화요리,3.3,서울 동작구 여의대방로24길 7 1층,화~일 11:00 ~ 22:00,02-815-0581,82,7건
곱창나라,곱창/막창,4.1,서울 동작구 동작대로27가길 41 1층,영업시간 매일 16:00 ~ 24:00,02-595-9292,153,10건
다채 상도점,쌈밥,3.9,서울 동작구 상도로52길 28 1층,매일 11:30 ~ 22:30,02-2681-3392,17,8건
산쪼메 이수점,일본식라면,4.0,서울 동작구 사당로 300 이수자이 지하2층 B202호,매일 11:30 ~ 21:00,,17,26건
인생곱창 본점,곱창/막창,3.3,서울 동작구 상도로12길 5-4 유천빌딩 1층,영업시간 매일 16:30 ~ 01:00,,36,11건
안동장,중화요리,2.0,서울 동작구 흑석로 105-1,매일 10:00 ~ 22:00,02-812-0077,10,26건
피자보이시나 노량진점,피자,4.1,서울 동작구 만양로14길 21,매일 10:30 ~ 22:30,02-3280-6563,85,15건
김종구의참치박사,참치회,3.6,서울 동작구 동작대로 25-1,영업시간 매일 16:00 ~ 24:00,02-523-3799,21,8건
타요키즈카페 보라매점,키즈카페,3.7,서울 동작구 보라매로5가길 16 보라매아카데미타워 6층,화~금 11:00 ~ 18:00,02-319-8585,14,6건
카페브르브르,카페,4.2,서울 동작구 사당로29가길 6,화요일,,112,10건
빈빈양꼬치,양꼬치,4.0,서울 동작구 남부순환로271길 31,영업시간 매일 14:00 ~ 02:00,02-886-0108,13,4건
해미수산회정식,회,1.0,서울 동작구 사당로 295 1층,월~토 10:00 ~ 01:00,02-595-5535,7,6건
더빈마켓,커피전문점,4.7,서울 동작구 여의대방로24길 65 1층,매일 08:00 ~ 23:00,02-823-0388,22,10건
현고대닭발 사당점,닭요리,3.2,서울 동작구 동작대로23길 25,영업시간 월~금 17:00 ~ 05:00,02-582-9399,81,10건
최연태참치,참치회,2.4,서울 동작구 동작대로23길 17,매일 11:30 ~ 23:00,02-585-7737,46,8건
파동추야,호프/요리주점,3.5,서울 동작구 상도로58길 4,,02-822-5988,22,8건
장독대,호프/요리주점,4.1,서울 동작구 흑석로 112,영업시간 매일 15:30 ~ 05:00,02-824-0709,33,29건
이모네전집,한식,4.5,서울 동작구 사당동 1029-21,매일 00:00 ~ 24:00,02-521-3066,18,11건
스타벅스 숭실대입구역,커피전문점,4.4,서울 동작구 상도로 354,매일 08:00 ~ 21:00,1522-3232,7,14건
커피나무 랩,카페,4.5,서울 동작구 상도로53길 65 커피나무빌딩 1층,월~금 07:00 ~ 23:00,02-824-1391,8,2건
