식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
일로,일본식주점,4.3,서울 은평구 연서로29길 21-3 1층,영업시간 매일 18:00 ~ 02:00,0507-1316-6284,71,20건
양갈비에꼬치다,양꼬치,5.0,서울 은평구 서오릉로 52-1,영업시간 월~금 15:00 ~ 22:00,02-356-6606,86,4건
명동칼국수,국수,2.4,서울 은평구 통일로 751 1층,매일 11:00 ~ 21:00,02-351-3862,27,9건
신도각,중식,3.8,서울 은평구 역말로9길 44,,02-355-3444,22,13건
모이세해장국,해장국,3.7,서울 은평구 연서로 60 1층,매일 00:00 ~ 24:00,02-353-4174,14,19건
카페미제,테마카페,4.0,서울 은평구 연서로 19 1/ 2층,매일 08:00 ~ 23:00,,28,9건
아웃닭 연신내점,치킨,4.2,서울 은평구 연서로29길 20-7 1층,영업시간 월~금 16:00 ~ 01:00,02-6338-4469,31,9건
스타벅스 불광역점,커피전문점,3.9,서울 은평구 통일로 715 1층,매일 07:30 ~ 21:00,02-352-3711,19,14건
어촌시래기 연신내점,해산물,2.6,서울 은평구 연서로 83 1층,매일 11:00 ~ 24:00,02-356-9570,51,8건
화포식당,육류/고기,3.5,서울 은평구 연서로29길 20-15,영업시간 매일 12:00 ~ 01:00,,31,18건
동굴과화로구이,육류/고기,4.1,서울 은평구 은평로 185,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,02-353-8592,98,7건
은평커피로스터스,카페,3.8,서울 은평구 은평로 57-1,매일 10:00 ~ 23:00,,76,16건
자금성,중화요리,2.6,서울 은평구 응암로 288,매일 00:00 ~ 24:00,02-355-7977,21,12건
연천왕소갈비,갈비,3.6,서울 은평구 서오릉로15길 5-5,화요일,02-354-9109,23,7건
삿뽀로 녹번점,일식집,1.7,서울 은평구 서오릉로 4 2층,매일 11:30 ~ 22:00,02-358-6677,17,7건
시즌테이블,이탈리안,4.5,서울 은평구 진관2로 15-8 웅신 미켈란의아침 110호,매일 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:30,0507-1389-9223,71,12건
양대리갯벌,회,3.4,서울 은평구 가좌로 218 1층,영업시간 매일 16:00 ~ 24:00,02-308-0835,170,9건
후통마라탕,중식,3.2,서울 은평구 연서로29길 20,매일 11:00 ~ 22:30,02-356-6111,62,10건
신진초밥,초밥/롤,4.8,서울 은평구 통일로 1030 신한헤스티아 1차 205호,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,0507-1339-5801,23,52건
마산아구찜,아구,3.2,서울 은평구 백련산로 160,영업시간 월/화/목/금/토/일 12:00 ~ 22:00,02-384-3007,42,12건
은평한우곱창,곱창/막창,2.3,서울 은평구 진흥로 23,,02-3152-6297,32,6건
삼대족발 연신내점,족발/보쌈,3.4,서울 은평구 연서로29길 14-18,,02-356-7266,53,13건
짬뽕의달인,중화요리,3.0,서울 은평구 통일로66길 4-5,화요일,02-357-0944,38,10건
양반집,육류/고기,4.8,서울 은평구 갈현로1길 3-1 1층,영업시간 매일 14:30 ~ 24:00,02-356-9253,42,4건
부추곱창,곱창/막창,1.9,서울 은평구 연서로29길 20-17,영업시간 매일 15:00 ~ 02:00,02-355-2909,38,16건
이상향,중식,3.7,서울 은평구 진흥로5길 17 1층,영업시간 월~토 18:00 ~ 02:00,070-4045-7206,50,20건
플럽커피,카페,3.0,서울 은평구 연서로29길 7-11 3층,영업시간 화~금 13:00 ~ 23:00,,97,10건
스타벅스 구파발역점,커피전문점,3.2,서울 은평구 진관2로 12 메이플카운티 2차 113~116호,월~토 07:00 ~ 22:00,1522-3232,12,15건
소문난순대집,순대,3.7,서울 은평구 은평로 53,매일 00:00 ~ 24:00,02-389-2568,23,20건
청어람,한식,2.8,서울 은평구 연서로27길 16-12,화요일,02-352-1411,51,12건
어뮤즈멜로우,디저트카페,4.1,서울 은평구 연서로27길 20 2층,영업시간 매일 12:30 ~ 23:00,02-2088-2612,90,7건
와우양철통소금구이,육류/고기,4.4,서울 은평구 연서로34길 23,,02-386-8342,15,7건
통김치삼겹살,삼겹살,4.8,서울 은평구 응암로13길 23,영업시간 화~일 17:00 ~ 03:00,02-302-4772,40,20건
아리산채,중식,4.2,서울 은평구 수색로 217-1 1층,화~일 11:30 ~ 21:30 · 브레이크타임 화~일 15:00 ~ 16:30,02-307-1687,26,11건
봉평 옹심이메밀칼국수,국수,4.0,서울 은평구 연서로 247,매일 10:30 ~ 20:30,02-354-5121,31,12건
명금탕,전통찻집,4.2,서울 은평구 진관길 5 1층,,02-739-0394,19,13건
트라토리아피우,이탈리안,3.7,서울 은평구 진관2로 111-7 은평뉴타운우물골2단지아파트 209동 상가B107호,영업시간 화~토 12:00 ~ 21:30 · 브레이크타임 화~토 15:00 ~ 18:00,02-356-7793,45,22건
야래향,중화요리,2.3,서울 은평구 통일로 1010,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-752-3201,58,10건
알키미스타,북카페,4.0,서울 은평구 응암로9길 24 1층,매일 10:00 ~ 00:00,02-6104-5803,28,9건
스시콘,초밥/롤,5.0,서울 은평구 은평로 43 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-355-1026,39,6건
서부집,삼겹살,4.8,서울 은평구 진흥로5길 14-1,영업시간 화~일 15:00 ~ 23:30,,43,13건
조개폭식 연신내점,조개,3.7,서울 은평구 연서로 208 1층,매일 11:00 ~ 02:00,02-351-4398,17,7건
맥도날드 연신내점,패스트푸드,2.0,서울 은평구 연서로 213,매일 00:00 ~ 24:00,070-7017-0498,10,23건
H3비스트로,양식,4.1,서울 은평구 연서로27길 13-1 1층,매일 11:30 ~ 22:30,02-352-4124,30,27건
삼원돈,육류/고기,3.8,서울 은평구 응암로 360 1층,매일 11:30 ~ 23:00,02-358-3001,13,15건
마르,육류/고기,3.4,서울 은평구 연서로27길 16-13 1층,영업시간 매일 16:00 ~ 03:00,02-358-8953,80,7건
히카리우동,돈까스/우동,4.5,서울 은평구 가좌로 190 2층,,,25,35건
춘천명동닭갈비,닭요리,4.5,서울 은평구 은평로8길 8-1,영업시간 매일 16:00 ~ 24:00,02-376-4949,10,20건
투썸플레이스 은평구청점,커피전문점,2.2,서울 은평구 은평로 194 103/ 205호,매일 08:00 ~ 22:30,02-352-1433,10,18건
네모횟집,회,4.1,서울 은평구 진관1로 21-39 메이플카운티 1층 101호,영업시간 매일 17:00 ~ 01:00,02-388-5777,28,18건
카페메이트,카페,3.8,서울 은평구 진흥로 85 1~2층,매일 10:00 ~ 22:00,02-356-7972,6,6건
신사돼지뽈집 신사동본점,육류/고기,4.2,서울 은평구 갈현로 27,영업시간 월~토 14:00 ~ 01:00,02-354-6854,27,9건
목포세발낙지산낙지 본관,해물/생선,2.3,서울 은평구 통일로66길 4-17,매일 10:00 ~ 22:00,02-388-3552,10,7건
버거킹 녹번대성GS점,패스트푸드,3.3,서울 은평구 통일로 642,매일 09:00 ~ 24:00,070-7462-6801,10,6건
노량진 횟집,회,4.3,서울 은평구 은평로8길 3,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-383-6533,6,4건
달가득치킨,치킨,3.6,서울 은평구 연서로28길 10 1층,영업시간 화 16:30 ~ 01:30,02-6101-9390,39,16건
라화방마라탕,중식,4.1,서울 은평구 연서로29길 14-13 1층,매일 11:00 ~ 23:00,02-353-6888,27,8건
스타벅스 연신내역사거리점,커피전문점,3.7,서울 은평구 통일로 842,월~금 07:00 ~ 21:00,1522-3232,12,16건
장충당 녹번점,족발/보쌈,3.7,서울 은평구 은평로 221-1,영업시간 매일 15:00 ~ 01:00,02-383-7772,43,7건
포358,동남아음식,3.8,서울 은평구 은평로 91,매일 11:00 ~ 22:00,,26,30건
하기당,일본식주점,5.0,서울 은평구 통일로83길 5-8 2층,매일 11:30 ~ 02:00,02-351-3626,14,4건
도화원,중화요리,3.3,서울 은평구 연서로 167,매일 10:30 ~ 21:00,02-355-3977,97,12건
냉삼집,육류/고기,3.0,서울 은평구 응암로21길 5 1층,월~토 11:00 ~ 23:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-302-1124,65,6건
소담촌 DMC점,샤브샤브,2.6,서울 은평구 수색로 191 두빌191 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-308-0052,7,7건
코피티암,카페,3.6,서울 은평구 연서로27길 7-1 1/2층,월/화/수/목/일 11:00 ~ 23:50,070-7651-8837,32,16건
스타벅스 구산역점,커피전문점,3.2,서울 은평구 연서로 146,월~토 07:30 ~ 21:00,1522-3232,13,11건
그남자고깃집,육류/고기,5.0,서울 은평구 연서로 178,영업시간 매일 15:00 ~ 02:00,02-353-4111,68,2건
탐나도다,카페,3.9,서울 은평구 통일로83길 5-14,매일 11:00 ~ 23:00,02-384-9292,21,7건
제이츠커피브루어스,카페,4.2,서울 은평구 연서로25길 20-3 1층,영업시간 월~토 12:00 ~ 23:00,070-8822-3375,44,13건
금바위감자탕 증산점,감자탕,3.0,서울 은평구 증산로 353,매일 00:00 ~ 24:00,02-372-3161,10,13건
서울지짐이,한식,3.9,서울 은평구 불광로 15,영업시간 매일 15:00 ~ 02:00,02-356-0073,40,8건
은평어시장,회,3.9,서울 은평구 응암로 169 1층,영업시간 매일 12:00 ~ 03:00,02-304-0284,4,8건
버거킹 연신내역점,패스트푸드,2.9,서울 은평구 통일로 834 1층,매일 00:00 ~ 24:00,02-355-0340,9,18건
아우성황소곱창,곱창/막창,3.3,서울 은평구 연서로29길 14-12,영업시간 매일 16:00 ~ 03:00,02-389-9523,41,12건
스와가트 은평뉴타운점,인도음식,4.1,서울 은평구 통일로 1030 신한헤스티아1차 2층 206/ 207호,매일 11:00 ~ 22:00,02-388-4667,108,13건
요요미,분식,3.5,서울 은평구 은평로11길 3-1,영업시간 월~토 12:00 ~ 21:00,02-355-5985,15,14건
먹거리곱창,곱창/막창,4.1,서울 은평구 진흥로 147-1,첫째/둘째/셋째 화요일,02-383-7292,43,17건
도원,중화요리,3.2,서울 은평구 통일로65길 13,매일 00:00 ~ 24:00,02-353-1577,17,17건
오핀로스터리,커피전문점,3.3,서울 은평구 북한산로 234,화요일,031-856-5555,31,7건
온도차,카페,4.9,서울 은평구 녹번로 74 1층,매일 11:00 ~ 21:00,,42,15건
카페달력,카페,4.7,서울 은평구 연서로18길 28-2 1층,영업시간 매일 12:00 ~ 21:00,070-7376-0910,35,7건
참나무본가 은평점,갈비,4.2,서울 은평구 통일로 1020 헤센스마트 지하 1층 (지상2층),영업시간 매일 12:00 ~ 22:00,02-355-2095,30,9건
탕면,중식,4.3,서울 은평구 진관3로 33 지하1층 B111호,매일 11:00 ~ 20:50 · 브레이크타임 매일 15:00 ~ 17:00,02-6084-0342,32,28건
둘레길맛집,육류/고기,3.3,서울 은평구 불광로18가길 49,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-358-9997,18,9건
깡통그릴,육류/고기,5.0,서울 은평구 응암로9길 19-1 1층,영업시간 월~금 17:00 ~ 01:00,,53,9건
평창두부마을,두부전문점,2.6,서울 은평구 가좌로 204,매일 11:00 ~ 22:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-307-2555,17,15건
꿀백,불고기/두루치기,4.4,서울 은평구 통일로83길 9 1층,매일 11:30 ~ 23:00,02-356-7838,33,21건
도투리,한식,3.9,서울 은평구 증산로 303,화~일 11:00 ~ 22:00 · 브레이크타임 화~일 15:30 ~ 17:00,02-374-3202,41,13건
명륜진사갈비 응암점,갈비,2.8,서울 은평구 응암로 235 1층,매일 11:30 ~ 23:00,02-304-9229,77,20건
소야,일식집,3.0,서울 은평구 불광로14길 4 102호,,,11,5건
황금참치,참치회,4.9,서울 은평구 가좌로 237,영업시간 매일 17:00 ~ 02:00,02-357-7187,5,19건
합정오리농장 응암점,오리,3.7,서울 은평구 증산로23길 27,매일 11:00 ~ 23:00,02-303-5833,66,3건
유즈풀,카페,4.2,서울 은평구 응암로21가길 29,화~금 09:00 ~ 21:00,,71,10건
햇살머무는식탁,돈까스/우동,3.4,서울 은평구 연서로29길 32,월/화요일,02-388-3960,50,25건
착한낙지 연신내점,해물/생선,3.3,서울 은평구 연서로 322,매일 11:00 ~ 22:00,02-353-8113,11,6건
손수메밀우동손만두,국수,4.8,서울 은평구 연서로 5-2,,02-387-9755,40,14건
씨즈닝테이블,양식,4.6,서울 은평구 연서로28길 19 1층,화~토 11:00 ~ 20:00,,40,10건
자연담은화로 연신내점,육류/고기,4.5,서울 은평구 연서로27길 16-8,영업시간 매일 15:00 ~ 24:00,02-2687-8292,66,2건
오광참치,참치회,3.8,서울 은평구 갈현로36길 20 2층,,02-352-3502,10,8건
추송고기로와,육류/고기,4.9,서울 은평구 진흥로 111,영업시간 월~토 16:00 ~ 01:00,02-358-3392,17,11건
힐링앤툰,만화카페,4.5,서울 은평구 진흥로 144 동호스카이 지하 102호,매일 11:00 ~ 23:00,0507-0079-0180,41,6건
스타벅스 연신내점,커피전문점,4.2,서울 은평구 통일로 867,매일 08:00 ~ 21:00,1522-3232,18,9건
니하오중국손만두,중식,4.0,서울 은평구 증산로 469,영업시간 화~일 12:00 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:30,02-386-5178,25,26건
카페와인드,카페,4.2,서울 은평구 응암로34가길 17,매일 10:00 ~ 22:00,,38,10건
원마산아구찜,아구,4.0,서울 은평구 통일로83길 11 1층,매일 11:30 ~ 22:30,02-6403-7788,49,3건
코스믹버거랩,햄버거,4.0,서울 은평구 통일로85길 6 1층,매일 11:00 ~ 22:00,02-6402-5050,49,16건
비보,피자,4.3,서울 은평구 연서로29길 17-5 1층,영업시간 월~금 17:30 ~ 02:00,,22,17건
무한리필닭갈비제작소,닭요리,2.7,서울 은평구 연서로29길 19,매일 10:00 ~ 23:00,02-386-0223,54,10건
벌툰 연신내점,만화카페,3.8,서울 은평구 통일로 830 파레제페빌딩 403/404호,매일 10:00 ~ 23:00,02-387-5959,2,6건
응암동돈까스,돈까스/우동,2.7,서울 은평구 응암로 338,매일 10:00 ~ 22:00,02-352-2414,21,11건
앤슬로,카페,4.5,서울 은평구 응암로 206 2층,화요일,,45,15건
산동성 옛날정통수타짜장,중화요리,3.3,서울 은평구 응암로 331-16,화~일 11:20 ~ 01:00,02-355-9655,13,6건
