식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
화로상회 가양점,육류/고기,4.1,서울 강서구 양천로57길 9-13 가양휴먼빌 1층,매일 12:00 ~ 23:30,02-2668-6892,88,17건
화덕고깃간 마곡발산점,육류/고기,3.7,서울 강서구 마곡중앙6로 63 마곡테크노타워 1층 105호,영업시간 매일 16:00 ~ 24:00,02-3663-3392,147,12건
옛날한우곱창전문 본점,곱창/막창,3.5,서울 강서구 공항대로59길 32,영업시간 월~토 15:00 ~ 24:00,02-2654-8026,80,35건
사모님짬뽕,중화요리,3.4,서울 강서구 금낭화로18길 10,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2663-3397,50,44건
우학면옥 마곡점,냉면,3.6,서울 강서구 공항대로 261 발산파크프라자 2층,매일 11:00 ~ 21:30,02-6341-5341,89,29건
숙달돼지 마곡발산점,육류/고기,4.3,서울 강서구 강서로 415 갤럭시인텔리젼스 1층 101호,영업시간 월~금 16:00 ~ 23:30,02-3661-2472,116,21건
왕세숫대야냉면돈까스,냉면,3.9,서울 강서구 공항대로 423,매일 00:00 ~ 24:00,,32,46건
헤리스헤이스,커피전문점,4.8,서울 강서구 마곡동로3길 26 1층 103호,월~금 09:00 ~ 18:00,010-8863-9532,76,31건
메이탄 강서점,중화요리,4.1,서울 강서구 강서로 242 강서힐스테이트상가 215호,매일 11:00 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-2699-8686,78,19건
참치왕양승호,참치회,4.0,서울 강서구 마곡동로4길 15 엠팰리체 1동 2층 202/203호,매일 10:00 ~ 24:00,02-3662-9779,58,24건
전주뼈해장국감자탕,감자탕,2.6,서울 강서구 강서로5길 10,매일 00:00 ~ 24:00,02-2602-4189,26,47건
설화랑 발산역점,육류/고기,3.6,서울 강서구 강서로 381-7 예원빌딩 2층,매일 11:00 ~ 22:00,02-2658-9282,300,31건
나오키,초밥/롤,3.8,서울 강서구 강서로56가길 45 르네상스빌딩 1층,영업시간 화~금 18:00 ~ 22:00,010-6387-9321,65,20건
발산회관,곱창/막창,3.9,서울 강서구 강서로 402 재영빌딩 1층,월~금 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,0507-1352-0064,214,17건
경상도집,갈비,3.7,서울 강서구 강서로45나길 16 송화시장 57호,매일 10:30 ~ 22:30,02-2607-5112,26,23건
푸주옥,설렁탕,3.6,서울 강서구 까치산로 183,매일 00:00 ~ 24:00,02-2606-3677,15,17건
베이징 화곡본점,중화요리,3.4,서울 강서구 화곡로 118,매일 11:00 ~ 22:00,02-2699-7275,12,15건
징기스 서울강서구청점,육류/고기,5.0,서울 강서구 화곡로58길 22-14 1층,영업시간 매일 16:00 ~ 23:00,02-6408-5888,39,5건
장어촌민물장어,장어,4.6,서울 강서구 강서로52길 34,월~토 11:00 ~ 23:00,02-3663-9293,59,5건
예향정 마곡점,찌개/전골,4.3,서울 강서구 마곡중앙로 161-11 힐스테이트에코 2층 A-202/ 203호,매일 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-3665-1973,56,23건
생고기제작소 마곡나루역점,고기뷔페,3.1,서울 강서구 마곡서로 152 두산더랜드타워 B동 2층 205~207호,매일 11:30 ~ 23:30,02-6989-9380,57,16건
돈오야 까치산역본점,삼겹살,4.3,서울 강서구 강서로 55,매일 11:00 ~ 23:00,02-2695-3392,17,23건
웜테이블,이탈리안,4.3,서울 강서구 공항대로49길 5-17,화~금 11:30 ~ 21:30 · 브레이크타임 화~금 15:00 ~ 17:00,010-8200-1872,59,14건
땡순이아구찜 마곡본점,아구,2.1,서울 강서구 마곡중앙로 161-22 2층 201~207호,매일 11:00 ~ 22:30,02-2659-3020,125,30건
바스버거 마곡점,햄버거,4.1,서울 강서구 마곡동로 62 마곡 사이언스타워 1층,월~금 11:00 ~ 23:00 · 브레이크타임1 월/화/목/금/토/일 15:00 ~ 16:30,02-3661-9777,102,20건
푸른농장해바라기 화곡점,육류/고기,3.5,서울 강서구 곰달래로 141,매일 12:00 ~ 01:00,02-2691-2223,47,19건
화곡미담분식,분식,3.2,서울 강서구 강서로7길 15 1층,월~토 10:30 ~ 00:30,02-2606-3319,105,36건
개화산장,오리,4.6,서울 강서구 개화동로19길 6-53,매일 11:00 ~ 23:00,02-2665-5293,47,9건
신경섭의인생참치,참치회,4.5,서울 강서구 마곡동로4길 23 2층,월~토 14:00 ~ 22:00,02-6953-7337,52,19건
쿠마데 마곡점,일식,3.1,서울 강서구 마곡중앙6로 76-3 인터시티365 지상 1층 104/ 105호,영업시간 매일 17:00 ~ 04:30,02-3664-2771,260,11건
빕스 프리미어 등촌점,패밀리레스토랑,2.3,서울 강서구 공항대로 311,매일 10:30 ~ 21:00,02-3661-1997,54,28건
올바른스시 화곡역점,초밥/롤,4.1,서울 강서구 강서로33길 12 3동 1층,매일 11:30 ~ 23:30,02-2605-5556,99,35건
라오제카스테라 방화점,제과/베이커리,4.4,서울 강서구 금낭화로 60-3 수진타워 103동 101호,매일 09:00 ~ 22:00,02-2666-9092,5,15건
카메야라멘,일본식라면,4.6,서울 강서구 강서로 489-4 2층,월/화/수/목/금/일 11:00 ~ 21:00,02-2668-3412,69,35건
이층창가,디저트카페,3.8,서울 강서구 까치산로 46 2층,월/화요일,02-2603-3342,48,14건
가마메시야 울림,일식집,3.2,서울 강서구 마곡중앙로 76 힐스테이트에코마곡역 1층 126호,월~금 09:00 ~ 21:00,,106,39건
광화문살롱,카페,3.1,서울 강서구 공항대로45길 63 1층 105/106호,매일 07:30 ~ 22:00,02-2668-3966,122,25건
훈장골,갈비,3.5,서울 강서구 공항대로36길 9,매일 10:00 ~ 23:00,02-2666-5251,12,20건
오즈테이블 마곡점,이탈리안,4.2,서울 강서구 마곡중앙로 56 사이언스타워2 지하1층 104호,화~일 11:00 ~ 22:00,02-2666-0039,68,20건
탕화쿵푸마라탕 마곡점,중화요리,4.3,서울 강서구 마곡중앙6로 63 마곡테크노타워 1층 103호,매일 11:00 ~ 22:00,02-3664-1655,67,7건
스타벅스 화곡DT점,커피전문점,3.5,서울 강서구 등촌로 57,월~금 07:00 ~ 22:00,1522-3232,33,25건
메이필드호텔 봉래헌,한정식,2.7,서울 강서구 방화대로 94 별관 1층,화~일 12:00 ~ 21:30 · 브레이크타임 화~일 15:00 ~ 18:00,02-2660-9020,33,6건
서초면옥 방화점,냉면,2.9,서울 강서구 양천로 75 1층,매일 10:30 ~ 22:00,02-2661-1423,85,16건
그랑한우 마곡점,육류/고기,4.8,서울 강서구 마곡중앙6로 66 퀸즈파크텐 2층 220호,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 16:30,010-7171-9579,173,19건
익스큐즈미,카페,3.5,서울 강서구 마곡동로 56 건와빌딩 1층,월~금 07:00 ~ 23:00,070-4247-2019,84,15건
방화동교동짬뽕,중화요리,4.4,서울 강서구 금낭화로24나길 21,화~일 11:00 ~ 20:30,02-2665-5778,33,26건
해바라기정육식당,육류/고기,4.5,서울 강서구 화곡로 218,매일 11:30 ~ 23:00,02-2608-5215,10,15건
백순대본가새맛 까치산직영점,순대,3.8,서울 강서구 강서로 27 1층,화~일 10:00 ~ 23:30,02-2606-3452,35,12건
광어포차 금도수산,회,2.6,서울 강서구 화곡로63길 129,매일 13:00 ~ 02:00,02-3663-0301,80,8건
김희라 한국식왕돈까스,돈까스/우동,3.9,서울 강서구 강서로 201,매일 10:00 ~ 22:00,02-2601-0636,31,21건
가막골흑염소,한식,4.1,서울 강서구 화곡로56길 37-11,매일 10:00 ~ 22:00,02-2608-5255,10,10건
이타제면소,국수,4.1,서울 강서구 마곡동로10길 46 115~117호,월~토 11:00 ~ 21:00,02-3663-2753,103,10건
천천향화곡양꼬치집,양꼬치,4.4,서울 강서구 강서로7길 28 해태드림타운 1층 101/102호,영업시간 매일 15:00 ~ 03:00,02-2692-8881,51,14건
스타벅스 마곡사이언스타워R,커피전문점,3.3,서울 강서구 마곡동로 62,월~금 07:00 ~ 21:00,1522-3232,53,19건
소담촌 화곡점,샤브샤브,2.5,서울 강서구 화곡로 117 1층,매일 11:00 ~ 22:00,02-2699-0055,33,10건
차돌집,육류/고기,3.3,서울 강서구 방화대로21길 85,매일 12:00 ~ 23:00,02-2664-5534,38,18건
구구향훠궈 마곡나루역점,샤브샤브,4.8,서울 강서구 마곡중앙로 171 마곡나루역프라이빗타워2 1층,매일 11:00 ~ 24:00,02-3661-9986,85,22건
마실 발산점,퓨전한식,2.3,서울 강서구 공항대로 290 2층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-3663-6639,27,7건
배진수스시,초밥/롤,2.8,서울 강서구 마곡중앙6로 76-3,,,61,20건
원조소금구이,육류/고기,4.2,서울 강서구 곰달래로60길 5 1층,영업시간 매일 16:00 ~ 24:00,02-2643-8139,46,13건
안135,회,4.3,서울 강서구 마곡중앙5로 6,영업시간 월~토 16:00 ~ 01:00,02-3665-1350,59,9건
이현우스시,초밥/롤,4.3,서울 강서구 강서로33길 26 1층,매일 14:00 ~ 16:30,02-2699-0020,182,15건
자이온,햄버거,4.3,서울 강서구 공항대로61길 10-11 1/2층,월~토 11:00 ~ 21:00,0507-1383-0161,101,55건
하롱하롱,카페,3.1,서울 강서구 마곡서로 152,월~금 10:00 ~ 22:00,,120,44건
맥도날드 등촌DT점,패스트푸드,3.8,서울 강서구 양천로 546,매일 00:00 ~ 24:00,070-7017-6526,20,34건
스타벅스 방화DT,커피전문점,3.4,서울 강서구 방화대로 375,매일 07:00 ~ 22:00,1522-3232,23,29건
등촌샤브칼국수 등촌점,샤브샤브,4.3,서울 강서구 강서로56가길 65,매일 10:00 ~ 22:00,02-2659-9318,53,28건
황소곱창,곱창/막창,4.0,서울 강서구 공항대로46길 78,매일 11:00 ~ 06:00,02-2605-3392,33,8건
카페움플레이트,커피전문점,4.3,서울 강서구 마곡중앙1로 72 마곡엠밸리10단지 1014동 상가1층 101호,월~금 09:30 ~ 21:00,02-2662-5881,2,14건
쭉심 목동사거리점,해물/생선,3.0,서울 강서구 등촌로3길 14,영업시간 매일 16:00 ~ 02:00,02-2644-4788,33,10건
긴자스시,초밥/롤,3.7,서울 강서구 화곡로 142 1층 115호,매일 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:00,02-2695-7778,104,12건
스타벅스 마곡나루,커피전문점,4.6,서울 강서구 마곡중앙로 161-17,월~금 07:00 ~ 22:00,1522-3232,18,12건
신촌감자탕해물뼈찜,감자탕,3.3,서울 강서구 강서로 375,매일 00:00 ~ 24:00,02-3663-2080,37,15건
명품양꼬치,양꼬치,4.3,서울 강서구 화곡로 119 2층 202호,매일 14:00 ~ 02:00,02-2699-0777,40,6건
더메이드뷔페,뷔페,4.1,서울 강서구 마곡중앙6로 21 4층,매일 11:30 ~ 21:30,02-3663-7090,43,37건
개성손만두,찌개/전골,4.4,서울 강서구 강서로47길 113 성호빌딩 2층 201호,매일 11:00 ~ 22:00,02-2666-5255,13,7건
하영족발과보쌈,족발/보쌈,4.5,서울 강서구 까치산로 163 1층,월~금 13:00 ~ 02:00,02-2606-0806,102,13건
런던스테이크,스테이크/립,4.6,서울 강서구 공항대로 269-15 힐스테이트에코마곡 202호,화~금 14:00 ~ 17:00,02-3661-0024,45,12건
김종용누룽지통닭 화곡본점,닭요리,3.5,서울 강서구 화곡로 113 1층,영업시간 월~토 16:00 ~ 02:00,02-6405-9292,44,13건
신촌기사식당,기사식당,3.6,서울 강서구 방화대로 408 세원빌딩 1층,매일 07:00 ~ 21:00,02-3664-4221,38,11건
배진수어시장,회,3.4,서울 강서구 마곡중앙6로 66 지하1층,매일 14:00 ~ 02:30,02-6411-9911,54,7건
대왕곱창구이,곱창/막창,3.3,서울 강서구 강서로 22,영업시간 매일 15:00 ~ 01:00,02-2695-5003,43,27건
수초밥,초밥/롤,3.5,서울 강서구 마곡중앙5로 87,,02-2664-7072,58,32건
굴사냥 화곡본동점,굴/전복,4.2,서울 강서구 화곡로 194-52,매일 14:00 ~ 02:00,02-2697-9433,26,5건
사쿠라테이엔 마곡나루점,일본식주점,3.2,서울 강서구 마곡중앙로 161-8 두산더랜드파크 B동 1층 115호,매일 05:00 ~ 02:00,02-2088-1195,209,10건
서울미트볼 가양점,양식,3.8,서울 강서구 화곡로68길 15 아벨테크노 1층,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-3456-2655,107,14건
고요베이크샵,제과/베이커리,4.8,서울 강서구 강서로12길 32 상가 101호,화/수/금/토 12:00 ~ 20:00,,79,47건
자연과함께한칼국수,국수,4.3,서울 강서구 강서로34길 18,월~금 10:00 ~ 22:00,02-2692-7862,37,29건
더플롯커피,커피전문점,4.4,서울 강서구 공항대로45길 7,월~금 09:30 ~ 24:00,070-8840-1884,28,18건
연화산,중화요리,3.3,서울 강서구 마곡중앙5로 87 2층 205호,매일 11:00 ~ 21:00,02-2661-5882,77,15건
라라코스트 화곡메가스퀘어점,패밀리레스토랑,2.5,서울 강서구 화곡로 142 3층,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2603-3230,58,20건
다옴,양식,3.2,서울 강서구 마곡중앙6로 69,화~일 11:30 ~ 23:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-3665-4442,102,5건
빌리엔젤 마곡점,디저트카페,2.9,서울 강서구 마곡동로 62 107호,월~금 08:00 ~ 23:00,02-3663-6864,44,7건
버거킹 마곡점,패스트푸드,2.7,서울 강서구 마곡동로 56,매일 10:00 ~ 24:00,070-7462-6739,21,19건
모에뜨,제과/베이커리,4.8,서울 강서구 등촌로53길 10,월~토 09:00 ~ 22:00,02-2645-9940,17,21건
군자대한곱창 마곡나루점,곱창/막창,3.3,서울 강서구 마곡중앙로 161-8 B동 109~110호,영업시간 매일 16:00 ~ 02:00,02-6979-8088,85,9건
일번지생고기 본점,육류/고기,4.0,서울 강서구 화곡로 194-5,영업시간 월~금 17:00 ~ 24:00,02-2699-8489,22,14건
리얼파스타 염창점,이탈리안,3.6,서울 강서구 공항대로65길 65 1층,매일 11:00 ~ 22:00,070-4226-2980,52,19건
모락우동,돈까스/우동,4.0,서울 강서구 공항대로59가길 23 1층,월~토 11:00 ~ 21:00,02-2658-7973,28,29건
나루터,회,4.6,서울 강서구 공항대로 227 마곡센트럴타워1차 112호,월~토 14:00 ~ 01:00,02-3663-4737,34,7건
황금오리농장,오리,2.5,서울 강서구 까치산로 136,,02-2606-9903,17,4건
돈돼랑,곱창/막창,3.7,서울 강서구 화곡로 128,영업시간 월~토 15:30 ~ 01:00,02-2607-9399,38,13건
빵쌤 마곡점,제과/베이커리,3.3,서울 강서구 마곡중앙로 59-5 1층,매일 07:30 ~ 23:00,02-2667-0595,91,22건
우리도한번잘구워보세 공항동점,육류/고기,4.4,서울 강서구 송정로 52 1층,매일 11:00 ~ 24:00,02-2666-9010,93,7건
맥도날드 우장산DT점,패스트푸드,2.0,서울 강서구 강서로 216,매일 08:00 ~ 24:00,070-7209-0542,11,27건
임진강 민물장어,장어,4.0,서울 강서구 양천로 723,월~토 11:40 ~ 22:30,02-3663-7900,22,8건
마므레크로와상,제과/베이커리,4.8,서울 강서구 공항대로 269-15,화~토 10:30 ~ 21:00,,53,37건
교대이층집 발산점,육류/고기,3.7,서울 강서구 강서로 381 수창빌딩 2층,매일 12:00 ~ 01:00,02-2668-3779,79,19건
스타벅스 까치산역점,커피전문점,2.9,서울 강서구 강서로13길 3,월~금 07:30 ~ 22:00,1522-3232,20,19건
할매칼국수,국수,3.8,서울 강서구 월정로 108 해창위너스빌 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00,02-2602-7106,21,6건
오페라하우소,육류/고기,4.8,서울 강서구 마곡중앙6로 21 이너매스마곡 2층 214~216호,매일 11:00 ~ 22:00,02-2658-5854,72,4건
쉐드커피,디저트카페,4.3,서울 강서구 마곡중앙6로 16 마곡지엠지타워 1층 114호,월~금 07:30 ~ 21:00,,108,15건
더뻘,조개,3.5,서울 강서구 공항대로45길 68-6,영업시간 매일 16:00 ~ 01:00,02-3665-1602,30,6건
이태리부대찌개 발산점,찌개/전골,3.8,서울 강서구 마곡중앙6로 66 퀸즈파크텐 B동 B103호,매일 11:00 ~ 22:00,02-6411-9111,53,20건
조개를탐하다,조개,2.6,서울 강서구 강서로 419 유림트윈파크 1층 115/116호,월~수 11:00 ~ 23:00,02-3665-7639,292,11건
접시고기 본점,육류/고기,3.7,서울 강서구 공항대로46길 25-8 1층,영업시간 매일 16:00 ~ 00:00,02-6403-5959,57,10건
