식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
카페드레이프,카페,3.6,서울 영등포구 양산로 146,매일 11:00 ~ 22:00,02-6014-0608,256,33건
월화고기 문래동본점,삼겹살,4.4,서울 영등포구 당산로 34 118호,영업시간 월~금 16:00 ~ 22:00,02-2671-7592,145,74건
바스버거 여의도점,햄버거,4.1,서울 영등포구 국제금융로 20 율촌빌딩 지하1층,월~금 11:00 ~ 22:30 · 브레이크타임1 월/화/목/금/토/일 15:30 ~ 17:00,02-784-6643,202,83건
골목오리집,오리,4.3,서울 영등포구 도림로139가길 11 1층,화~일 11:00 ~ 23:00,02-2676-1387,154,58건
갈빗,갈비,3.9,서울 영등포구 도림로125길 14,매일 12:00 ~ 24:00,02-2638-0012,443,23건
스시나베,초밥/롤,4.3,서울 영등포구 영등포로 190-1 1층,매일 11:30 ~ 22:00,02-2677-5460,120,110건
함흥냉면,냉면,3.0,서울 영등포구 영등포로42길 6,매일 11:00 ~ 22:00,02-2678-2722,87,49건
63뷔페 파빌리온,뷔페,3.7,서울 영등포구 63로 50 63빌딩 지하1층,월~금 12:00 ~ 21:00 · 브레이크타임1 월~금 15:00 ~ 18:00,02-789-5731,259,56건
하이디라오 영등포점,중화요리,3.8,서울 영등포구 경인로 870 2층,매일 10:00 ~ 24:00,02-2678-0715,148,37건
청수,냉면,2.9,서울 영등포구 국제금융로 112,매일 11:00 ~ 21:00,02-784-1559,97,64건
신길동별난아찌짬뽕,중화요리,2.2,서울 영등포구 영등포로62길 10,월~토 12:00 ~ 23:00,010-5395-1151,76,46건
쉐프조,제과/베이커리,3.5,서울 영등포구 문래로 98 한영빌딩 1층,월~토 08:00 ~ 23:00,,83,55건
오월의종 타임스퀘어점,제과/베이커리,3.5,서울 영등포구 영중로 15 112-1호,매일 10:30 ~ 22:00,,260,65건
소문난식당,한식,3.9,서울 영등포구 도림로141가길 32-1,월~금 11:00 ~ 20:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-2635-0570,152,45건
문래동돈까스,돈까스/우동,4.4,서울 영등포구 문래동4가 9-7,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-2633-1007,149,56건
강강술래 당산점,육류/고기,2.4,서울 영등포구 선유로 251,매일 11:30 ~ 23:00,02-2677-9233,74,30건
여로집 본관,해물/생선,2.4,서울 영등포구 영중로10길 26,매일 11:30 ~ 01:00,02-2678-8482,79,34건
더플레이트디저트 더현대서울점,디저트카페,3.4,서울 영등포구 여의대로 108 지하1층,월~목 10:30 ~ 20:00,02-3277-0796,111,17건
승남집,육류/고기,4.8,서울 영등포구 영중로4길 9-4,영업시간 매일 16:00 ~ 24:00,,193,39건
카페진정성 여의도점,카페,3.3,서울 영등포구 국제금융로8길 31 SK증권빌딩 1층,월~금 08:00 ~ 19:30,02-6484-5133,93,47건
하동관 국회의사당역직영점,곰탕,3.2,서울 영등포구 은행로 3 삼희익스콘벤처타워 1층,월~토 07:00 ~ 16:00,02-785-9292,49,47건
브루클린더버거조인트 여의도점,햄버거,3.9,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,매일 11:00 ~ 21:30,02-761-7180,183,31건
화목순대국,순대,3.2,서울 영등포구 여의대방로 383 경도빌딩 1층,월~토 10:00 ~ 22:00,02-780-8191,70,45건
삼해집 영등포점,족발/보쌈,3.3,서울 영등포구 영등포로 250 1/2층,월~금 10:30 ~ 02:00,02-2634-5508,131,16건
카페솔트,카페,3.9,서울 영등포구 도림로133길 12 1층,화~토 13:00 ~ 22:00,0507-1338-1540,201,46건
진가와 여의도점,일식,3.5,서울 영등포구 국제금융로2길 17 3층,월~금 11:00 ~ 21:00 · 브레이크타임 매일 14:30 ~ 17:30,02-782-9072,136,34건
우미노미,일식,3.7,서울 영등포구 당산로 180 신우빌딩 1층 12호,화~일 11:30 ~ 21:00 · 브레이크타임 화~일 14:00 ~ 18:00,070-4367-7116,126,31건
라크라센타 문래본점,카페,3.4,서울 영등포구 문래로 92-5,월~목 08:00 ~ 23:00,02-2676-6202,104,47건
뚜스뚜스베이커리카페 선유도점,디저트카페,3.5,서울 영등포구 양평로 132 더 스테이트 선유 호텔 1층/ 2층,매일 07:00 ~ 01:00,02-2632-9006,70,46건
최우영수산 영등포점,회,2.9,서울 영등포구 영등포로 161 1층,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:00,02-2068-3430,75,40건
차이나플레인 여의도점,중화요리,3.8,서울 영등포구 국회대로76길 16 켄싱턴호텔 별관 C동 2층,월~금 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-784-7877,100,17건
양키스버거,햄버거,3.6,서울 영등포구 도림로 434-1,매일 12:00 ~ 22:00,070-7758-6263,339,71건
피그인더가든 여의도점,카페,2.8,서울 영등포구 여의대로 56 한화투자증권빌딩 1층,월~금 08:00 ~ 21:00,,166,42건
창고43 본점,육류/고기,3.8,서울 영등포구 국제금융로6길 33 여의도백화점 M2층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 14:00 ~ 17:30,02-783-4557,65,57건
문래그집,육류/고기,4.7,서울 영등포구 선유로22길 3 유선빌딩 1층 102호,월~금 11:30 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 16:30,070-4292-0090,205,21건
시즌커피앤베이크,카페,4.2,서울 영등포구 양산로9길 12-1,매일 08:00 ~ 22:00,02-2676-7161,175,48건
도쿄등심 여의도점,육류/고기,4.0,서울 영등포구 여의나루로 50 한국교직원공제회관 지하1층,월~금 11:00 ~ 23:00 · 브레이크타임2 월~금 15:00 ~ 17:00,02-782-2260,313,28건
여의도켄싱턴호텔 브로드웨이,뷔페,4.0,서울 영등포구 국회대로76길 16,매일 07:00 ~ 21:30 · 브레이크타임1 월~금 09:30 ~ 11:30 · 브레이크타임2 월~금 14:30 ~ 18:00,02-6670-7260,110,15건
공간다반사,카페,3.8,서울 영등포구 당산로52길 4,화 12:00 ~ 23:00,070-7785-2224,161,33건
마굿간생고기,육류/고기,4.4,서울 영등포구 영중로4길 14,매일 12:00 ~ 03:00,02-2677-5849,152,37건
라메흐꺄도,해물/생선,4.2,서울 영등포구 선유로17길 24,매일 10:00 ~ 21:50,02-3667-5989,191,28건
교대이층집 여의도점,삼겹살,4.6,서울 영등포구 국제금융로8길 27-8 NH농협캐피탈빌딩 2층,매일 11:00 ~ 23:30,02-6124-7892,77,82건
화담,일식,5.0,서울 영등포구 국회대로 800 여의도파라곤 지하1층,매일 11:15 ~ 23:00 · 브레이크타임 매일 14:30 ~ 17:15,02-6166-3355,74,7건
능이버섯백숙,닭요리,4.1,서울 영등포구 선유로 32,매일 11:00 ~ 21:30,02-2677-7373,53,22건
양키스그릴,스테이크/립,3.8,서울 영등포구 도림로 434-9 1층 102호,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00,070-8836-2819,621,36건
스몰,호프/요리주점,3.9,서울 영등포구 경인로77가길 12 1층,영업시간 매일 16:00 ~ 22:00,070-8880-0815,105,7건
에베레스트,인도음식,3.9,서울 영등포구 경인로 838-1,월~금 11:00 ~ 22:30,02-3667-8848,82,80건
공주칼국수,국수,4.4,서울 영등포구 도림천로11길 1,매일 10:00 ~ 21:00,02-847-9242,84,19건
메이탄 영등포점,중화요리,3.9,서울 영등포구 선유로 252 설록디아망타워 1층,매일 11:00 ~ 21:30,02-2635-6878,74,16건
고반식당 여의도점,육류/고기,2.8,서울 영등포구 여의대방로67길 21,매일 11:30 ~ 22:00,02-782-8886,100,22건
오복수산참치,참치회,3.8,서울 영등포구 의사당대로 83 오투타워 2층,매일 11:00 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,,140,31건
팜스프링스,카페,4.7,서울 영등포구 도신로60길 22-3 2층,월~토 08:00 ~ 23:00,02-847-1107,251,26건
선유기지,카페,4.5,서울 영등포구 선유로51길 3-1 1층,매일 11:00 ~ 22:00,070-8862-3697,153,29건
엘카페커피로스터스 선유도점,커피전문점,3.9,서울 영등포구 양평로21나길 7 1층,월~금 08:00 ~ 18:00,02-2638-0715,78,35건
중앙참치식당,참치회,2.0,서울 영등포구 영등포로43길 14,영업시간 월~토 17:30 ~ 22:30,02-2634-3681,68,23건
곱 문래점,곱창/막창,4.1,서울 영등포구 당산로 34 로데오왁 118호,영업시간 매일 16:00 ~ 24:00,02-2633-5201,177,73건
아리수한식당,한식,3.9,서울 영등포구 노들로 111 양화선착장 2층,매일 11:00 ~ 22:00,02-2632-2100,294,19건
너도나도식당,한식,3.3,서울 영등포구 양평로 126 1층,월~토 07:00 ~ 21:00,02-2634-5469,98,69건
이스트우드,카페,4.7,서울 영등포구 도신로17길 6 1층,매일 09:00 ~ 22:00,070-4459-0103,92,31건
문래돼지불백,육류/고기,3.0,서울 영등포구 당산로 2-1,매일 09:30 ~ 21:40,02-2677-2509,71,48건
당산원조곱창,곱창/막창,3.6,서울 영등포구 당산로45길 9,매일 13:00 ~ 23:00,0507-1496-7774,83,49건
송원마포돼지갈비,갈비,3.0,서울 영등포구 도림로147길 2-1,영업시간 월~토 17:00 ~ 23:00,02-2678-2978,60,31건
동경화로 문래점,육류/고기,4.0,서울 영등포구 당산로 34 1층 107/ 108호,영업시간 매일 15:00 ~ 02:00,02-2671-7567,124,20건
피크니크,카페,4.0,서울 영등포구 양평로22길 2-1,월~금 10:00 ~ 22:30,,208,32건
고봉삼계탕,삼계탕,3.7,서울 영등포구 국회대로72길 5,매일 11:00 ~ 21:30,02-785-3877,104,30건
대문점,중화요리,3.2,서울 영등포구 영중로10길 30 1층,매일 12:00 ~ 22:00,02-2678-3256,70,30건
세광양대창 여의도점,곱창/막창,4.3,서울 영등포구 여의대방로65길 24,월~금 12:00 ~ 22:30,02-782-9774,62,12건
카페드람브르 영등포직영2호점,카페,4.0,서울 영등포구 경인로 867 호텔GMS 2층,매일 10:00 ~ 23:00,02-882-3377,29,21건
우리삼겹,삼겹살,4.7,서울 영등포구 국회대로34길 5,매일 13:00 ~ 22:00,02-2678-6556,79,24건
오도시 당산역본점,초밥/롤,2.5,서울 영등포구 양평로 51 1/ 2층,,02-2068-7789,117,35건
인기명 선유도점,조개,2.6,서울 영등포구 선유로49길 23,매일 11:30 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6123-4040,85,15건
호텔올라 KBS본관점,이탈리안,3.0,서울 영등포구 의사당대로 38 아일랜드파크 1층,매일 11:30 ~ 22:30,02-2090-7220,41,26건
폴앤폴리나 여의도점,제과/베이커리,4.6,서울 영등포구 의사당대로 108 아일렉스상가 1층,월~금 12:00 ~ 19:00,02-761-1966,56,37건
일일향 여의도점,중화요리,3.3,서울 영등포구 의사당대로 83 오투타워 2층,매일 11:30 ~ 21:30,02-783-9311,36,17건
낙지세상 신풍역본점,해물/생선,3.5,서울 영등포구 신풍로 23,매일 11:00 ~ 21:30,02-841-3335,20,37건
하얀과자점,디저트카페,3.1,서울 영등포구 국제금융로8길 19 중앙빌딩 1층 120호,월~금 07:30 ~ 21:00,070-8844-0326,80,19건
육영토종한우,육류/고기,3.3,서울 영등포구 당산로 160,,02-3667-6011,90,36건
웨이브스,양식,3.4,서울 영등포구 도림로 434-11,매일 12:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,070-7681-0101,329,44건
육갑식당 당산점,한식,3.9,서울 영등포구 당산로47길 15 대양빌딩 1층,영업시간 월~금 15:00 ~ 23:30,02-2678-9293,206,21건
카페기글,디저트카페,3.8,서울 영등포구 도림로128길 21 1층,월~금 12:00 ~ 21:30,,256,20건
진진만두 여의도점,한식,3.9,서울 영등포구 국제금융로8길 34 오륜빌딩 3층 304호,월~금 12:00 ~ 22:00,02-780-7867,53,23건
징기스 영등포점,육류/고기,3.8,서울 영등포구 경인로 865 1층,영업시간 매일 17:00 ~ 24:00,02-2677-5606,147,21건
부여집,한식,3.0,서울 영등포구 선유동1로 24 1/2층,매일 09:30 ~ 22:00,02-2633-0666,27,23건
오복순대국,순대,2.5,서울 영등포구 도림로 465 1층,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-2677-4183,101,51건
동해반점,중화요리,4.1,서울 영등포구 시흥대로 639,화~일 11:00 ~ 21:30,02-832-4430,43,21건
비어바나,호프/요리주점,3.8,서울 영등포구 도림로129길 5-1,영업시간 월~금 17:00 ~ 01:00,02-2634-6277,285,40건
본보야지,이탈리안,3.2,서울 영등포구 국제금융로2길 7 한주빌딩 2층,매일 11:30 ~ 23:00,02-782-8889,122,20건
카페설리번 당산점,카페,3.2,서울 영등포구 당산로 241 1층,월~금 09:00 ~ 22:00,02-2068-8825,134,26건
로라멘,일본식라면,3.6,서울 영등포구 도림로131길 17 1층,화/수/금/토/일 11:30 ~ 21:30 · 브레이크타임 화/수/금/토/일 14:30 ~ 17:30,02-2677-7115,123,44건
레드다이닝룸,이탈리안,4.6,서울 영등포구 여의대방로47길 26 1층,화~일 11:30 ~ 22:00,02-6448-1285,92,33건
오목집 당산점,족발/보쌈,4.3,서울 영등포구 당산로47길 14 태원빌딩 2층,매일 11:30 ~ 24:00,02-2637-3779,57,12건
타코벨 여의도메리츠점,멕시칸/브라질,2.3,서울 영등포구 국제금융로2길 11 메리츠화재 1층,매일 07:00 ~ 22:00,02-3775-3330,33,18건
올라 여의도파크센터점,양식,4.1,서울 영등포구 여의대로 8 지하 1층,매일 11:30 ~ 22:30 · 브레이크타임 월~금 14:30 ~ 17:30,02-2070-7220,60,26건
어라운지 선유도점,커피전문점,4.1,서울 영등포구 양평로28마길 9,매일 10:00 ~ 18:00,1577-0626,30,13건
일미집 영등포점,감자탕,4.0,서울 영등포구 영중로 43 1층,매일 10:00 ~ 22:00,02-2677-4544,43,24건
텐진라멘,일본식라면,4.1,서울 영등포구 당산로 111-4 1층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 19:30,070-8614-0816,89,55건
커피리브레 타임스퀘어점,커피전문점,3.6,서울 영등포구 영중로 15 112호,매일 10:30 ~ 22:00,02-2635-0615,80,48건
값진식육,육류/고기,3.3,서울 영등포구 선유로 58-4,월~토 11:00 ~ 23:00,02-2634-9288,75,30건
탐나종합어시장 당산역점,회,3.9,서울 영등포구 선유로 246 1층,매일 11:00 ~ 05:00,02-3667-7770,43,8건
고봉삼계탕 KBS별관점,삼계탕,4.0,서울 영등포구 여의대방로65길 13,,02-782-7772,45,29건
모던눌랑 여의도점,중화요리,3.5,서울 영등포구 국제금융로8길 31 SK증권빌딩 지하1층,매일 11:30 ~ 22:00,02-6484-5980,121,13건
영원식당,수제비,2.7,서울 영등포구 여의나루로 117,매일 11:00 ~ 22:00,02-784-1866,99,32건
흑돈가 여의도직영점,육류/고기,3.6,서울 영등포구 여의대방로69길 23,월~토 11:00 ~ 05:00,02-783-8800,26,29건
리춘시장 영등포역점,중화요리,4.0,서울 영등포구 영중로4길 3,영업시간 매일 17:00 ~ 22:00,02-2634-0410,101,12건
긴자,일식집,3.0,서울 영등포구 국제금융로2길 36,월/화/수/목/금/일 11:30 ~ 21:30,02-785-4200,42,14건
길풍식당,설렁탕,2.9,서울 영등포구 양평로 85,매일 10:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-2634-1359,44,15건
영등포꼬들집,육류/고기,4.8,서울 영등포구 영중로10길 25 1층,영업시간 월~금 16:00 ~ 02:00,,74,12건
비닐하우스,와인바,4.0,서울 영등포구 도림로128가길 13-8 1층,영업시간 월~금 18:00 ~ 24:00,02-322-2514,123,21건
빌리엔젤 여의도삼성생명점,디저트카페,2.5,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,,070-4801-0141,49,13건
양평동장군집 양평동본점,육류/고기,4.7,서울 영등포구 선유서로 97,,02-3667-1392,61,23건
노버든,카페,4.0,서울 영등포구 당산로31길 25 2층 201호,월~금 11:00 ~ 21:00,,104,25건
태인양꼬치 본점,양꼬치,4.5,서울 영등포구 영등포로42길 6-2,매일 13:00 ~ 02:00,02-2678-0653,207,200건
아웃백스테이크하우스 여의도점,패밀리레스토랑,3.7,서울 영등포구 국제금융로8길 6 V빌딩 지하1층,매일 11:30 ~ 22:00,02-761-2961,82,33건
즉석우동짜장,중화요리,4.5,서울 영등포구 대방천로 260 1층,매일 00:00 ~ 24:00,,51,39건
광명대창집 영등포점,육류/고기,3.4,서울 영등포구 경인로 861-2 1층,영업시간 월~금 17:00 ~ 02:00,02-2634-6692,107,11건
진진,한식,4.1,서울 영등포구 국회대로72길 11 1층,매일 11:00 ~ 22:00,02-761-5454,26,27건
포프트커피,카페,4.0,서울 영등포구 경인로114길 10-1 1층,월~금 09:00 ~ 22:00,010-5162-6688,130,31건
하동관 여의도역점,곰탕,3.9,서울 영등포구 여의나루로 50 한국교직원공제회관 지하1층,월~토 07:00 ~ 16:00,02-761-5656,28,11건
줘마양다리구이 본점,중식,3.5,서울 영등포구 도림천로11길 13,매일 12:00 ~ 24:00,010-6797-6088,112,20건
희정식당,찌개/전골,3.2,서울 영등포구 여의나루로 117 서울상가 지하1층,월~토 11:30 ~ 23:30,02-784-9213,98,59건
개성손만두요리전문점 양평점,한식,4.1,서울 영등포구 영등포로 66 1층,매일 11:00 ~ 22:00,02-2679-7333,55,31건
개미집 영등포점,해물/생선,2.6,서울 영등포구 영신로34길 30,매일 11:00 ~ 22:00,02-2676-8862,66,13건
냅다청양집 본점,삼겹살,3.0,서울 영등포구 당산로32길 12 1층,월~금 11:30 ~ 24:00,02-2675-1222,234,7건
당산빨간주꾸미,한식,3.8,서울 영등포구 당산로45길 7-2 1층,매일 11:00 ~ 23:30,02-3667-9289,57,17건
서궁,중화요리,3.4,서울 영등포구 국제금융로 86 롯데캐슬아이비 지하 1층,월~금 11:00 ~ 22:00,02-780-7548,82,43건
페어링,이탈리안,3.9,서울 영등포구 도림로139길 14 1층,,02-2633-9729,164,34건
쿠마,일본식주점,3.5,서울 영등포구 여의대방로69길 7,월~토 12:30 ~ 18:00,02-2645-7222,20,17건
보사노바 문래점,카페,4.0,서울 영등포구 영등포로20길 22-4,월~금 08:00 ~ 22:00,02-2633-0038,36,41건
아파트먼트,카페,3.6,서울 영등포구 경인로77길 12 2층,화요일,010-4528-3884,118,48건
원조부안집 신길점,육류/고기,3.0,서울 영등포구 영등포로 371-2,,02-848-8600,148,9건
삿뽀로 당산점,일식집,2.4,서울 영등포구 국회대로 539 TCC센터 4층,매일 11:00 ~ 22:00,02-2634-6667,15,8건
쓰리버즈 IFC점,카페,2.8,서울 영등포구 국제금융로 10 THREE IFC 1층,매일 08:00 ~ 23:00,02-6137-3031,68,13건
이도맨숀,육류/고기,2.7,서울 영등포구 국회대로 794 1층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:00,,44,21건
호박집,한식,3.6,서울 영등포구 영등포로 237-1,매일 07:00 ~ 22:30,,58,18건
채윤희,호프/요리주점,2.3,서울 영등포구 도림로128길 21 2층,,,169,25건
대박곱창구이,곱창/막창,3.6,서울 영등포구 당산로30길 6-1,영업시간 월~토 16:00 ~ 03:30,02-2676-0209,41,9건
해담채 서여의도점,해물/생선,2.5,서울 영등포구 은행로 30 중소기업중앙회 1층,월~금 11:30 ~ 22:00 · 브레이크타임1 월~금 14:30 ~ 17:30,02-761-4997,41,8건
다미,해물/생선,2.9,서울 영등포구 국제금융로8길 34 오륜빌딩 1층,월~금 11:00 ~ 23:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-783-5167,43,64건
아일랜드8,호프/요리주점,2.5,서울 영등포구 도림로 440-22,매일 11:00 ~ 02:00 · 브레이크타임 매일 15:30 ~ 16:00,02-561-3622,186,8건
브로트아트,제과/베이커리,4.1,서울 영등포구 국제금융로7길 3 1층,월~금 07:30 ~ 21:00,02-785-0466,72,16건
롱타임노씨 당산점,피자,4.0,서울 영등포구 당산로45길 13 2/ 3층,영업시간 월~목 15:00 ~ 02:00,010-4874-5787,139,20건
헤비로테이트,카페,4.4,서울 영등포구 도신로19길 22,월/화요일,,102,16건
신풍파전닭갈비,닭요리,3.7,서울 영등포구 신풍로10길 2-16,매일 11:00 ~ 24:00,02-832-5989,85,21건
사대부집 곳간,한식,3.1,서울 영등포구 여의대로 24 전경련회관 50층,월~금 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-2055-4441,104,29건
홍설,카페,4.5,서울 영등포구 의사당대로1길 25,월~금 09:00 ~ 23:00,02-786-1400,30,31건
노조미,일식집,2.7,서울 영등포구 은행로 3 삼희익스콘벤처타워 지하 113호,매일 11:00 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,,47,9건
전봇대곱창,곱창/막창,3.6,서울 영등포구 영등포로 369 1층,,02-841-0131,57,27건
빌리엔젤 당산역점,디저트카페,3.0,서울 영등포구 당산로 223 1/2층,월~목 10:00 ~ 01:00,02-2632-9555,130,12건
운산 여의도점,한정식,3.0,서울 영등포구 여의공원로 101 CCMM빌딩 102호,매일 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,,7,11건
이필당보쌈왕족발,족발/보쌈,3.5,서울 영등포구 양평로17길 12-2,,0504-3142-1119,18,20건
이즈미,일식,3.4,서울 영등포구 국회대로72길 4,월~토 10:30 ~ 22:00,02-761-1300,17,7건
닥터로빈 여의도부국점,양식,4.4,서울 영등포구 국제금융로6길 17 부국증권빌딩 1층,월~금 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-761-3144,39,11건
강남,중화요리,3.5,서울 영등포구 당산로 214 삼성래미안 4차 상가 2층,화~일 11:30 ~ 21:00,02-2633-8124,33,41건
미락소바,돈까스/우동,3.2,서울 영등포구 당산로37길 4,월/화/수/금/토/일 11:00 ~ 20:10 · 브레이크타임 매일 15:00 ~ 17:00,02-6223-3190,53,39건
쉐이크쉑 타임스퀘어영등포점,패스트푸드,3.3,서울 영등포구 영중로 15 1층 102-1호,화 12:00 ~ 21:30,02-2635-0104,309,50건
문래동원조마늘통닭 문래본점,치킨,2.8,서울 영등포구 도림로 469-1,영업시간 월~토 16:00 ~ 02:00,02-2637-3480,55,25건
참새방앗간,호프/요리주점,2.2,서울 영등포구 당산로48길 15,영업시간 매일 16:00 ~ 02:00,02-2675-1199,103,61건
영의정,한정식,2.0,서울 영등포구 국제금융로 72,월~금 11:30 ~ 22:00,02-761-0236,95,5건
스타벅스 영등포신길점,커피전문점,4.0,서울 영등포구 신길로 137 1/2층,월~금 07:00 ~ 21:00,1522-3232,38,25건
청기와타운,육류/고기,4.3,서울 영등포구 영중로10길 32-4,매일 11:30 ~ 24:00,02-2068-9203,294,39건
서민준밀밭,국수,4.7,서울 영등포구 영신로40길 22-1,매일 10:00 ~ 21:00,02-2634-6848,100,32건
희락돈까스,돈까스/우동,3.7,서울 영등포구 양산로 210 1층,월~토 10:00 ~ 20:00,02-2634-8714,47,22건
백리향,중화요리,3.8,서울 영등포구 63로 50 63빌딩 57층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-789-5741,79,25건
예성가든,샤브샤브,3.3,서울 영등포구 국제금융로6길 38 한국화재보험협회빌딩 지하1층,월~토 10:00 ~ 22:00,02-785-4355,110,14건
베르두레,샌드위치,4.2,서울 영등포구 양산로 133-1 1층,화~금 11:00 ~ 21:00 · 브레이크타임 화~금 15:00 ~ 17:00,070-8835-2946,78,21건
야마야 여의도점,퓨전일식,3.4,서울 영등포구 여의대로 66 KTB 투자증권빌딩 별관 2층,,02-3775-0032,65,37건
